Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT (MOD)	MK4	MK5	MK5 A	Notes
London-North-Eastern	1150	LN627	LLP2	Boroughbridge Road LC – Northallerton East Jn	42	21	42	79	Y	Y	Y	N	N	N	Y	Y	Y	
London-North-Eastern	1150	LN627	LEN3	Northallerton East Jn – Billingham Jn	42	79	63	69	Y	Y	Y	N	N	N	Y	Y	R1	R1 Prohibited between Norton-on-Tees South Jn and Billingham Jn
London-North-Eastern	1150	LN627	LEN3	Billingham Jn – Ryhope Grange Jn	63	69	87	63	Y	Y	Y	N	N	N	R1	Y	N	R1 Prohibited Hartlepool Bay and Up (disused) platforms
London-North-Eastern	1150	LN627	LEN3	Ryhope Grange Jn – Sunderland South Jn	87	63	89	56	Y	Y	Y	N	N	N	Y	Y	N	
London-North-Eastern	1150	LN627	LEN3	Sunderland South Jn – Boldon East Jn	89	56	94	63	R1	R1	Y	N	N	N	Y	Y	N	R1 30mph maximum speed
London-North-Eastern	1150	LN627	LEN3	Boldon East Jn – Boldon West Jn	94	63	95	16	R1	R1	Y	N	N	N	Y	Y	N	R1 30mph maximum speed
London-North-Eastern	1150	LN627	LEN3	Boldon West Jn – Pelaw Metro Jn	95	16	97	64	R1	R1	Y	N	N	N	Y	Y	N	R1 30mph maximum speed
London-North-Eastern	1150	LN627	LEN3	Pelaw Metro Jn – Park Lane Jn	97	64	100	65	Y	Y	Y	N	N	N	R1	Y	N	R1 20mph Heworth down platform
London-North-Eastern	1150	LN627	LEN3	Park Lane Jn – High Level Bridge Jn	100	65	101	33	Y	Y	Y	N	N	N	Y	Y	N	
London-North-Eastern	1150	LN627	LEN3	High Level Bridge Jn – Newcastle East Jn	101	33	101	59	Y	Y	Y	N	N	N	Y	Y	Y	
London-North-Eastern	1150	LN628	NEK	South Hylton – Sunderland South Jn	3	20	0	00	R1	R1	N	N	N	N	N	N	N	R1 Permitted for the purposes of track recording and maintenance only
London-North-Eastern	1150	LN629	PDL	Pelaw Metro Jn – Network Rail Boundary (Metro Operating)	97	64	98	01	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1150	LN630	PUL	Pelaw Metro Jn – Network Rail Boundary (Metro Operating)	97	64	97	77	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1150	LN631	DSN1	Darlington South Jn – Eaglescliffe South Jn	0	29	8	58	Y	Y	Y	N	N	N	Y	N	Y	
London-North-Eastern	1150	LN632	DSN2	Stockton Cut Jn – Redcar Change of Mileage	10	13	21	72	Y	Y	Y	N	N	N	N	N	Y	
London-North-Eastern	1150	LN632	DSN3	Redcar Change of Mileage – Saltburn	22	16	27	57	Y	Y	Y	N	N	N	N	N	R1 R2 R3 R4	R1 Prohibited Redcar East Up platform with deflated suspension R2 Prohibited Longbeck Down platform with deflated suspension R3 Prohibited Marske Down platform with deflated suspension R4 Prohibited Saltburn platform 2 with deflated suspension
London-North-Eastern	1150	LN634	MBW1	Guisborough Jn – Battersby Jn	0	00	10	54	Y	Y	Y	N	N	N	N	N	R1	R1 Prohibited between 00m 50ch and Battersby Jn
London-North-Eastern	1150	LN634	MBW2	Battersby Jn (End of line) – Grosmont Jn	11	61	29	66	R1	R1	R1	N	N	N	N	N	N	R1 Special authority required to use the Run-Round Loop at Battersby
