London-North-Eastern	1065	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	 M	 Ch	 M	 Ch	325	333	345	357	357 MOD	365	377	378	Notes
London-North-Eastern	1065	LN696	HJM	Hepscott Jn	Morpeth Jn	Hepscott Jn – Morpeth Jn	19	44	20	47	H	N	N	N	N	N	N	N	
London-North-Eastern	1065	LN700	BWO2	Butterwell Jn	Signal B1	Butterwell Jn – Signal B1	0	00	0	48	N	N	N	N	N	N	N	N	
London-North-Eastern	1065	LN702	BWC	Bedlington North	Network Rail Boundary (Lynemouth Colliery)	Bedlington North – Network Rail Boundary (Lynemouth Colliery)	0	00	4	14	N	N	N	N	N	N	N	N	
London-North-Eastern	1065	LN704	ISC	Newsham North Jn	Network Rail Boundary (Blyth Bates Terminal)	Newsham North Jn – Network Rail Boundary (Blyth Bates Terminal)	0	00	0	36	N	N	N	N	N	N	N	N	Line out of use NME/2010/LNE/006 and NME/2010/LNE009
London-North-Eastern	1065	LN706	WSB	West Sleekburn Jn	North Blyth	West Sleekburn Jn – North Blyth	0	00	3	22	N	N	N	N	N	N	N	N	
London-North-Eastern	1065	LN708	MWJ	Winning Jn	Marchey's House Jn	Winning Jn – Marchey's House Jn	0	31	0	00	N	N	N	N	N	N	N	N	
London-North-Eastern	1065	LN724	HOS	Holgate Jn	Skelton Jn via York Yard South	Holgate Jn – Skelton Jn via York Yard South	0	00	1	54	Y	N	N	N	N	N	N	N	
London-North-Eastern	1065	LN736	MAC3	Cleethorpes	Grimsby Docks	Cleethorpes – Grimsby Docks	112	40	110	11	H	N	N	N	N	N	N	N	
London-North-Eastern	1065	LN736	MAC3	Grimsby Docks	Marsh West Jn	Grimsby Docks – Marsh West Jn	110	11	107	69	H	N	N	N	N	N	N	N	
London-North-Eastern	1065	LN736	MAC3	Marsh West Jn	Wrawby Jn	Marsh West Jn – Wrawby Jn	107	69	94	12	H	N	N	N	N	N	N	N	
London-North-Eastern	1065	LN736	MAC3	Wrawby Jn	West Burton East Jn	Wrawby Jn – West Burton East Jn	94	12	72	18	H	N	N	N	N	N	N	N	
London-North-Eastern	1065	LN736	MAC3	West Burton East Jn	Thrumpton West Jn (Up)	West Burton East Jn – Thrumpton West Jn (Up)	72	18	63	28	H	N	N	N	N	N	N	N	
London-North-Eastern	1065	LN736	MAC3	Thrumpton West Jn (Up)	Manton Wood	Thrumpton West Jn (Up) – Manton Wood	63	28	58	54	H	N	N	N	N	N	N	N	
London-North-Eastern	1065	LN736	MAC3	Manton Wood	Brancliffe East Jn	Manton Wood – Brancliffe East Jn	58	54	53	57	H	N	N	N	N	N	N	N	
London-North-Eastern	1065	LN736	MAC3	Brancliffe East Jn	Woodburn Jn	Brancliffe East Jn – Woodburn Jn	53	57	42	29	H	N	N	N	N	N	N	N	
London-North-Eastern	1065	LN736	NUJ2	Woodburn Jn	Site of former Nunnery Jn	Woodburn Jn – Site of former Nunnery Jn	42	29	41	68	H	N	N	N	N	N	N	N	
London-North-Eastern	1065	LN736	NUJ1	Site of former Nunnery Jn	Nunnery Main Line Jn	Site of former Nunnery Jn – Nunnery Main Line Jn	159	33	158	77	H	N	N	N	N	N	N	N	
London-North-Eastern	1065	LN738	MWN	Great Coates No. 1	Network Rail Boundary (ABP)	Great Coates No. 1 – Network Rail Boundary (ABP)	108	34	108	44	N	N	N	N	N	N	N	N	
London-North-Eastern	1065	LN740	MWN	Marsh West Jn	Network Rail Boundary (ABP)	Marsh West Jn – Network Rail Boundary (ABP)	107	69	108	44	N	N	N	N	N	N	N	N	
London-North-Eastern	1065	LN740	PYE2	Network Rail Boundary (ABP)	Site of former Queens Road Jn	Network Rail Boundary (ABP) – Site of former Queens Road Jn	4	33	0	00	N	N	N	N	N	N	N	N	
London-North-Eastern	1065	LN740	PYE1	Site of former Queens Road Jn	Immingham East Jn	Site of former Queens Road Jn – Immingham East Jn	106	50	106	31	N	N	N	N	N	N	N	N	
London-North-Eastern	1065	LN740	BRI2	Immingham East Jn	Humber Road Jn	Immingham East Jn – Humber Road Jn	106	31	104	05	N	N	N	N	N	N	N	N	
London-North-Eastern	1065	LN741	HAU	Habrough	Ulceby South Jn	Habrough – Ulceby South Jn	0	32	1	45	H	N	N	N	N	N	N	N	
London-North-Eastern	1065	LN742	KIL2	Killingholme	Immingham West Change of Mileage	Killingholme – Immingham West Change of Mileage	2	70	0	00	N	N	N	N	N	N	N	N	
