London-North-Eastern	1197	Line of route	ELR	LineofRoute/SectorDescription		LineofRoute/SectorDescription	 M	 Ch	 M	 Ch	RA	86	87	88	90	91	92	Notes
London-North-Eastern	1197	LN3204	TSN2	MansfieldJn	Nottingham East Jn	MansfieldJn–NottinghamEastJn	124	22	123	27	8	N	N	Y	N	H R1	N	R1 75mph maximum speed
London-North-Eastern	1197	LN3207	TCC	TrentEastJn	Change of ELR (between Morton Jn and Clay Cross North Jn)	TrentEastJn–ChangeofELR(betweenMortonJnandClayCrossNorthJn)	119	70	142	10	8	H R1	H R1	Y	H R1	H R2 R3	N	R1 Permitted between Trent East Jn to Stapleford and Sandiacre via Up Main/Erewash and Down Erewash/Down Goods R2 Permitted between Toton Jn and Toton TMD only R3 75mph maximum speed
London-North-Eastern	1197	LN3207	SPC9	ChangeofELR(betweenMortonJnandClayCrossNorthJn)	Clay Cross North Jn	ChangeofELR(betweenMortonJnandClayCrossNorthJn)–ClayCrossNorthJn	142	10	143	12	8	N	N	Y	N	N	N	
London-North-Eastern	1197	LN3210	JRT2	RouteBoundary(EA1370)(JunctionRoadJn)	Change of ELR (Between Tottenham North Curve No 2 and No 1 Tunnels)	RouteBoundary(EA1370)(JunctionRoadJn)–ChangeofELR(BetweenTottenhamNorthCurveNo2andNo1Tunnels)	2	38	2	00	8	N	N	Y	N	N	EH	
London-North-Eastern	1197	LN3210	JRT1	ChangeofELR(BetweenTottenhamNorthCurveNo2andNo1Tunnels)	Carlton Road Jn (Tottenham Lines)	ChangeofELR(BetweenTottenhamNorthCurveNo2andNo1Tunnels)–CarltonRoadJn(TottenhamLines)	0	18	0	03	8	N	N	Y	N	N	EH	
London-North-Eastern	1197	LN3214	CBI	CanalTunnelJn	Belle Isle Jn	CanalTunnelJn–BelleIsleJn	0	00	0	53	3	N	N	N	N	N	N	
London-North-Eastern	1197	LN3213	MCL	RouteBoundary(SO280)(formerFarringdonJn)	Kentish Town Jn	RouteBoundary(SO280)(formerFarringdonJn)–KentishTownJn	0	66	3	58	5	N	N	N	N	N	N	
London-North-Eastern	1197	LN3219	CAW	CricklewoodCurveJn	Route Boundary (LOR EA1360) (Dudding Hill)	CricklewoodCurveJn–RouteBoundary(LOREA1360)(DuddingHill)	5	19	5	72	8	H	H	Y	H	H	N	
London-North-Eastern	1197	LN3222	BDH	BrentCurveJn	Route Boundary (EA1360) (Dudding Hill)	BrentCurveJn–RouteBoundary(EA1360)(DuddingHill)	0	00	0	54	8	N	N	Y	N	N	EH	
London-North-Eastern	1197	LN3228	TCC	TrentEastJn	Trent East ELR Change	TrentEastJn–TrentEastELRChange	119	70	119	56	8	H	H	Y	H	H	N	
London-North-Eastern	1197	LN3228	TES	TrentEastELRChange	Sheet Stores Jn	TrentEastELRChange–SheetStoresJn	0	00	0	30	8	H	H	Y	H	H	N	
London-North-Eastern	1197	LN3231	WGP	WigstonSouthJn	Glen Parva Jn	WigstonSouthJn–GlenParvaJn	95	37	96	07	8	H	H	Y	H	H	N	
London-North-Eastern	1197	LN3232	WNS	WigstonNorthJn	Route Boundary (MD232) (Nuneaton South Jn)	WigstonNorthJn–RouteBoundary(MD232)(NuneatonSouthJn)	15	31	2	62	8	H	H	Y	H	N	N	
London-North-Eastern	1197	LN3234	SEN	SystonEastJn	Syston North Jn	SystonEastJn–SystonNorthJn	0	17	0	00	8	N	N	Y	N	N	EH	
London-North-Eastern	1197	LN3237	RUD	LoughboroughSouthJn	Network Rail/GCR (N) Boundary	LoughboroughSouthJn–NetworkRail/GCR(N)Boundary	92	45	92	49	8	N	N	Y	N	N	N	
London-North-Eastern	1197	LN3240	LED	LittleEatonJn	Denby	LittleEatonJn–Denby	131	06	135	46	8	N	N	Y	N	N	N	Line out of use NC/G1/2010/LNE/021
London-North-Eastern	1197	LN3246	AJM1	AmbergateJn	Matlock	AmbergateJn–Matlock	137	61	145	00	8	N	N	Y	N	N	N	
London-North-Eastern	1197	LN3249	LSN	LentonSouthJn	Lenton North Jn	LentonSouthJn–LentonNorthJn	0	00	0	27	8	N	N	Y	N	N	N	
