Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	58	59	60	66	67	68	70	73	97/3	Notes
London-North-Eastern	1245	LN3210	JRT1	Change of ELR (Between Tottenham North Curve No 2 and No 1 Tunnels) – Carlton Road Jn (Tottenham Lines)	0	18	0	03	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1245	LN3213	MCL	Route Boundary (SO280) (former Farringdon Jn) – Kentish Town Jn	0	66	3	58	5	N	N	N	N	N	Y	N	R1 R2 R3 R4	N	R1 15mph R2 OHLE must be switched off and Block To Electric Traction (BTET) imposed no requirement for earthing R3 Locomotives must not stand under insulators positioned directly above the track as the exhaust can damage the Overhead Line Equipment R4 Prohibited in DC mode
London-North-Eastern	1245	LN3214	CBI	Canal Tunnel Jn – Belle Isle Jn	0	00	0	53	3	N	N	N	N	N	Y	N	N	N	
London-North-Eastern	1245	LN3219	CAW	Cricklewood Curve Jn – Route Boundary (LOR EA1360) (Dudding Hill)	5	19	5	72	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1245	LN3222	BDH	Brent Curve Jn – Route Boundary (EA1360) (Dudding Hill)	0	00	0	54	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1245	LN3228	TCC	Trent East Jn – Trent East ELR Change	119	70	119	56	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1245	LN3228	TES	Trent East ELR Change – Sheet Stores Jn	0	00	0	30	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1245	LN3231	WGP	Wigston South Jn – Glen Parva Jn	95	37	96	07	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1245	LN3232	WNS	Wigston North Jn – Route Boundary (MD232) (Nuneaton South Jn)	15	31	2	62	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1245	LN3234	SEN	Syston East Jn – Syston North Jn	0	17	0	00	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1245	LN3237	RUD	Loughborough South Jn – Network Rail/GCR (N) Boundary	92	45	92	49	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1245	LN3240	LED	Little Eaton Jn – Denby	131	06	135	46	8	N	N	N	N	N	Y	N	N	N	Line out of use NC/G1/2010/LNE/021
London-North-Eastern	1245	LN3246	AJM1	Ambergate Jn – Matlock	137	61	145	00	8	Y	Y	Y	Y	N	Y	R1	Y	Y	R1 Prohibited between Ambergate and Whatstandwell
London-North-Eastern	1245	LN3249	LSN	Lenton South Jn – Lenton North Jn	0	00	0	27	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1245	LN3252	MJT1	Mansfield Jn – Radford Jn	124	22	125	55	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1245	LN3252	MJT2	Radford Jn – Trowell South Jn	125	55	130	51	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1245	LN3255	RAC	Radford Jn – Newstead	125	55	134	20	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1245	LN3255	RAC	Newstead – Kirkby Lane End Jn	134	20	136	66	7	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1245	LN3261	THL	Trent South Jn – Toton South Jn (High Level Lines)	119	17	121	36	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1245	LN3264	AML	Attenborough Jn – Meadow Lane Jn (Attenborough Curve)	0	62	0	00	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1245	LN3273	TCC	Codnor Park Jn – Ironville Jn	132	76	133	18	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
