Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	317	319	321	322	325	377	380	387	390	700	Notes
London-North-Eastern	1141	LN3140	BBM	Route Boundary (MD140) (Bedford St. Johns) – Bedford Station Jn	16	07	16	50	N	EH	N	N	H	N	N	E	N	E	
London-North-Eastern	1141	LN3140	SPC1	Bedford Station Jn – Bedford Station (Via Up and Down Bletchley line)	49	60	49	65	N	E	N	N	H	E R1	N	N	N	N	R1 For access to Jowett Sidings
London-North-Eastern	1141	LN3201	SPC1	St Pancras platforms 1, 2, 3 and 4 - Cricklewood	0	12	5	09	Y	Y	Y	Y	H	Y	N	Y	N	Y	
London-North-Eastern	1141	LN3201	SPC1	Cricklewood – Change of ELR (Bedford)	5	09	50	00	Y	Y	Y	Y	H	Y	N	Y	N	R1	R1 Prohibited on the Up Hendon and Down Hendon between Cricklewood South Jn - Silkstream Jn
London-North-Eastern	1141	LN3201	SPC2	Change of ELR (Bedford) – Change of ELR (Wellingborough)	50	00	64	78	N	N	N	N	H	N	N	N	N	N	
London-North-Eastern	1141	LN3201	SPC3	Change of ELR (Wellingborough) – Change of ELR (Wigston South Jn)	64	78	95	38	N	N	N	N	H	N	N	N	N	N	
London-North-Eastern	1141	LN3201	SPC4	Change of ELR (Wigston South Jn) – Change of ELR (Leicester )	95	38	98	73	N	N	N	N	H	N	N	N	EH	N	
London-North-Eastern	1141	LN3201	SPC5	Change of ELR (Leicester) – Leicester	98	73	99	07	N	N	N	N	H	N	N	N	EH R1	N	R1 Prohibited Leicester platform 4
London-North-Eastern	1141	LN3201	SPC5	Leicester – Ratcliffe Jn	99	07	118	34	N	N	N	N	H	N	N	N	EH R1	N	R1 Prohibited Leicester platform 4
London-North-Eastern	1141	LN3201	SPC5	Ratcliffe Jn – Change of ELR (Ratcliffe)	118	34	118	60	N	N	N	N	H	N	N	N	EH	N	
London-North-Eastern	1141	LN3201	SPC6	Change of ELR (Ratcliffe) – Change of ELR (Spondon)	118	60	126	27	N	N	N	N	H	N	N	N	EH	N	
London-North-Eastern	1141	LN3201	SPC7	Change of ELR (Spondon) – London Road Jn	126	27	128	23	N	N	N	N	H	N	N	N	EH	N	
London-North-Eastern	1141	LN3201	SPC8	London Road Jn – Derby Jn	127	54	128	08	N	N	N	N	H	N	EH	N	EH R1 R2	N	R1 Prohibited Derby platform 4 R2 5mph Derby platform 3
London-North-Eastern	1141	LN3201	SPC8	Derby Jn – Former Clay Cross South Jn	128	08	147	69	N	N	N	N	H	N	N	N	N	N	
