Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	325	333	345	357	357 MOD	360	365	377	378	387	Notes
London-North-Eastern	1111	LN135	EMP	Route Boundary (EA1560) (Ely West Jn) – Crescent Jn	98	40	100	66	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1111	LN145	WDU	Marholm Jn – Glinton Jn	0	00	1	64	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1111	LN147	PMJ	Helpston Jn – Route Boundary (LN3615)	16	71	13	60	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1111	LN150	SPD5	Flyover East – Decoy North Jn	116	20	117	46	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1111	LN155	LCJ	Flyover East Jn – Loversall Jn (Up Loversall Curve)	152	79	152	36	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1111	LN160	LCR	Loversall Carr Jn – Rossington Colliery Jn	152	00	152	12	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1111	LN160	FWR1	Rossington Colliery Jn – Flyover West Jn	152	12	153	19	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1111	LN165	HPW	Route Boundary (EA1370) (Harringay Park Jn) – Harringay Jn	0	14	0	03	H	N	N	N	N	E R1	N	EH	E	N	R1 Class 360/1 only
London-North-Eastern	1111	LN170	WEB	Werrington Jn – Site of former Spalding South Jn	79	34	92	58	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1111	LN170	SPD1	Site of former Spalding South Jn – Sleaford South Jn	44	07	62	14	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1111	LN170	SPD2	Sleaford South Jn – Sleaford North Jn	62	14	63	48	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1111	LN170	SPD2	Sleaford North Jn – Site of former Greetwell West Jn	63	48	81	25	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1111	LN170	SPD3	Site of former Greetwell West Jn – Trent East Jn	81	25	98	56	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1111	LN170	MAC3	Trent East Jn – Trent West Jn	73	25	73	11	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1111	LN170	SPD4	Trent West Jn – Bessacarr Jn	98	68	115	72	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1111	LN170	SPD5	Bessacarr Jn – Doncaster, Flyover East Jn	115	72	116	20	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1111	LN175	SSE	Sleaford South Jn – Sleaford East Jn	0	00	0	43	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1111	LN180	SNW	Sleaford West Jn – Sleaford North Jn	1	34	3	42	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1111	LN185	ABE1	Allington West Jn – Site of former Barkston East Jn	0	00	4	08	H	N	N	N	N	N	N	N	N	N	
