Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	170	172	180	185	195	220	221	222	Notes
London-North-Eastern	1078	LN922	TJC3	Whitehall West Jn – Skipton	195	57	221	01	R1	N	N	R1	Y	Y	Y	N	R1 Prohibited between Armley Jn and Skipton
London-North-Eastern	1078	LN922	TJC3	Skipton – Site of former Skipton North Jn Change of ELR	221	21	221	68	N	N	N	N	Y	Y	Y	N	
London-North-Eastern	1078	LN922	SKW1	Site of former Skipton North Jn Change of ELR – Route Boundary (NW9901) (Settle Jn)	221	68	230	00	N	N	N	N	Y	Y	Y	N	
London-North-Eastern	1078	LN924	ILK1	Apperley Jn – Burley in Wharfedale	202	03	208	02	N	N	N	N	Y	N	N	N	
London-North-Eastern	1078	LN924	ILK2	Burley in Wharfedale – Ilkley	208	02	211	20	N	N	N	N	Y	N	N	N	
London-North-Eastern	1078	LN926	GUE2	Dockfield Jn – Esholt Jn	3	41	0	00	N	N	N	N	Y	N	N	N	
London-North-Eastern	1078	LN928	SBF	Shipley East Jn – Bradford Forster Square	205	54	208	50	N	N	N	N	Y	N	N	N	
London-North-Eastern	1078	LN930	SKS1	Skipton Middle – Site of former Embsay Jn	222	68	220	64	N	N	N	N	N	N	N	N	
London-North-Eastern	1078	LN930	SKS2	Site of former Embsay Jn – Network Rail Boundary (Tilcon Siding)	0	00	6	50	N	N	N	N	N	N	N	N	
London-North-Eastern	1078	LN932	BIB	Shipley South Jn – Shipley West Jn	0	00	0	17	N	N	N	N	Y	N	N	N	
