Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	325	333	345	357	357 MOD	360	365	377	378	387	Notes
London-North-Eastern	1120	LN836	DOL1	Doncaster Marshgate Jn – Hare Park Jn	156	28	171	70	H	R1	N	N	N	N	E R2 R3 R4	N	N	N	R1 Prohibited from using the unwired main to main crossover at Wintersett R2 5mph Down Leeds Bridge 1 River Don 156m 43ch (between Marshgate Jn and the avoiding line overbridge) R3 Prohibited Up Leeds Bridge 1 River Don 156m 43ch (between Marshgate Jn and the avoiding line overbridge) R4 Prohibited between the avoiding overbridge and Hare Park Jn
London-North-Eastern	1120	LN836	DOL1	Hare Park Jn – Site of former West Riding Jn	171	70	175	32	H	Y	N	N	N	N	N	N	N	N	
London-North-Eastern	1120	LN836	DOL2	Site of former West Riding Jn – Copley Hill West Jn	175	32	184	65	H	Y	N	N	N	N	N	N	N	N	
London-North-Eastern	1120	LN836	DOL2	Copley Hill West Jn – Whitehall West Jn	184	65	185	25	H	Y	N	N	N	N	N	N	N	N	
London-North-Eastern	1120	LN836	DOL2	Whitehall West Jn – Whitehall East Jn	185	25	185	28	H	Y	N	N	N	N	N	N	N	N	
London-North-Eastern	1120	LN836	DOL2	Whitehall East Jn – Leeds	185	28	185	70	H	Y	N	N	N	N	N	N	N	N	
London-North-Eastern	1120	LN836	HUL4	Leeds – Neville Hill East Jn	20	50	18	25	H	E	N	N	N	N	N	N	N	N	
London-North-Eastern	1120	LN838	LEH1	Armley Jn – Site of former Pannal Jn	0	12	14	60	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1120	LN838	LEH2	Site of former Pannal Jn – Site of Former Crimple Jn	14	60	15	20	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1120	LN838	LEH3	Site of former Crimple Jn – Harrogate	15	20	17	24	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1120	LN838	HAY2	Harrogate – Site of former Starbeck North Jn	20	38	18	60	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1120	LN838	HAY1	Site of former Starbeck North Jn – Skelton Jn	18	60	1	50	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1120	LN840	TJC3	Leeds Engine Shed Jn – Whitehall East Jn	195	20	195	52	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1120	LN842	CJS	Thorpe Marsh Jn – Applehurst Jn	163	76	163	27	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1120	LN842	CJS	Applehurst Jn – Skellow Jn	163	27	160	59	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1120	LN842	SKA	Skellow Jn – Adwick Jn	0	61	0	00	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1120	LN844	JCA	Applehurst Jn – Joan Croft Jn	0	49	0	00	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1120	LN846	CJS	Carcroft Jn – Skellow Jn	160	08	160	59	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1120	LN848	HPC	Hare Park Jn – Crofton West Jn	171	70	173	22	H	N	N	N	N	N	N	N	N	N	
