Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	Loco Gauge	Notes
London-North-Eastern	1281	LN920	AWP	Anlaby Road Jn – West Parade North Jn	0	00	0	24	8	Y	
London-North-Eastern	1281	LN922	TJC3	Whitehall West Jn – Skipton	195	57	221	01	8	R1	R1 Prohibited between the connection to the Kirkstall Loop and Apperley Jn on the Up Shipley Main line
London-North-Eastern	1281	LN922	TJC3	Skipton – Site of Former Skipton North Jn Change of ELR	221	21	221	68	8	Y	
London-North-Eastern	1281	LN922	SKW1	Site of Former Skipton North Jn Change of ELR – Route Boundary (NW9901) (Settle Jn)	221	68	230	00	8	Y	
London-North-Eastern	1281	LN924	ILK1	Apperley Jn – Burley in Wharfedale	202	03	208	02	7	R1	R1 Prohibited Guiseley Down platform
London-North-Eastern	1281	LN924	ILK2	Burley in Wharfedale – Ilkley	208	02	211	20	7	Y	
London-North-Eastern	1281	LN926	GUE2	Dockfield Jn – Esholt Jn	3	41	0	00	5	Y	
London-North-Eastern	1281	LN928	SBF	Shipley East Jn – Bradford Forster Square	205	54	208	50	8	Y	
London-North-Eastern	1281	LN930	SKS1	Skipton Middle – Site of Former Embsay Jn	222	68	220	64	8	Y	
London-North-Eastern	1281	LN930	SKS2	Site of Former Embsay Jn – Network Rail Boundary (Tilcon Siding)	0	00	6	50	8	Y	
London-North-Eastern	1281	LN932	BIB	Shipley South Jn – Shipley West Jn	0	00	0	17	8	Y	
