London-North-Eastern	1009	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	142	143	144	150	153	155	156	158	159	Notes
London-North-Eastern	1009	LN736	MAC3	West Burton East Jn	Thrumpton West Jn (Up)	West Burton East Jn – Thrumpton West Jn (Up)	72	18	63	28	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Eastern	1009	LN736	MAC3	Thrumpton West Jn (Up)	Manton Wood	Thrumpton West Jn (Up) – Manton Wood	63	28	58	54	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Eastern	1009	LN736	MAC3	Manton Wood	Brancliffe East Jn	Manton Wood – Brancliffe East Jn	58	54	53	57	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Eastern	1009	LN736	MAC3	Brancliffe East Jn	Woodburn Jn	Brancliffe East Jn – Woodburn Jn	53	57	42	29	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Eastern	1009	LN736	NUJ2	Woodburn Jn	Site of Former Nunnery Jn	Woodburn Jn – Site of Former Nunnery Jn	42	29	41	68	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Eastern	1009	LN736	NUJ1	Site of Former Nunnery Jn	Nunnery Main Line Jn	Site of Former Nunnery Jn – Nunnery Main Line Jn	159	33	158	77	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Eastern	1009	LN738	MWN	Great Coates No. 1	Network Rail Boundary (ABP)	Great Coates No. 1 – Network Rail Boundary (ABP)	108	34	108	44	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1009	LN740	MWN	Marsh West Jn	Network Rail Boundary (ABP)	Marsh West Jn – Network Rail Boundary (ABP)	107	69	108	44	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1009	LN740	PYE2	Network Rail Boundary (ABP)	Site of Former Queens Road Jn	Network Rail Boundary (ABP) – Site of Former Queens Road Jn	4	33	0	00	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1009	LN740	PYE1	Site of Former Queens Road Jn	Immingham East Jn	Site of Former Queens Road Jn – Immingham East Jn	106	50	106	31	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1009	LN740	BRI2	Immingham East Jn	Humber Road Jn	Immingham East Jn – Humber Road Jn	106	31	104	05	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1009	LN741	HAU	Habrough	Ulceby South Jn	Habrough – Ulceby South Jn	0	32	1	45	Y	Y	Y	Y	Y	N	Y	Y	N	
London-North-Eastern	1009	LN742	KIL2	Killingholme	Immingham West Change of Mileage	Killingholme – Immingham West Change of Mileage	2	70	0	00	N	N	N	N	N	N	R1	R1	N	R1 See Sectional Appendix Local Instructions
London-North-Eastern	1009	LN742	KIL1	Immingham West Change of Mileage	Humber Rd Jn	Immingham West Change of Mileage – Humber Rd Jn	105	10	104	05	N	N	N	N	N	N	Y	Y	N	
London-North-Eastern	1009	LN742	BRI2	Humber Rd Jn	Ulceby North Jn	Humber Rd Jn – Ulceby North Jn	104	05	100	44	N	N	N	N	N	N	Y	Y	N	
London-North-Eastern	1009	LN742	BRI1	Ulceby North Jn	Brocklesby West Jn	Ulceby North Jn – Brocklesby West Jn	100	44	99	20	R1	R1	R1	R1	R1	N	Y	Y	N	R1 Prohibited between Ulceby South Jn and Brocklesby West Jn
London-North-Eastern	1009	LN744	BAR	Ulceby North Jn	Barton on Humber	Ulceby North Jn – Barton on Humber	100	44	110	18	Y	Y	Y	Y	Y	N	Y	Y	N	
London-North-Eastern	1009	LN746	TYB1	Cottam Power Station	Clarborough Jn	Cottam Power Station – Clarborough Jn	71	79	68	32	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1009	LN748	WHR	Retford Western Jn	Thrumpton West Jn	Retford Western Jn – Thrumpton West Jn	64	29	63	28	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1009	LN750	MAC3	Woodburn Jn	Deepcar	Woodburn Jn – Deepcar	42	29	33	35	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1009	LN752	DOW	Wrawby Jn	Marshgate Jn	Wrawby Jn – Marshgate Jn	33	34	0	03	Y	Y	Y	Y	Y	R1	Y	Y	N	R1 Prohibited between Wrawby Jn and Thorne Jn
London-North-Eastern	1009	LN754	SAN	Scunthorpe Foreign Ore Branch		Scunthorpe Foreign Ore Branch	0	00	1	16	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1009	LN756	NOP1	Scunthorpe Trent Jn	Site of Former Dawes Lane Jn	Scunthorpe Trent Jn – Site of Former Dawes Lane Jn	0	00	0	28	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1009	LN756	NOP2	Site of Former Dawes Lane Jn	NR Boundary (Roxby)	Site of Former Dawes Lane Jn – NR Boundary (Roxby)	0	25	3	60	N	N	N	N	N	N	N	N	N	
