Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	313	314	315	317	318	319	321	322	325
London-North-Eastern	1092	LN664	BNW	Boldon East Jn – Boldon North Jn	0	00	0	20	N	N	N	N	N	N	N	N	
London-North-Eastern	1092	LN666	BGE	Boldon West Jn – Boldon North Jn	0	00	0	32	N	N	N	N	N	N	N	N	
London-North-Eastern	1092	LN666	GLT	Boldon North Jn – Tyne Dock	0	32	1	26	N	N	N	N	N	N	N	N	
London-North-Eastern	1092	LN670	JAW1	Pelaw Jn – Network Rail Boundary (Shell Mex Depot Jarrow)	0	09	3	36	N	N	N	N	N	N	N	N	
London-North-Eastern	1092	LN672	FEP	Wardley – Pelaw Jn	19	70	20	75	N	N	N	N	N	N	N	N	
London-North-Eastern	1092	LN674	HLK	High Level Bridge Jn – Greensfield Jn (West Curve)	0	00	0	21	Y	Y	Y	Y	Y	N	Y	Y	
London-North-Eastern	1092	LN676	PLG1	Park Lane Jn – Site of former High Street Jn	100	65	101	15	EH	EH	EH	EH	EH	N	EH	EH	
London-North-Eastern	1092	LN676	PLG2	Site of former High Street Jn – Greensfield Jn	0	00	0	21	EH	EH	EH	EH	EH	N	EH	EH	
London-North-Eastern	1092	LN676	HLK	Greensfield Jn – King Edward Bridge South Jn	0	16	0	48	Y	Y	Y	Y	Y	N	Y	Y	
London-North-Eastern	1092	LN678	DAE1	Darlington North Jn – Site of former Parkgate Jn	44	36	44	64	N	N	N	N	N	N	N	N	
London-North-Eastern	1092	LN678	DAE1	Site of former Parkgate Jn – Shildon SB	0	00	8	29	N	N	N	N	N	N	N	N	
London-North-Eastern	1092	LN678	DAE2	Shildon SB – Bishop Auckland	8	29	11	23	N	N	N	N	N	N	N	N	
London-North-Eastern	1092	LN682	NEC1	King Edward Bridge South Jn – Norwood Jn	0	48	1	71	N	N	N	N	N	N	N	N	
London-North-Eastern	1092	LN682	NEC1	Norwood Jn – Site of former Blaydon East Jn	1	71	5	28	N	N	N	N	N	N	N	N	
London-North-Eastern	1092	LN682	NEC2	Site of former Blaydon East Jn – Route Boundary (NW9909) (Petteril Bridge Jn)	3	78	58	00	N	N	N	N	N	N	N	N	
London-North-Eastern	1092	LN684	NLF	Low Fell Jn – Limit of Electrification	0	00	1	26	N	N	N	N	N	N	N	N	
London-North-Eastern	1092	LN684	NLF	Limit of Electrification – Norwood Jn	1	26	1	42	N	N	N	N	N	N	N	N	
London-North-Eastern	1092	LN694	BNE	Benton North Jn – Site of former Earsdon Jn	0	00	2	53	N	N	N	N	N	N	N	N	
London-North-Eastern	1092	LN694	EJM	Site of former Earsdon Jn – Morpeth North Jn	7	08	20	47	N	N	N	N	N	N	N	N	
London-North-Eastern	1092	LN696	HJM	Hepscott Jn – Morpeth Jn	19	44	20	47	N	N	N	N	N	N	N	N	
London-North-Eastern	1092	LN700	BWO2	Butterwell Jn – Signal B1	0	00	0	48	N	N	N	N	N	N	N	N	
