London-North-Eastern	1015	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	 M	 Ch	 M	 Ch	170	172	180	185	195	220	221	222	Notes
London-North-Eastern	1015	LN101	ECM1	Holloway South / North Jns	Wood Green North Jn	Holloway South / North Jns – Wood Green North Jn	1	44	5	07	Y	E R1	R2 R3	N	N	N	N	R4 R5	R1 Prohibited between Hornsey Depot and Wood Green North Jn R2 Passenger operation can be planned for Fast / Main lines only. ECS can be planned for Fast / Main and Slow lines. R3 For all planned movements and unplanned diversions when returning to Fast / Main lines a maximum speed of 70mph applies until the unit has passed the next signal. R4 Shall be planned for Fast / Main lines only R5 For unplanned diversions when returning to Fast/Main lines a maximum speed of 70mph applies until the unit has passed the next signal
London-North-Eastern	1015	LN101	ECM1	Wood Green North Jn	Langley Jn	Wood Green North Jn – Langley Jn	5	07	25	73	Y	N	R1 R2	N	N	N	N	R3 R4	R1 Passenger operation can be planned for Fast / Main lines only. ECS can be planned for Fast / Main and Slow lines. R2 For all planned movements and unplanned diversions when returning to Fast / Main lines a maximum speed of 70mph applies until the unit has passed the next signal. R3 Shall be planned for Fast / Main lines only R4 For unplanned diversions when returning to Fast/Main lines a maximum speed of 70mph applies until the unit has passed the next signal
London-North-Eastern	1015	LN101	ECM1	Langley Jn	St Neots	Langley Jn – St Neots	25	73	51	58	Y	N	R1 R2	N	N	N	N	R3 R4	R1 Passenger operation can be planned for Fast / Main lines only. ECS can be planned for Fast / Main and Slow lines. R2 For all planned movements and unplanned diversions when returning to Fast / Main lines a maximum speed of 70mph applies until the unit has passed the next signal. R3 Shall be planned for Fast / Main lines only R4 For unplanned diversions when returning to Fast/Main lines a maximum speed of 70mph applies until the unit has passed the next signal
