Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	08	09	20	25	31/1 31/6	31/4	33	37/0 37/3 37/4 37/6	Notes
London-North-Eastern	1170	LN824	SKM	Moorthorpe Jn – South Kirkby Jn	0	57	0	05	8	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1170	LN826	PED5	South Yorkshire Jn – Mexborough Jn	22	57	15	64	8	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1170	LN826	SJM2	Mexborough Jn – Site of Former Mexborough North Jn	15	64	14	78	8	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1170	LN826	SJM1	Site of Former Mexborough North Jn – Swinton Jn South	167	15	166	56	8	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1170	LN828	WME	Mexborough Jn – Aldwarke Jn	10	17	7	26	8	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1170	LN830	WME	Aldwarke Jn – Woodburn Jn	7	25	0	00	8	Y	Y	Y	N	Y	Y	R1	Y	R1 Class 33 locomotives with unmodified lifeguards are not permitted between Tinsley South Jn and Parkgate Jn due to the presence of raised check rails
London-North-Eastern	1170	LN832	SJB	Doncaster, Bridge Jn – St. James Jn	22	54	22	38	8	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1170	LN836	DOL1	Doncaster Marshgate Jn – Hare Park Jn	156	28	171	70	9	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1170	LN836	DOL1	Hare Park Jn – Site of Former West Riding Jn	171	70	175	32	9	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1170	LN836	DOL2	Site of Former West Riding Jn – Copley Hill West Jn	175	32	184	65	9	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1170	LN836	DOL2	Copley Hill West Jn – Whitehall West Jn	184	65	185	25	9	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1170	LN836	DOL2	Whitehall West Jn – Whitehall East Jn	185	25	185	28	9	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1170	LN836	DOL2	Whitehall East Jn – Leeds	185	28	185	70	8	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1170	LN836	HUL4	Leeds – Neville Hill East Jn	20	50	18	25	8	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1170	LN838	LEH1	Armley Jn – Site of Former Pannal Jn	0	12	14	60	8	Y	Y	Y	N	Y	Y	Y	R1	R1 10mph through Wescoe Hill Tunnel on the Down
London-North-Eastern	1170	LN838	LEH2	Site of Former Pannal Jn – Site of Former Crimple Jn	14	60	15	20	8	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1170	LN838	LEH3	Site of Former Crimple Jn – Harrogate	15	20	17	24	8	Y	Y	Y	N	Y	Y	Y	R1	R1 Prohibited at Bridge 39 (between Hornbeam Park and Harrogate) on the Up, 10mph through Bridge 39 on the Down.
London-North-Eastern	1170	LN838	HAY2	Harrogate – Site of Former Starbeck North Jn	20	38	18	60	8	Y	Y	R1	N	R1	R1	R1	R1	R1 Prohibited Harrogate Bay platform 2
London-North-Eastern	1170	LN838	HAY1	Site of Former Starbeck North Jn – Skelton Jn	18	60	1	50	8	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1170	LN840	TJC3	Leeds Engine Shed Jn – Whitehall East Jn	195	20	195	52	8	Y	Y	Y	N	Y	Y	Y	Y	
