Route	page	Line of Route	Line of Route / Sector Description	W6	W7	W8	W9	W9Plus	W10	W10A	W12	Notes
London-North-Eastern	1249	LN618	Holgate Jn – Skelton Jn (avoiding York station)	Y *	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1249	LN620	King Edward Bridge East Jn – King Edward Bridge North Jn	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1249	LN622	Forth Branch	Y	N	N	N	N	N	N	N	
London-North-Eastern	1249	LN624	Northallerton, Castle Hills Jn – Castle Hills West GF	Y	N	N	N	N	N	N	N	
London-North-Eastern	1249	LN626	Northallerton High Jn – Northallerton East Jn	Y	Y	Y	N	N	N	N	N	
London-North-Eastern	1249	LN627	Northallerton, Longlands Jn – Billingham Jn	Y *	Y	Y	R1	R1	R1	R1	R1	R1 Between Eaglescliffe South Jn and Stockton Cut only
London-North-Eastern	1249	LN627	Billingham Jn – Ryhope Grange	Y *	Y	Y	N	N	N	N	N	
London-North-Eastern	1249	LN627	Ryhope Grange – Boldon East Jn	Y *	N	N	N	N	N	N	N	
London-North-Eastern	1249	LN627	Boldon East Jn – Boldon West Jn	Y *	Y	Y	N	N	N	N	N	
London-North-Eastern	1249	LN627	Boldon West Jn – Park Lane Jn	Y *	Y	Y	Y	N	Y	N	N	
London-North-Eastern	1249	LN627	Park Lane Jn – Newcastle East Jn	Y *	Y	Y	N	N	N	N	N	
London-North-Eastern	1249	LN627	Dawdon Junction – Seaham Harbour (NR Limit) [1m 36ch]	Y *	N	N	N	N	N	N	N	
London-North-Eastern	1249	LN628	South Hylton – Sunderland South Jn	Y *	-	-	-	N	-	N	-	Nexus Metro Trains
London-North-Eastern	1249	LN629	Pelaw Metro Jn – Pelaw South Jn	Y *	-	-	-	N	-	N	-	Nexus Metro Trains
London-North-Eastern	1249	LN630	Pelaw North Jn – Pelaw Metro Jn	Y *	-	-	-	N	-	N	-	Nexus Metro Trains
London-North-Eastern	1249	LN631	Darlington South Jn – Eaglescliffe South Jn	Y *	Y	Y	Y	Y	Y	Y	Y	
