Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	325	333	345	357	357 MOD	360	365	377	378	387	Notes
London-North-Eastern	1110	LN101	ECM1	Fletton Jn – Peterborough	75	02	76	29	Y	N	N	N	N	N	Y	N	N	Y	
London-North-Eastern	1110	LN101	ECM1	Peterborough – Newark North Gate	76	29	120	08	Y	N	N	N	N	N	E R1	N	N	R2	R1 Prohibited on Washer Road and in 12 car formation on South Up Departure line at Eastfield R2 Prohibited New England Jn to Newark North Gate
London-North-Eastern	1110	LN101	PMJ	Peterborough – Helpston Jn via Stamford lines	22	19	16	71	Y	N	N	N	N	N	E	N	N	N	
London-North-Eastern	1110	LN101	ECM1	Newark North Gate – Retford	120	08	138	49	Y	N	N	N	N	N	E R1 R2	N	N	N	R1 Prohibited via bridge 303a 138m38ch (Worksop – Gainsborough line underbridge) Down Fast R2 25mph Grantham Station platform 4
London-North-Eastern	1110	LN101	ECM1	Retford – Loversall Carr Jn	138	49	150	00	Y	N	N	N	N	N	E	N	N	N	
London-North-Eastern	1110	LN101	ECM1	Loversall Carr Jn – Marshgate Jn	152	00	156	26	Y	R1	N	N	N	N	E R2 R3	N	N	N	R1 Between Doncaster platforms 1, 3, 4, 6, 7 and 8 and Marshgate Jn only R2 Prohibited Doncaster platform 7 R3 15mph Doncaster platform 1
London-North-Eastern	1110	LN101	ECM1	Marshgate Jn – Shaftholme Jn	156	26	160	16	Y	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1110	LN105	MEB1	Moorgate – Drayton Park	0	00	2	56	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1110	LN105	MEB1	Drayton Park – Finsbury Park Jn	2	56	3	37	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1110	LN110	CFP	Route Boundary (EA1320) (Canonbury West Jn) - Finsbury Park Jn	3	20	4	33	H	N	E	E	E	N	N	N	E	N	
London-North-Eastern	1110	LN115	CRF1	Copenhagen Jn – Route Boundary (EA1320) (North London Incline)	0	00	0	20	Y	N	N	N	N	N	N	E	E	E	
London-North-Eastern	1110	LN120	HDB	Wood Green Jn – Langley Jn via Hertford	5	07	28	15	R1	N	N	N	N	N	R1	N	N	Y	R1 No more than 18 electric trains per line may operate over the Hertford Loop in any one hour period
London-North-Eastern	1110	LN120	HDB	Langley Jn Down – Stevenage platform 5 (end of line)	28	15	29	00	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1110	LN125	SBR	Cambridge Jn – Route Boundary (EA1230)	32	11	45	60	H	N	N	N	N	N	R1	N	N	R2	R1 See Sectional Appendix Local Instructions R2 Prohibited Norton Way North Bridge No.5 Arrival / Departure line with deflated suspension
London-North-Eastern	1110	LN126	DCF	Hitchin North Jn – Hitchin East Jn	32	53	34	05	N	N	N	N	N	N	Y	N	N	Y	
