London-North-Eastern	1243	Line of Route	Line of Route / Sector Description	Line of Route / Sector Description		Gauge								Notes
London-North-Eastern	1243					W6	W7	W8	W9	W9Plus	W10	W10A	W12
London-North-Eastern	1243	LN101	Peterborough – Doncaster, Marshgate Jn	Peterborough	Doncaster, Marshgate Jn	R1	Y	Y	Y	R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14	R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13	R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14	R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14	R1 PNA wagons restricted to 40mph through Newark North Gate when operating in tare condition R2 PROHIBITED Werrington Jn to South Yorkshire Jn R3 PROHIBITED on the Up Platform Loop through Doncaster platform 1 R4 PROHIBITED from Doncaster Up bay platform 2 R5 PROHIBITED from Doncaster Down bay platform 5, 6 and 7 R6 PROHIBITED on the Down Platform Loop through Doncaster platform 8 R7 PROHIBITED from Doncaster West Yard R8 PROHIBITED between Doncaster North Jn and Marshgate Jn on the Down Leeds Goods R9 PROHIBITED between Doncaster North Jn and Marshgate Jn on the Down Leeds Slow R10 PROHIBITED between Doncaster North Jn and Marshgate Jn on the Up Slow R11 PROHIBITED between Doncaster North Jn and Marshgate Jn on the Thorne Slow R12 PROHIBITED Werrington Jn to Shaftholme Jn R13 PROHIBITED on Peterborough Eastfield South Down Arrival R14 PROHIBITED on Peterborough Eastfield North Down Departure
London-North-Eastern	1243	LN101	Doncaster, Marshgate Jn – Shaftholme Jn	Doncaster, Marshgate Jn	Shaftholme Jn	Y *	Y	Y	Y	Y	Y	Y	Y
London-North-Eastern	1243	LN101	Helpston Junction – Peterborough (Stamford Lines)	Helpston Junction	Peterborough (Stamford Lines)	Y	Y	Y	Y	N	N	N	N
London-North-Eastern	1243	LN101	Decoy North Junction – Bridge Junction (Down Side Sidings)	Decoy North Junction	Bridge Junction (Down Side Sidings)	Y	Y	Y	Y	N	N	N	N
London-North-Eastern	1243	LN101	Potteric Carr Junction – Bridge Junction (Up Side Sidings)	Potteric Carr Junction	Bridge Junction (Up Side Sidings)	Y	Y	Y	Y	N	N	N	N
London-North-Eastern	1243	LN105	Moorgate – Finsbury Park Jn	Moorgate	Finsbury Park Jn	N	N	N	N	N	N	N	N
London-North-Eastern	1243	LN110	Canonbury West Jn – Finsbury Park Jn	Canonbury West Jn	Finsbury Park Jn	Y	Y	Y	Y	Y	Y	Y	Y
