Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	08	09	20	25	31/1 31/6	31/4	33	37/0 37/3 37/4 37/6	Notes
London-North-Eastern	1165	LN652	POC2	Phillips Siding Jn – Seal Sands Branch Jn	3	25	5	01	8	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1165	LN652	SES	Seal Sands Branch Jn – End of NR maintenance	0	00	2	44	8	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1165	LN656	SOT	Seaton Snook Jn – Seaton-on-Tees	0	00	1	51	8	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1165	LN662	HNB	Ryhope Grange – Hendon	0	00	1	53	8	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1165	LN664	BNW	Boldon East Jn – Boldon North Jn	0	00	0	20	8	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1165	LN666	BGE	Boldon West Jn – Boldon North Jn	0	00	0	32	8	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1165	LN666	GLT	Boldon North Jn – Tyne Dock	0	32	1	26	8	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1165	LN670	JAW1	Pelaw Jn – Network Rail Boundary (Shell Mex Depot Jarrow)	0	09	3	36	8	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1165	LN672	FEP	Wardley – Pelaw Jn	19	70	20	75	8	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1165	LN674	HLK	High Level Bridge Jn – Greensfield Jn (West Curve)	0	00	0	21	8	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1165	LN676	PLG1	Park Lane Jn – Site of Former High Street Jn	100	65	101	15	8	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1165	LN676	PLG2	Site of Former High Street Jn – Greensfield Jn	0	00	0	21	8	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1165	LN676	HLK	Greensfield Jn – King Edward Bridge South Jn	0	16	0	48	8	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1165	LN678	DAE1	Darlington North Jn – Site of Former Parkgate Jn	44	36	44	64	8	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1165	LN678	DAE1	Site of Former Parkgate Jn – Shildon SB	0	00	8	29	8	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1165	LN678	DAE2	Shildon SB – Bishop Auckland	8	29	11	23	8	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1165	LN682	NEC1	King Edward Bridge South Jn – Norwood Jn	0	48	1	71	8	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1165	LN682	NEC1	Norwood Jn – Site of Former Blaydon East Jn	1	71	5	28	8	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1165	LN682	NEC2	Site of Former Blaydon East Jn – Route Boundary (NW9909) (Petteril Bridge Jn)	3	78	58	00	8	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1165	LN684	NLF	Low Fell Jn – Limit of Electrification	0	00	1	26	8	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1165	LN684	NLF	Limit of Electrification – Norwood Jn	1	26	1	42	8	Y	Y	Y	N	Y	Y	Y	Y	
