Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT (MOD)	MK4	MK5	MK5 A	Notes
London-North-Eastern	1146	LN736	NUJ1	Site of former Nunnery Jn – Nunnery Main Line Jn	159	33	158	77	Y	Y	Y	N	N	N	N	N	Y	
London-North-Eastern	1146	LN738	MWN	Great Coates No. 1 – Network Rail Boundary (ABP)	108	34	108	44	Y	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1146	LN740	MWN	Marsh West Jn – Network Rail Boundary (ABP)	107	69	108	44	Y	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1146	LN740	PYE2	Network Rail Boundary (ABP) – Site of former Queens Road Jn	4	33	0	00	Y	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1146	LN740	PYE1	Site of former Queens Road Jn – Immingham East Jn	106	50	106	31	Y	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1146	LN740	BRI2	Immingham East Jn – Humber Road Jn	106	31	104	05	Y	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1146	LN741	HAU	Habrough – Ulceby South Jn	0	32	1	45	Y	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1146	LN742	KIL2	Killingholme – Immingham West Change of Mileage	2	70	0	00	Y	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1146	LN742	KIL1	Immingham West Change of Mileage – Humber Rd Jn	105	10	104	05	Y	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1146	LN742	BRI2	Humber Rd Jn – Ulceby North Jn	104	05	100	44	Y	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1146	LN742	BRI1	Ulceby North Jn – Brocklesby West Jn	100	44	99	20	Y	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1146	LN744	BAR	Ulceby North Jn – Barton on Humber	100	44	110	18	Y	Y	N	N	N	N	N	N	N	
London-North-Eastern	1146	LN746	TYB1	Cottam Power Station – Clarborough Jn	71	79	68	32	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1146	LN748	WHR	Retford Western Jn – Thrumpton West Jn	64	29	63	28	Y	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1146	LN750	MAC3	Woodburn Jn – Deepcar	42	29	33	35	Y	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1146	LN752	DOW	Wrawby Jn – Marshgate Jn	33	34	0	03	Y	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1146	LN754	SAN	Scunthorpe Foreign Ore Branch	0	00	1	16	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1146	LN756	NOP1	Scunthorpe Trent Jn – Site of former Dawes Lane Jn	0	00	0	28	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1146	LN756	NOP2	Site of former Dawes Lane Jn – NR Boundary (Roxby)	0	25	3	60	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1146	LN758	BKS	Brancliffe East Jn – St Catherines Jn	0	00	15	17	Y	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1146	LN758	BKS	St Catherines Jn –Low Ellers Curve Jn	15	17	15	55	N	N	N	N	N	N	N	N	N	
