Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	313	314	315	317	318	319	321	322	325
London-North-Eastern	1104	LN862	PEH	Lockwood – Springwood Jn	1	18	0	40	N	N	N	N	N	N	N	N	
London-North-Eastern	1104	LN862	MVL3	Springwood Jn – Huddersfield	0	40	0	00	N	N	N	N	N	N	N	N	
London-North-Eastern	1104	LN864	DRS1	Dewsbury Railway Street – Change of Mileage	0	10	0	00	N	N	N	N	N	N	N	N	
London-North-Eastern	1104	LN864	DRS1	Change of Mileage – Dewsbury East Jn	0	27	0	00	N	N	N	N	N	N	N	N	
London-North-Eastern	1104	LN868	SHB	Wincobank Jn – Site of former Quarry Jn	161	52	173	48	N	N	N	N	N	N	N	N	
London-North-Eastern	1104	LN868	PED2	Site of former Quarry Jn – Barnsley Station Jn	7	50	6	43	N	N	N	N	N	N	N	N	
London-North-Eastern	1104	LN868	BAH2	Barnsley Station Jn – Site of former Crigglestone Jn	52	58	45	56	N	N	N	N	N	N	N	N	
London-North-Eastern	1104	LN868	CHS	Site of former Crigglestone Jn – Horbury Jn	1	53	0	00	N	N	N	N	N	N	N	N	
London-North-Eastern	1104	LN870	CTL	Wakefield Turners Lane – Calder Bridge Jn	0	50	0	00	N	N	N	N	N	N	N	N	
London-North-Eastern	1104	LN872	TJC3	Altofts Jn – Hunslet South Jn	185	73	193	40	N	N	N	N	N	N	N	N	
London-North-Eastern	1104	LN872	TJC3	Hunslet South Jn – Engine Shed Jn	193	40	195	20	N	N	N	N	N	N	N	N	
London-North-Eastern	1104	LN872	ELN	Engine Shed Jn – Leeds West Jn	195	20	195	53	N	N	N	N	N	N	N	N	
London-North-Eastern	1104	LN874	MEW2	Methley Jn – Whitwood Jn	1	12	0	01	N	N	N	N	N	N	N	N	
London-North-Eastern	1104	LN875	CPM2	Castleford West Jn – Cutsyke Jn	0	00	0	61	N	N	N	N	N	N	N	N	
London-North-Eastern	1104	LN875	CPM1	Cutsyke Jn – Pontefract West Jn	59	02	56	42	N	N	N	N	N	N	N	N	
London-North-Eastern	1104	LN876	BOO	Castleford East Jn – Ledston	6	17	4	43	N	N	N	N	N	N	N	N	
London-North-Eastern	1104	LN878	SHG	Sherburn Jn – Gascoigne Wood Jn	13	20	14	30	N	N	N	N	N	N	N	N	
London-North-Eastern	1104	LN880	YMS	York (platforms 4 & 5) - Scarborough (platforms 1 to 5)	0	00	42	06	N	N	N	N	N	N	N	N	
London-North-Eastern	1104	LN880	YMS	York (platform 2 and maintenance sidings) – Connection to Up line	0	0	0	15	N	N	N	N	N	N	N	N	
London-North-Eastern	1104	LN882	WAG1	Wakefield Kirkgate West Jn – Calder Bridge Jn	47	43	48	28	N	N	N	N	N	N	N	N	
London-North-Eastern	1104	LN882	WAG1	Calder Bridge Jn – Crofton West Jn	48	28	49	40	N	N	N	N	N	N	N	N	
London-North-Eastern	1104	LN882	WAG1	Crofton West Jn – Knottingley West Jn	49	40	58	20	N	N	N	N	N	N	N	N	
London-North-Eastern	1104	LN882	WAG1	Knottingley West Jn – Engine Shed Jn	58	20	73	52	N	N	N	N	N	N	N	N	
