Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	86	87	88	90	91	92	Notes
London-North-Eastern	1224	LN850	WWK	Wakefield Westgate South Jn – Wakefield Kirkgate West Jn	0	00	0	26	9	H	H	Y	H	H	N	
London-North-Eastern	1224	LN852	LBE1	Holbeck Jn – Site of Former Laisterdyke East Jn	0	02	6	49	8	H	H	Y	H	H	N	
London-North-Eastern	1224	LN852	LBE2	Site of Former Laisterdyke East Jn – Site of Former Laisterdyke West Jn	190	24	190	60	8	H	H	Y	H	H	N	
London-North-Eastern	1224	LN852	LBE3	Site of Former Laisterdyke West Jn – Site of Former Hammerton Street Jn	190	60	191	30	8	H	H	Y	H	H	N	
London-North-Eastern	1224	LN852	LBE4	Site of Former Hammerton Street Jn – Mill Lane Jn	191	30	191	75	8	H	H	Y	H	H	N	
London-North-Eastern	1224	LN852	MRB	Mill Lane Jn – Bradford Interchange	40	01	40	27	8	H	H	Y	H	H	N	
London-North-Eastern	1224	LN854	MVN2	Route Boundary (NW7001) (Hall Royd Jn) – Turners Lane Jn	22	62	48	33	9	H	H	Y	H	H	N	
London-North-Eastern	1224	LN854	MVN2	Turners Lane Jn – Site of Former Goose Hill Jn	48	33	50	31	9	H	H	Y	H	H	N	
London-North-Eastern	1224	LN854	TJC3	Site of Former Goose Hill Jn – Altofts Jn	184	56	186	00	8	H	H	Y	H	H	N	
London-North-Eastern	1224	LN854	NOC	Altofts Jn – Sherburn Jn	23	57	13	20	9	H	H	Y	H	H	N	
London-North-Eastern	1224	LN854	NOC	Sherburn Jn – Colton Jn	13	20	5	41	9	H	H	Y	H	H	N	
London-North-Eastern	1224	LN854	ECM4	Colton Jn – Holgate Jn	182	79	188	07	9	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1224	LN854	ECM4	Holgate Jn – York	188	07	188	40	9	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1224	LN854	ECM5	York – Skelton Jn * York platform 2 RA3, platform 4 RA8 and platform 5 RA8	0	00	1	50	9 *	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1224	LN858	MRB	Milner Royd Jn – Mill Lane Jn	29	20	40	01	8	N	N	Y	N	N	N	
London-North-Eastern	1224	LN859	GRD	Greetland Jn – Dryclough Jn	1	11	0	00	8	N	N	Y	N	N	N	
London-North-Eastern	1224	LN860	MVL3	Route Boundary (NW7021) (Stalybridge Tunnel Jn) – Springwood Jn	15	11	25	20	9	N	N	Y	N	N	N	
London-North-Eastern	1224	LN860	MVL3	Springwood Jn – Change of ELR (Heaton Lodge Jn)	25	20	29	00	9	N	N	Y	N	N	N	
London-North-Eastern	1224	LN860	MVL3	Change of ELR (Heaton Lodge Jn) – Heaton Lodge Jn (Up line)	29	00	29	45	9	N	N	Y	N	N	N	
London-North-Eastern	1224	LN860	MVL4	Change of ELR (Heaton Lodge Jn) – Heaton Lodge East Jn (Down Line)	29	00	29	74	9	N	N	Y	N	N	N	
London-North-Eastern	1224	LN860	MVN2	Heaton Lodge Jn – Heaton Lodge East Jn	37	18	37	47	9	N	N	Y	N	N	N	
London-North-Eastern	1224	LN860	MVN2	Heaton Lodge East Jn – Thornhill LNW Jn	37	47	39	72	8	N	N	Y	N	N	N	
London-North-Eastern	1224	LN860	MDL1	Thornhill LNW Jn – Copley Hill East Jn	32	16	42	03	8	N	N	Y	N	N	N	
London-North-Eastern	1224	LN861	BBW	Bradley Jn – Bradley Wood Jn	0	00	1	17	8	N	N	Y	N	N	N	
