Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	Loco Gauge	Notes
London-North-Eastern	1293	LN3505	NSS	North Stafford Jn – Route Boundary (NW5012) (Stoke Jn)	30	10	1	40	8	R1 R2	R1 Prohibited through Meir Tunnel on the Up Stoke line R2 Prohibited through Meir Tunnel on the Down Stoke line
London-North-Eastern	1293	LN3515	MJS1	Melbourne Jn – Sinfin	131	15	130	37	8	Y	
London-North-Eastern	1293	LN3520	SSJ1	Sheet Stores Jn – Change of ELR (Site of Former Chellaston East Jn)	119	62	127	20	8	Y	
London-North-Eastern	1293	LN3520	MJS1	Change of ELR (Site of Former Chellaston East Jn) – Change of ELR (Site of Former Chellaston West Jn)	127	20	128	00	8	Y	
London-North-Eastern	1293	LN3520	SSJ2	Change of ELR (Site of Former Chellaston West Jn) – Stenson Jn	128	00	132	12	8	Y	
London-North-Eastern	1293	LN3525	KSL	Knighton Jn – Leicester Jn	97	45	127	00	8	Y	
London-North-Eastern	1293	LN3535	BCJ	Birmingham Curve Jn – Branston Jn	126	40	127	19	8	Y	
London-North-Eastern	1293	LN3601	GSM1	Kettering North Jn – Manton Jn	74	00	90	25	8	R1 R2	R1 Prohibited through Corby Tunnel on the Down Corby line R2 Prohibited through Seaton Tunnel on the Down Corby line
London-North-Eastern	1293	LN3605	BSC	Corby BSC Works – Corby North	2	05	0	00	8	Y	
London-North-Eastern	1293	LN3610	BSC	Corby Automotive Terminal – Corby North	1	10	0	00	8	Y	
London-North-Eastern	1293	LN3615	PMJ	Route Boundary (LN147) (Helpston Jn) – Uffington SB	13	60	12	75	9	Y	
London-North-Eastern	1293	LN3615	PMJ	Uffington SB – Manton Jn	12	75	0	00	8	Y	
London-North-Eastern	1293	LN3615	GSM2	Manton Jn – Melton Jn	90	25	105	70	8	Y	
London-North-Eastern	1293	LN3615	GSM3	Melton Jn – Syston South Jn	113	36	103	77	8	Y	
London-North-Eastern	1293	LN3620	GSM4	Melton Jn GF – Asfordby	105	70	107	20	8	Y	
London-North-Eastern	1293	LN3625	TSN1	Nottingham East Jn – Change of ELR (Nottingham East Jn)	123	27	123	23	8	Y	
London-North-Eastern	1293	LN3625	NOB1	Change of ELR (Nottingham East Jn) – Route Boundary (LN206) (Coulson)	0	00	16	02	8	Y	
London-North-Eastern	1293	LN3635	NOG1	Route Boundary (LN195) (Nottingham Branch Jn) – Rectory Jn SB	111	60	123	76	8	Y	
London-North-Eastern	1293	LN3635	NOG1	Rectory Jn SB – Change of ELR (Netherfield)	123	76	125	25	8	Y	
London-North-Eastern	1293	LN3635	NOG2	Change of ELR (Netherfield) – Netherfield Jn	2	54	2	35	8	Y	
