Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT (MOD)	MK4	MK5	MK5 A	Notes
London-North-Eastern	1140	LN160	FWR1	Rossington Colliery Jn – Flyover West Jn	152	12	153	19	Y	Y	Y	N	N	N	Y	Y	N	
London-North-Eastern	1140	LN165	HPW	Route Boundary (EA1370) (Harringay Park Jn) – Harringay Jn	0	14	0	03	Y	Y	Y	N	N	N	Y	Y	N	
London-North-Eastern	1140	LN170	WEB	Werrington Jn – Site of former Spalding South Jn	79	34	92	58	Y	Y	Y	N	N	N	Y	Y	N	
London-North-Eastern	1140	LN170	SPD1	Site of former Spalding South Jn – Sleaford South Jn	44	07	62	14	Y	Y	Y	N	N	N	Y	Y	N	
London-North-Eastern	1140	LN170	SPD2	Sleaford South Jn – Sleaford North Jn	62	14	63	48	Y	Y	Y	N	N	N	Y	Y	N	
London-North-Eastern	1140	LN170	SPD2	Sleaford North Jn – Site of former Greetwell West Jn	63	48	81	25	Y	Y	Y	N	N	N	Y	Y	N	
London-North-Eastern	1140	LN170	SPD3	Site of former Greetwell West Jn – Trent East Jn	81	25	98	56	Y	Y	Y	N	N	N	Y	Y	N	
London-North-Eastern	1140	LN170	MAC3	Trent East Jn – Trent West Jn	73	25	73	11	Y	Y	Y	N	N	N	Y	Y	N	
London-North-Eastern	1140	LN170	SPD4	Trent West Jn – Bessacarr Jn	98	68	115	72	Y	Y	Y	N	N	N	Y	Y	N	
London-North-Eastern	1140	LN170	SPD5	Bessacarr Jn – Doncaster, Flyover East Jn	115	72	116	20	Y	Y	Y	N	N	N	Y	Y	N	
London-North-Eastern	1140	LN175	SSE	Sleaford South Jn – Sleaford East Jn	0	00	0	43	Y	Y	Y	N	N	N	Y	N	N	
London-North-Eastern	1140	LN180	SNW	Sleaford West Jn – Sleaford North Jn	1	34	3	42	Y	Y	Y	N	N	N	Y	N	N	
London-North-Eastern	1140	LN185	ABE1	Allington West Jn – Site of former Barkston East Jn	0	00	4	08	Y	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1140	LN185	GRS1	Barkston East Jn – Site of former Honington Jn	110	12	112	00	Y	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1140	LN185	GRS2	Site of former Honington Jn – Sleaford West Jn	112	00	120	29	Y	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1140	LN185	GRS2	Sleaford West Jn – Sleaford East Jn	120	29	121	21	Y	Y	Y	N	N	N	Y	N	N	
London-North-Eastern	1140	LN185	GRS2	Sleaford East Jn – Site of former Boston Sleaford Line Jn	121	21	137	06	Y	Y	Y	N	N	N	N	N	N	R1 10mph Heckington Up Main platform with deflated suspension
London-North-Eastern	1140	LN185	GRS3	Site of former Boston Sleaford Line Jn – Boston	106	70	107	24	Y	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1140	LN185	GRS3	Boston – Site of former Firsby East Jn	107	24	122	22	Y	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1140	LN185	GRS4	Site of former Firsby East Jn - Skegness	0	28	9	17	Y	Y	R1	N	N	N	N	N	N	R1 Prohibited Skegness platforms 6 and 7
