Scotland	1160	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	 M	 Ch	 M	 Ch	RA	08	09	20	31/1 31/6	31/4	33	37/0 37/3 37/4 37/6	37/5	37/7 37/9	Notes
Scotland	1160	SC001	WCM1	Route Boundary (NW4001) (Gretna Jn)	Lockerbie	Route Boundary (NW4001) (Gretna Jn) – Lockerbie	12	30	25	66	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1160	SC001	WCM1	Lockerbie	Law Jn	Lockerbie – Law Jn	25	66	84	08	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1160	SC001	WCM2	Law Jn	Junction with Coatbridge lines (Lesmahagow Jn)	Law Jn – Junction with Coatbridge lines (Lesmahagow Jn)	84	08	89	51	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1160	SC001	WCM2	Junction with Coatbridge lines (Lesmahagow Jn)	Newton East Jn	Junction with Coatbridge lines (Lesmahagow Jn) – Newton East Jn	89	51	95	14	8 R1	Y	Y	Y	Y	Y	Y	Y	Y	Y	R1 RA Change STNC NC/G1/2010/ICP-RA/SC010 applies until 30/09/2014
Scotland	1160	SC001	WCM2	Newton East Jn	Newton Hamilton Jn (SC0023) via South Connecting Line	Newton East Jn – Newton Hamilton Jn (SC0023) via South Connecting Line	95	14	95	47	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1160	SC001	WCM2	Newton Kirkhill Jn (SC0023)	Newton West Jn via North Connecting Line	Newton Kirkhill Jn (SC0023) – Newton West Jn via North Connecting Line	95	77	96	34	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1160	SC001	WCM2	Newton East Jn	Newton West Jn	Newton East Jn – Newton West Jn	95	14	96	34	8 R1	Y	Y	Y	Y	Y	Y	Y	Y	Y	R1 RA Change STNC NC/G1/2010/ICP-RA/SC010 applies until 30/09/2014
Scotland	1160	SC001	WCM2	Newton West Jn– Rutherglen East Jn		Newton West Jn– Rutherglen East Jn	96	34	98	32	8 R1	Y	Y	Y	Y	Y	Y	Y	Y	Y	R1 RA Change STNC NC/G1/2010/ICP-RA/SC010 applies until 30/09/2014
Scotland	1160	SC001	WCM2	Rutherglen East Jn	Larkfield Jn	Rutherglen East Jn – Larkfield Jn	98	32	100	65	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1160	SC001	WCM2	Larkfield Jn	Eglinton St Jn	Larkfield Jn – Eglinton St Jn	100	65	101	39	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1160	SC001	WCM2	Eglinton St Jn	Bridge St Jn	Eglinton St Jn – Bridge St Jn	101	39	101	53	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1160	SC001	WCM2	Bridge St Jn	Glasgow Central	Bridge St Jn – Glasgow Central	101	53	102	27	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1160	SC003	ECA1	Carstairs South Jn	Carstairs East Jn	Carstairs South Jn – Carstairs East Jn	73	17	73	48	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1160	SC003	ECA2	Carstairs East Jn	Slateford Jn	Carstairs East Jn – Slateford Jn	74	10	99	01	8 R1	Y	Y	Y	Y	Y	Y	Y	Y	Y	R1 RA Change STNC NC/G1/2010/ICP-RA/SC007 applies until 30/09/2014
Scotland	1160	SC003	ECA3	Slateford Jn	Haymarket East Jn	Slateford Jn – Haymarket East Jn	99	01	100	41	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
