Route	page	Line of Route	Line of Route / Sector Description	W6	W7	W8	W9	W9Plus	W10	W10A	W12	Notes
Scotland	1138	SC067	Wemyss Bay Jn – Wemyss Bay	Y *	Y	N	N	N	N	N	N	
Scotland	1138	SC069	Containerbase Jn – Greenock CPA Terminal (Goods Line) (OOU)	–	–	–	–	–	–	–	–	Not Network Rail infrastructure. Line 'Out of Use'
Scotland	1138	SC073	Kilwinning Jn – Largs	Y *	Y	Y	Y	N	N	N	N	
Scotland	1138	SC075	Misk to Stevenston (Goods Line) (OOU)	–	–	–	–	–	–	–	–	Line Out of Use
Scotland	1138	SC077	Ardrossan South Beach to Adrossan Harbour	Y *	N	N	N	N	N	N	N	
Scotland	1138	SC079	Hunterston – Hunterston Low Level Sdgs (Goods Line)	Y	N	N	N	N	N	N	N	
Scotland	1138	SC081	Byrehill Jn – Dubbs Jn	Y	Y	N	N	N	N	N	N	
Scotland	1138	SC083	Snodgrass - Bogside (Goods Line) (OOU)	–	–	–	–	–	–	–	–	Line Out of Use
Scotland	1138	SC085	Ayr Harbour – Newton Jn (Goods Line)	Y	Y	N	N	N	N	N	N	
Scotland	1138	SC087	Newton Jn – Mauchline (Goods Line)	Y	Y	N	N	N	N	N	N	
Scotland	1138	SC089	Annbank – Killoch Colliery (Goods Line)	Y	N	N	N	N	N	N	N	
Scotland	1138	SC091	Dalrymple Jn – Chalmerston (Goods Line)	Y	N	N	N	N	N	N	N	
Scotland	1138	SC093	Motherwell – Coatbridge FLT	Y *	Y	Y	Y	N	Y	N	N	
Scotland	1138	SC093	Coatbridge FLT – Garnqueen North Jn	Y	Y	Y	Y	N	N	N	N	
Scotland	1138	SC093	Garnqueen North Jn – Greenhill Lower Jn	Y *	Y	Y	Y	N	N	N	N	
Scotland	1138	SC097	Whifflet South Jn – Sunnyside Jn (Goods Line)	Y	Y	Y	N	N	N	N	N	
Scotland	1138	SC099	Whifflet North Jn – Rutherglen East Jn	Y *	Y	Y	Y	N	N	N	N	
Scotland	1138	SC101	Coatbridge Jn – Langloan Jn	Y	Y	Y	Y	N	N	N	N	
Scotland	1138	SC103	Garnqueen North Jn – Cowlairs West Jn	Y *	Y	Y	Y	N	N	N	N	
Scotland	1138	SC105	Gartsherrie South Jn – Gartcosh Jn	Y	Y	Y	Y	N	R1	N	N	R1 W10 prohibited EXCEPT for use of Coatbridge FLT Headshunt Line
Scotland	1138	SC106	Sighthill West Jn – Cowlairs South Jn (Chord Line)	Y	N	N	N	N	N	N	N	
