Scotland	1255	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	 M	 Ch	 M	 Ch	RA	Loco Gauge	Notes
Scotland	1255	SC193	RSW	Welsh's Bridge Jn	Rose Street Jn	Welsh's Bridge Jn – Rose Street Jn	117	56	118	03	10	Y	
Scotland	1255	SC193	HGL2	Welsh's Bridge Jn	Inverness Platforms 1-4	Welsh's Bridge Jn – Inverness Platforms 1-4	117	56	118	03	8	Y	
Scotland	1255	SC195	ECN5	Aberdeen	Change of ELR	Aberdeen – Change of ELR	241	06	241	08	10	Y	
Scotland	1255	SC195	ANI1	Change of ELR	Keith Jn SB	Change of ELR – Keith Jn SB	0	00	53	05	10	Y	
Scotland	1255	SC195	ANI2	Keith Jn SB	Forres	Keith Jn SB – Forres	30	40	0	00	10	Y	
Scotland	1255	SC195	ANI3	Forres	Milburn Jn	Forres – Milburn Jn	119	26	143	39	8	Y	
Scotland	1255	SC195	HGL2	Milburn Jn	Welsh's Bridge Jn	Milburn Jn – Welsh's Bridge Jn	117	37	117	56	8	Y	
Scotland	1255	SC195	RSW	Welsh's Bridge Jn	Rose Street Jn	Welsh's Bridge Jn – Rose Street Jn	117	56	118	03	10	Y	
Scotland	1255	SC195	HGL2	Welsh's Bridge Jn	Inverness platforms 1-4	Welsh's Bridge Jn – Inverness platforms 1-4	117	56	118	03	8	Y	
Scotland	1255	SC197	WRO	Kittybrewster	Waterloo Goods (Goods line)	Kittybrewster – Waterloo Goods (Goods line)	1	62	0	03	10	Y	
Scotland	1255	SC199	DFN	Keith Jn	End of Line	Keith Jn – End of Line	53	06	53	36	10	Y	
Scotland	1255	SC203	RSW	Welsh's Bridge Jn	Rose Street Jn	Welsh's Bridge Jn – Rose Street Jn	117	56	118	03	10	Y	
Scotland	1255	SC203	WCK	Inverness platforms 5-7	Rose Street Jn	Inverness platforms 5-7 – Rose Street Jn	0	02	0	18	5	R1	R1 Prohibited Inverness platforms 6a and 6b
Scotland	1255	SC203	WCK	Rose Street Jn	Invergordon	Rose Street Jn – Invergordon	0	18	31	37	5	R1	R1 Prohibited Dingwall Down Siding Loading Dock
Scotland	1255	SC203	WCK	Invergordon	Georgemas Jn	Invergordon – Georgemas Jn	31	37	147	20	5	Y	
Scotland	1255	SC203	WCK	Georgemas Jn	Wick	Georgemas Jn – Wick	147	20	161	35	3	Y	
Scotland	1255	SC205	KYL	Dingwall	Kyle of Lochalsh	Dingwall – Kyle of Lochalsh	0	19	63	64	5	R1 R2	R1 Prohibited Achnasheen Engineers Siding Loading Dock R2 Prohibited Kyle Of Lochalsh West Sidings run-round loop
Scotland	1255	SC207	TSO	Georgemas Jn	Thurso	Georgemas Jn – Thurso	0	00	6	50	5	Y	
