Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	Loco Gauge	Notes
Scotland	1158	SC147	ECM9	Waverley East End – Edinburgh Waverley	0	21	0	00	10	Y	
Scotland	1158	SC147	EGM4	Edinburgh Waverley – Waverley West End (South lines)	0	00	0	15	10	Y	
Scotland	1158	SC147	ECN1	Edinburgh Waverley – Waverley West End (North lines)	0	00	0	15	10	Y	
Scotland	1158	SC147	EGM3	Waverley West End – Haymarket (South lines)	0	15	1	19	10	Y	
Scotland	1158	SC147	ECN2	Waverley West End – Haymarket (North lines)	0	15	1	19	10	Y	
Scotland	1158	SC147	EGM2	Haymarket – Haymarket East Jn (South lines)	46	02	45	72	10	Y	
Scotland	1158	SC147	ECN2	Haymarket – Haymarket East Jn (North lines)	1	19	1	29	10	Y	
Scotland	1158	SC147	EGM2	Haymarket East Jn – Haymarket Central Jn (South lines)	45	72	45	35	10	Y	
Scotland	1158	SC147	ECN2	Haymarket East Jn – Haymarket Central Jn (North lines)	1	29	1	66	10	Y	
Scotland	1158	SC147	EGM2	Haymarket Central Jn – Haymarket West Jn (South lines)	45	35	44	73	10	Y	
Scotland	1158	SC147	ECN2	Haymarket Central Jn – Haymarket West Jn (North lines)	1	66	2	41	10	Y	
Scotland	1158	SC149	NBK	North Berwick – Drem Jn	22	22	18	15	5	Y	
Scotland	1158	SC151	LHS1	Portobello – Leith South Yard (Goods line)	0	00	2	20	10	Y	
Scotland	1158	SC153	CPH	Craigentinny – Powderhall (Goods line)	0	00	1	78	10	Y	
Scotland	1158	SC155	MHL1	Monktonhall Jn – Change of ELR	0	11	5	60	10	Y	
Scotland	1158	SC155	MHL2	Change of ELR – Millerhill East Jn	1	40	0	28	10	Y	
Scotland	1158	SC155	MHL3	Millerhill East Jn – Millerhill Yard (Goods line)	0	00	0	19	10	Y	
Scotland	1158	SC157	MLE	Millerhill South Jn – Millerhill East Jn (Goods line)	0	09	0	28	10	Y	
Scotland	1158	SC159	NDE2	Millerhill West Jn – Millerhill South Jn / Millerhill Yard	6	52	5	72	10	Y	
Scotland	1158	SC161	NDE1	Millerhill Yard – Junction with Niddrie West line	5	52	3	36	10	Y	
Scotland	1158	SC161	SUB1	Junction with Niddrie West line – Portobello	3	36	3	30	10	Y	
