Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	Loco Gauge	Notes
Scotland	1159	SC163	SUB1	Portobello – Change of ELR	3	30	4	00	10	Y	
Scotland	1159	SC163	SUB2	Change of ELR – Niddrie West	6	69	6	30	10	Y	
Scotland	1159	SC164	NNS	Newcraighall North Jn – Newcraighall South Jn	4	63	5	02	3	Y	
Scotland	1159	SC164	SBO	Newcraighall South Jn – Tweedbank	5	02	35	34	3	Y	
Scotland	1159	SC165	MHY	Niddrie South Jn – Niddrie West Jn	7	06	6	30	10	Y	
Scotland	1159	SC165	SUB2	Niddrie West Jn – Gorgie Jn	6	30	0	45	10	Y	
Scotland	1159	SC165	GGE	Gorgie Jn – Haymarket West Jn	0	00	0	41	10	Y	
Scotland	1159	SC167	CKT	Craiglockhart Jn – Slateford Jn	0	00	0	48	10	Y	
Scotland	1159	SC169	SUB2	Gorgie Jn – Haymarket Central Jn	0	45	0	11	10	Y	
Scotland	1159	SC171	ECM9	Waverley East End – Edinburgh Waverley	0	21	0	00	10	Y	
Scotland	1159	SC171	EGM4	Edinburgh Waverley – Waverley West End (South lines)	0	00	0	15	10	Y	
Scotland	1159	SC171	ECN1	Edinburgh Waverley – Waverley West End (North lines)	0	00	0	15	10	Y	
Scotland	1159	SC171	EGM3	Waverley West End – Haymarket (South Lines)	0	15	1	19	10	Y	
Scotland	1159	SC171	ECN2	Waverley West End – Haymarket (North lines)	0	15	1	19	10	Y	
Scotland	1159	SC171	EGM2	Haymarket – Haymarket East Jn (South lines)	46	02	45	72	10	Y	
Scotland	1159	SC171	ECN2	Haymarket – Haymarket East Jn (North lines)	1	19	1	29	10	Y	
Scotland	1159	SC171	EGM2	Haymarket East Jn – Haymarket Central Jn (South lines)	45	72	45	35	10	Y	
Scotland	1159	SC171	ECN2	Haymarket East Jn – Haymarket Central Jn (North lines)	1	29	1	66	10	Y	
Scotland	1159	SC171	EGM2	Haymarket Central Jn – Haymarket West Jn (South lines)	45	35	44	73	10	Y	
Scotland	1159	SC171	ECN2	Haymarket Central Jn – Haymarket West Jn (North lines)	1	66	2	41	10	Y	
Scotland	1159	SC171	ECN2	Haymarket West Jn – Dundee Central Jn	2	41	58	69	8	R1 R2 R3 R4	R1 Prohibited through Kinghorn Tunnel on the Up line R2 Prohibited between Cupar and Leuchars on the Down line R3 Prohibited between Cupar and Leuchars on the Up line R4 Prohibited between Tay Bridge South and Dundee Central Jn on the Up line
Scotland	1159	SC171	ECN2	Dundee Central Jn – Dundee	58	69	59	14	8	Y	
Scotland	1159	SC173	CWH1	Inverkeithing Central Jn – Change of ELR (Cowdenbeath)	13	21	22	76	8	Y	
