Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	334	350	380	385	390	397	Notes
Scotland	1042	SC171	EGM2	Haymarket East Jn – Haymarket Central Jn (South Lines)	45	72	45	35	Y	N	Y	R1	N	Y	R1 Up to 12 cars
Scotland	1042	SC171	ECN2	Haymarket East Jn – Haymarket Central Jn (North Lines)	1	29	1	66	Y	N	Y	R1	N	Y	R1 Up to 12 cars
Scotland	1042	SC171	EGM2	Haymarket Central Jn – Haymarket West Jn (South Lines)	45	35	44	73	Y	N	Y	R1	N	Y	R1 Up to 12 cars
Scotland	1042	SC171	ECN2	Haymarket Central Jn – Haymarket West Jn (North Lines)	1	66	2	41	Y	N	Y	N	N	N	
Scotland	1042	SC171	ECN2	Haymarket West Jn – Dundee Central Jn	2	41	58	69	N	N	N	N	N	N	
Scotland	1042	SC171	ECN2	Dundee Central Jn – Dundee	58	69	59	14	N	N	N	N	N	N	
Scotland	1042	SC173	CWH1	Inverkeithing Central Jn – Change of ELR (Cowdenbeath)	13	21	22	76	N	N	N	N	N	N	
Scotland	1042	SC173	CWH2	Change of ELR (Cowdenbeath) – Change of ELR (Lochgelly)	0	00	0	70	N	N	N	N	N	N	
Scotland	1042	SC173	CWH3	Change of ELR (Lochgelly) – Thornton West Jn	27	00	34	62	N	N	N	N	N	N	
Scotland	1042	SC173	TNW	Thornton West Jn – Thornton North Jn	0	70	0	00	N	N	N	N	N	N	
Scotland	1042	SC175	RHD2	Rosyth Dockyard – Change of ELR	1	21	1	00	N	N	N	N	N	N	
Scotland	1042	SC175	RHD1	Change of ELR – Inverkeithing South Jn (Goods Line)	1	00	0	02	N	N	N	N	N	N	
Scotland	1042	SC176	IGE	Inverkeithing North Jn – Inverkeithing East Jn (Inverkeithing Curve)	0	33	0	00	N	N	N	N	N	N	
Scotland	1042	SC177	MTL1	Thornton North Jn – Change of ELR	0	11	4	65	N	N	N	N	N	N	
Scotland	1042	SC177	MTL2	Change of ELR – Methill Power Station (Goods Line)	7	34	6	48	N	N	N	N	N	N	
Scotland	1042	SC178	CWH3	Thornton South Jn – Thornton West Jn	35	38	34	62	N	N	N	N	N	N	
Scotland	1042	SC181	CDC1	Ladybank Jn – Change of ELR	0	03	14	10	N	N	N	N	N	N	
Scotland	1042	SC181	CDC2	Change of ELR – Hilton Jn	44	18	45	66	N	N	N	N	N	N	
Scotland	1042	SC183	SAA	Stirling Middle Jn – Change of ELR	0	00	8	14	N	N	N	R1 R2	N	N	R1 Prohibited Alloa to Change of ELR R2 Up to 12 cars
Scotland	1042	SC183	KNE1	Change of ELR – Longannet	0	00	5	62	N	N	N	N	N	N	
Scotland	1042	SC183	KNE1	Longannet – Change of ELR	5	62	14	14	N	N	N	N	N	N	
