Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	334	350	380	385	390	397	Notes
Scotland	1037	SC109	PMT	Polmont Jn – Grangemouth Jn	21	20	23	75	N	N	N	R1	N	Y	R1 Up to 12 cars
Scotland	1037	SC109	PMT	Grangemouth Jn – Carmuirs East Jn	23	75	25	79	N	N	N	R1	N	Y	R1 Up to 12 cars
Scotland	1037	SC109	CMS	Carmuirs East Jn – Carmuirs West Jn	0	40	-0	2	N	N	N	R1	N	Y	R1 Up to 12 cars
Scotland	1037	SC109	SCM3	Carmuirs West Jn – Greenhill Lower Jn	108	74	106	62	N	N	N	R1	N	N	R1 Up to 12 cars
Scotland	1037	SC109	GHL	Greenhill Lower Jn – Greenhill Upper Jn	0	52	0	00	N	N	N	R1	N	N	R1 Up to 12 cars
Scotland	1037	SC110	PMT	Carmuirs East Jn – Larbert Jn	25	79	26	35	N	N	N	R1	N	N	R1 Up to 12 cars
Scotland	1037	SC111	NBE	Newbridge Jn – Bathgate	35	21	25	18	Y	N	Y	N	N	N	
Scotland	1037	SC113	DMY	Winchburgh Jn – Dalmeny Jn	34	54	39	03	N	N	N	N	N	N	
Scotland	1037	SC115	MRL1	Cowlairs West Jn – Maryhill Park Jn	8	26	5	51	N	N	N	N	N	N	
Scotland	1037	SC115	MRL2	Maryhill Park Jn – Knightswood North Jn	4	40	5	67	N	N	N	N	N	N	
Scotland	1037	SC1150	MLA	Maryhill Park Jn – Anniesland	0	00	0	70	N	N	N	N	N	N	
Scotland	1037	SC116	CSN	Cowlairs East Jn – Cowlairs North Jn	0	00	0	21	N	N	N	N	N	N	
Scotland	1037	SC117	GMH	Grangemouth Jn – Grangemouth	0	00	3	67	N	N	N	E R1 R2	N	N	R1 Prohibited between GH12 signal and Grangemouth on Down Branch line R2 Prohibited between GH10 signal an Granemouth on Up Branch line
Scotland	1037	SC119	GHL	Greenhill Upper Jn – Greenhill Lower Jn	0	00	0	52	N	N	N	R1	N	N	R1 Up to 12 cars
Scotland	1037	SC119	SCM3	Greenhill Lower Jn – Carmuirs West Jn	106	62	108	74	N	N	N	R1	N	N	R1 Up to 12 cars
Scotland	1037	SC119	SCM3	Carmuirs West Jn – Stirling Middle Jn	108	76	118	08	N	N	N	R1	N	N	R1 Up to 12 cars
Scotland	1037	SC119	SCM3	Stirling Middle Jn – Change of ELR (Dunblane)	118	08	123	40	N	N	N	R1	N	N	R1 Up to 12 cars
Scotland	1037	SC119	SCM4	Change of ELR (Dunblane) – Perth South Jn	123	40	150	61	N	N	N	N	N	N	
Scotland	1037	SC119	SCM5	Perth South Jn – Change of Mileage	150	61	151	03	N	N	N	N	N	N	
Scotland	1037	SC119	SCM5	Change of Mileage – Dundee Central Jn	21	01	0	36	N	N	N	N	N	N	
