Scotland	1073	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	RA	60	66	67	68	70	73	97/3	Notes
Scotland	1073	SC131	HST	Connection to Smithy Lye Through Line	Shields Jn	Connection to Smithy Lye Through Line – Shields Jn	2	00	2	35	8	Y	Y	Y	Y	Y	Y	Y	
Scotland	1073	SC133	MGE	Westerton Jn	Milngavie	Westerton Jn – Milngavie	6	19	9	35	5	N	N	N	N	N	N	Y	
Scotland	1073	SC135	BCH	Dalreoch Jn	Balloch	Dalreoch Jn – Balloch	16	39	20	38	6	N	N	N	N	N	Y	Y	
Scotland	1073	SC136	HYD	Hyndland North Jn	Hyndland West Jn	Hyndland North Jn – Hyndland West Jn	0	00	0	16	8	Y	Y	Y	Y	Y	Y	Y	
Scotland	1073	SC141	WHL	Craigendoran Jn	Crianlarich Jn	Craigendoran Jn – Crianlarich Jn	0	01	36	30	5	N	R1 R2 R3 R4 R5	R1 R2 R3 R4 R5	R1 R2 R3 R4 R8	N	R6 R7	Y	R1 10mph over bridge 26 (9m 52ch) R2 20mph over bridge 30 (11m 38ch) R3 20mph over bridge 97 (30m 50ch) R4 20mph over bridge 108 (33m 14ch) R5 Double Heading prohibited except for providing assistance and then at only 10mph over the above structures R6 15mph Garelochhead Down platform R7 Double Heading permitted (or combination of Classes 66/73) running light or hauling passenger coaching stock, or for providing assistance and then at only 10mph over the above structures. R8 Operation limited to infrequent specialised freight services & Charter train operation. Freight services will need to be agreed by the Structures RAM on a case by case basis
Scotland	1073	SC141 Octobe	WHL r 2009	Crianlarich Jn	Fort William	Crianlarich Jn – Fort William	36	30	99	37	5 10	N 5	R1 R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13	R1 R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13	R1 R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R16	N	R14 R15	Y	R1 40mph over bridge 116 (36m 39ch) R2 20mph over bridge 117 (36m 44ch) R3 30mph over bridge 131 (39m 65ch) R4 20mph over bridge 149 (45m 03ch) R5 20mph over bridge 151 (45m 43ch) R6 20mph over bridge 197 (61m 39ch) R7 20mph over bridge 201 (63m 50ch) R8 30mph over bridge 203 (64m 64ch) R9 20mph over bridge 259 (76m 29ch) R10 Double Heading prohibited except for providing assistance and then at only 10mph over the above structures R11 40mph between Horseshoe viaduct (46mch) and Rannoch (64m 54ch) R12 40mph between Rannoch (65m 56ch) and Fersit Tunnel (74m 39ch) R13 40mph between Tulloch (82m 39ch) and Fort William (99mch) R14 Prohibited Fort William platform 2 & loading back 20m nearest bufferstops R15 Double Heading permitted (or combination of Classes 66/73) running light or hauling passenger coaching stock, or for providing assistance and then at only 10mph over the above structures. R16 Operation limited to infrequent specialised freight services & Charter train operation. Freight services will need to be ag reed by the Structures RAM on a case by case basis
