Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	142	143	144	150	153	156	158	Notes
Scotland	0992	SC067	WYS	Wemyss Bay Jn – Wemyss Bay	0	00	10	03	N	N	N	Y	Y	Y	N	
Scotland	0992	SC073	LGS1	Kilwinning Jn – Change of ELR	25	65	30	44	N	N	N	Y	Y	Y	N	
Scotland	0992	SC073	LGS2	Change of ELR – Fairlie High Siding	30	44	38	69	N	N	N	Y	Y	Y	N	
Scotland	0992	SC073	LGS2	Fairlie High Siding – Largs	38	69	42	07	N	N	N	Y	Y	Y	N	
Scotland	0992	SC077	ARH	Ardrossan South Beach – Adrossan Harbour	30	44	31	35	N	N	N	Y	Y	Y	N	
Scotland	0992	SC079	HUN	Hunterston – Hunterston Low Level Sdgs (Goods Line)	0	00	0	36	N	N	N	N	N	N	N	
Scotland	0992	SC081	BYL	Byrehill Jn – Dubbs Jn	0	60	0	00	N	N	N	Y	Y	Y	N	
Scotland	0992	SC085	AYH1	Ayr Harbour – Newton Jn (Goods Line)	0	17	0	00	N	N	N	N	N	N	N	
Scotland	0992	SC087	ANN	Newton Jn – Mauchline (Goods Line)	39	42	50	16	N	N	N	N	N	N	N	
Scotland	0992	SC089	KCH1	Annbank – Change of ELR	43	52	48	73	N	N	N	N	N	N	N	
Scotland	0992	SC089	KCH2	Change of ELR – Killoch Colliery (Goods Line)	0	00	3	43	N	N	N	N	N	N	N	
Scotland	0992	SC091	WAT	Dalrymple Jn – Chalmerston (Goods Line)	43	53	52	70	N	N	N	N	N	N	N	
Scotland	0992	SC093	SCM1	Motherwell – Mossend South	89	51	91	08	N	N	N	Y	Y	Y	Y	
Scotland	0992	SC093	SCM2	Mossend South – Whifflet North Jn	91	08	94	05	N	N	N	Y	Y	Y	Y	
Scotland	0992	SC093	SCM3	Whifflet North Jn – Gartsherrie South Jn (Limit of OLE)	94	05	95	64	N	N	N	Y	Y	Y	Y	
Scotland	0992	SC093	SCM3	Gartsherrie South Jn (Limit of OLE) – Greenhill Lower Jn	95	64	106	63	N	N	N	Y	Y	Y	Y	
Scotland	0992	SC097	SYE	Whifflet South Jn – Sunnyside Jn (Goods Line)	9	63	8	43	N	N	N	R1	R1	R1	E	R1 15mph maximum speed
Scotland	0992	SC099	RSL2	Whifflet North Jn – Change of ELR	0	00	0	34	N	N	N	Y	Y	Y	Y	
Scotland	0992	SC099	RSL1	Change of ELR – Langloan Jn	6	59	6	34	N	N	N	Y	Y	Y	Y	
Scotland	0992	SC099	RCB	Langloan Jn – Rutherglen East Jn	6	34	0	04	N	N	N	Y	Y	Y	Y	
Scotland	0992	SC101	RCB	Coatbridge Jn – Langloan Jn	7	03	6	34	N	N	N	Y	Y	Y	Y	
Scotland	0992	SC103	CBD1	Garnqueen North Jn – Gartcosh Jn	1	33	0	00	N	N	N	Y	Y	Y	Y	
Scotland	0992	SC103	CBD2	Gartcosh Jn – Change of ELR	97	09	103	41	N	N	N	Y	Y	Y	Y	
Scotland	0992	SC103	SGN	Change of ELR – Cowlairs West Jn	0	61	-0	20	N	N	N	Y	Y	Y	Y	
Scotland	0992	SC105	GHE	Gartsherrie South Jn – Gartcosh Jn	95	64	97	06	N	N	N	Y	Y	Y	Y	
