Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	334	350	380	385	390	397	Notes
Scotland	1043	SC161	SUB1	Junction with Niddrie West Line – Portobello	3	36	3	30	N	N	E	E H	N	N	
Scotland	1043	SC161	MHL4	Newcraighall East Jn – Network Rail / Abellio Scotrail Boundary	00	00	00	08	E	N	E	N	N	N	
Scotland	1043	SC163	SUB1	Portobello – Change of ELR	3	30	4	00	N	N	N	E H	N	E	
Scotland	1043	SC163	SUB2	Change of ELR – Niddrie West	6	69	6	30	N	N	N	N	N	E	
Scotland	1043	SC164	NNS	Newcraighall North Jn – Newcraighall South Jn	4	63	5	02	N	N	N	N	N	N	
Scotland	1043	SC164	SBO	Newcraighall South Jn – Tweedbank	5	02	35	34	N	N	N	N	N	N	
Scotland	1043	SC165	MHY	Niddrie South Jn – Niddrie West Jn	7	06	6	30	N	N	N	N	N	N	
Scotland	1043	SC165	SUB2	Niddrie West Jn – Gorgie Jn	6	30	0	45	N	N	N	N	N	E R1	R1 Prohibited between Craiglockheart Jn and Gorgie Jn
Scotland	1043	SC165	GGE	Gorgie Jn – Haymarket West Jn	0	00	0	41	N	N	N	N	N	N	
Scotland	1043	SC167	CKT	Craiglockhart Jn – Slateford Jn	0	00	0	48	N	N	N	N	N	E	
Scotland	1043	SC169	SUB2	Gorgie Jn – Haymarket Central Jn	0	45	0	11	N	N	N	N	N	N	
Scotland	1043	SC171	ECM9	Waverley East End – Edinburgh Waverley	0	21	0	00	Y	E	Y	R2	R1	Y	R1 Prohibited Edinburgh Waverley platforms 1, 3, 4 & 20 R2 Up to 12 cars
Scotland	1043	SC171	EGM4	Edinburgh Waverley – Waverley West End (South Lines)	0	00	0	15	Y	Y	Y	R2	R1	Y	R1 Prohibited Edinburgh Waverley platforms 12, 13 & 14 R2 Up to 12 cars
Scotland	1043	SC171	ECN1	Edinburgh Waverley – Waverley West End (North Lines)	0	00	0	15	Y	N	Y	R2	R1	Y	R1 Prohibited Edinburgh Waverley platforms 1, 15, 16, 17, 18 & 20 R2 Up to 12 cars
Scotland	1043	SC171	EGM3	Waverley West End – Haymarket (South Lines)	0	15	1	19	Y	Y	Y	R1	Y	Y	R1 Up to 10 cars
Scotland	1043	SC171	ECN2	Waverley West End – Haymarket (North Lines)	0	15	1	19	Y	N	Y	R1	Y	Y	R1 Up to 12 cars
Scotland	1043	SC171	EGM2	Haymarket – Haymarket East Jn (South Lines)	46	02	45	72	Y	N	Y	R1	Y	Y	R1 Up to 12 cars
