Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	08	09	20	31/1 31/6	31/4	33	37/0 37/3 37/4 37/6	37/5	37/7 37/9	Notes
Scotland	1071	SC123	NEM6	Change of ELR (Between Bowling and Dumbarton East) – Change of ELR (Dumbarton East)	113	46	116	00	5 R1	Y	Y	Y	Y	Y	Y	Y	Y	Y	R1 RA Change STNC NC/G1/2010/ICP-RA/SC009 applies until 30/09/2014
Scotland	1071	SC123	NEM7	Change of ELR (Dumbarton East) – Craigendoran Jn	15	51	22	76	5 R1	Y	Y	Y	Y	Y	Y	Y	Y	Y	R1 RA Change STNC NC/G1/2010/ICP-RA/SC009 applies until 30/09/2014
Scotland	1071	SC123	NEM7	Craigendoran Jn – Helensburgh Central	22	76	24	31	5 R1	Y	Y	Y	Y	Y	Y	Y	Y	Y	R1 RA Change STNC NC/G1/2010/ICP-RA/SC009 applies until 30/09/2014
Scotland	1071	SC125	YKR	Hyndland East Jn – Hyndland West Jn	0	00	0	22	7 R1	Y	Y	Y	Y	Y	Y	Y	Y	Y	R1 RA Change STNC NC/GI/2010/ICP-RA/SC008 applies until 30/09/2014
Scotland	1071	SC125	YKR	Hyndland West Jn – Dalmuir Park Jn	0	22	4	73	8 R1	Y	Y	Y	Y	Y	Y	Y	Y	Y	R1 RA Change STNC NC/GI/2010/ICP-RA/SC008 applies until 30/09/2014
Scotland	1071	SC129	SGN	Springburn – Bellgrove Jn	0	42	2	58	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1071	SC131	HST	High Street Jn – Connection to Smithy Lye Through Line	0	04	2	00	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1071	SC131	HST	Connection to Smithy Lye Through Line – Shields Jn	2	00	2	35	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1071	SC133	MGE	Westerton Jn – Milngavie	6	19	9	35	5	Y	Y	R1	Y	N	N	R1	Y	N	R1 Route prohibited to Class 20 and Class 37/5 locomotives that conform to RA6
Scotland	1071	SC135	BCH	Dalreoch Jn – Balloch	16	39	20	38	6	Y	Y	Y	Y	Y	Y	Y	Y	N	
Scotland	1071	SC136	HYD	Hyndland North Jn – Hyndland West Jn	0	00	0	16	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
