Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	334	350	380	385	390	397	Notes
Scotland	1039	SC131	HST	Connection to Smithy Lye through line – Shields Jn	2	00	2	35	N	E	Y	N	N	N	
Scotland	1039	SC133	MGE	Westerton Jn – Milngavie	6	19	9	35	Y	N	N	N	N	N	
Scotland	1039	SC135	BCH	Dalreoch Jn – Balloch	16	39	20	38	Y	N	N	N	N	N	
Scotland	1039	SC136	HYD	Hyndland North Jn – Hyndland West Jn	0	00	0	16	Y	N	N	N	N	N	
Scotland	1039	SC141	WHL	Craigendoran Jn – Crianlarich Jn	0	01	36	30	N	N	N	N	N	N	
Scotland	1039	SC141	WHL	Crianlarich Jn – Fort William	36	30	99	37	N	N	N	N	N	N	
Scotland	1039	SC143	OBN1	Crianlarich Jn – Lower Crianlarich GF	0	00	0	44	N	N	N	N	N	N	
Scotland	1039	SC143	OBN2	Lower Crianlarich GF – Inverhaggernie No.1 LC	30	23	31	00	N	N	N	N	N	N	
Scotland	1039	SC143	OBN2	Inverhaggernie No.1 LC – Oban	31	00	71	44	N	N	N	N	N	N	
Scotland	1039	SC145	MLG1	Fort William – Change of ELR	0	05	1	27	N	N	N	N	N	N	
Scotland	1039	SC145	MLG2	Change of ELR – Mallaig	0	00	39	39	N	N	N	N	N	N	
Scotland	1039	SC147	ECM8	Route Boundary (LN600) (Heaton South Jn) – Prestonpans Jn	54	50	9	67	R1	N	EH R2 R3	R4 R5	N	E	R2 Prohibited between Route Boundary (LN600) and Drem R3 Dead hauled only between Route Boundary (LN600) and Dunbar R4 Laden services between Dunbar and Prestonpans Jn R5 Prohibited between Route Boundary (LN600) and Dunbar R6 Up to 8 cars
Scotland	1039	SC147	ECM8	Prestonpans Jn – Calton South Tunnel	9	67	0	29	Y	E	Y	R2	R1	E	R1 Prohibited between Prestonpans Jn and Craigentinny R2 Up to 8 cars
Scotland	1039	SC147	ECM9	Calton South Tunnel – Waverley East End	0	29	0	21	Y	E	Y	N	Y	Y	
Scotland	1039	SC147	ECM9	Waverley East End – Edinburgh Waverley	0	21	0	00	Y	E	Y	R2	R1	Y	R1 Prohibited Edinburgh Waverley platforms 1, 3, 4 & 20 R2 Up to 12 cars
