Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	334	350	380	385	390	397	Notes
Scotland	1040	SC123	NBE	Bathgate – Change of ELR	25	18	25	00	Y	N	Y	N	N	N	
Scotland	1040	SC123	NEM1	Change of ELR – Drumgelloch	25	00	11	70	Y	N	Y	N	N	N	
Scotland	1040	SC123	NEM1	Drumgelloch – Change of ELR	11	70	11	60	Y	N	Y	N	N	N	
Scotland	1040	SC123	NEM2	Change of ELR – High Street Jn	11	60	0	28	Y	N	R1 R2	N	N	N	R2 Prohibited between Airdrie and Shettleston (including loops) when laden R3 5mph Blairhill Up platform
Scotland	1040	SC123	NEM2	High Street Jn – Change of ELR	0	28	0	00	Y	N	EH R1	N	N	N	R1 Prohibited between Bellgrove Jn and Change of ELR
Scotland	1040	SC123	NEM3	Change of ELR – Finnieston East Jn	0	00	2	19	Y	N	N	N	N	N	
Scotland	1040	SC123	NEM3	Finnieston East Jn – Finnieston West Jn (Down Line)	2	19	2	53	Y	N	N	N	N	N	
Scotland	1040	SC123	NEM3	Finnieston East Jn – Finnieston West Jn (Up Line)	2	19	2	53	Y	N	N	N	N	N	
Scotland	1040	SC123	NEM3	Finnieston West Jn – Hyndland North Jn	2	53	4	28	Y	N	N	N	N	N	
Scotland	1040	SC123	NEM3	Hyndland North Jn – Change of ELR	4	28	4	63	Y	N	N	N	N	N	
Scotland	1040	SC123	NEM4	Change of ELR – Knightswood North Jn	0	00	0	74	Y	N	N	N	N	N	
Scotland	1040	SC123	NEM5	Knightswood North Jn – Change of ELR (Between Bowling and Dumbarton East)	5	67	13	40	Y	N	N	N	N	N	
Scotland	1040	SC123	NEM6	Change of ELR (Between Bowling and Dumbarton East) – Change of ELR (Dumbarton East)	113	46	116	00	Y	N	N	N	N	N	
Scotland	1040	SC123	NEM7	Change of ELR (Dumbarton East) – Craigendoran Jn	15	51	22	76	Y	N	N	N	N	N	
Scotland	1040	SC123	NEM7	Craigendoran Jn – Helensburgh Central	22	76	24	31	Y	N	N	N	N	N	
Scotland	1040	SC125	YKR	Hyndland East Jn – Hyndland West Jn	0	00	0	22	Y	N	N	N	N	N	
Scotland	1040	SC125	YKR	Hyndland West Jn – Dalmuir Park Jn	0	22	4	73	Y	N	N	N	N	N	
Scotland	1040	SC129	SGN	Springburn – Bellgrove Jn	0	42	2	58	Y	N	EH	N	N	R1 R2	R1 Prohibited between Sighthill East Jn and Bellgrove R2 Prohibited Springburn platform 3
