Scotland	1144	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	 M	 Ch	 M	 Ch	314	318	320/3	320/4	322	325
Scotland	1144	SC193	HGL2	Welsh's Bridge Jn	Inverness platforms 1 - 4	Welsh's Bridge Jn – Inverness platforms 1 - 4	117	56	118	03	N	N	N	N	N	H
Scotland	1144	SC195	ECN5	Aberdeen	Change of ELR	Aberdeen – Change of ELR	241	06	241	08	N	N	N	N	N	H
Scotland	1144	SC195	ANI1	Change of ELR	Keith Jn SB	Change of ELR – Keith Jn SB	0	00	53	05	N	N	N	N	N	H
Scotland	1144	SC195	ANI2	Keith Jn SB	Forres	Keith Jn SB – Forres	30	40	0	00	N	N	N	N	N	H
Scotland	1144	SC195	ANI3	Forres	Milburn Jn	Forres – Milburn Jn	119	26	143	39	N	N	N	N	N	H
Scotland	1144	SC195	HGL2	Milburn Jn	Welsh's Bridge Jn	Milburn Jn – Welsh's Bridge Jn	117	37	117	56	N	N	N	N	N	H
Scotland	1144	SC195	RSW	Welsh's Bridge Jn	Rose Street Jn	Welsh's Bridge Jn – Rose Street Jn	117	56	118	03	N	N	N	N	N	H
Scotland	1144	SC195	HGL2	Welsh's Bridge Jn	Inverness Platforms 1 - 4	Welsh's Bridge Jn – Inverness Platforms 1 - 4	117	56	118	03	N	N	N	N	N	H
Scotland	1144	SC197	WRO	Kittybrewster	Waterloo Goods (Goods Line)	Kittybrewster – Waterloo Goods (Goods Line)	1	62	0	03	N	N	N	N	N	N
Scotland	1144	SC199	DFN	Keith Jn	End of Line	Keith Jn – End of Line	53	06	53	36	N	N	N	N	N	H
Scotland	1144	SC203	RSW	Welsh's Bridge Jn	Rose Street Jn	Welsh's Bridge Jn – Rose Street Jn	117	56	118	03	N	N	N	N	N	H
Scotland	1144	SC203	WCK	Inverness Platforms 5 - 7	Rose Street Jn	Inverness Platforms 5 - 7 – Rose Street Jn	0	02	0	18	N	N	N	N	N	N
Scotland	1144	SC203	WCK	Rose Street Jn	Invergordon	Rose Street Jn – Invergordon	0	18	31	37	N	N	N	N	N	H
Scotland	1144	SC203	WCK	Invergordon	Georgemas Jn	Invergordon – Georgemas Jn	31	37	147	20	N	N	N	N	N	H
Scotland	1144	SC203	WCK	Georgemas Jn	Wick	Georgemas Jn – Wick	147	20	161	35	N	N	N	N	N	H
Scotland	1144	SC205	KYL	Dingwall	Kyle of Lochalsh	Dingwall – Kyle of Lochalsh	0	19	63	64	N	N	N	N	N	H
Scotland	1144	SC207	TSO	Georgemas Jn	Thurso	Georgemas Jn – Thurso	0	00	6	50	N	N	N	N	N	H
