Route	page	Line of route	Line of Route / Sector Description	M	M	RA	86	87	88	90	91	92
Scotland	1127	SC133	6	19	35	N	N	N	N	N		
Scotland	1127	SC135	16	39	38	N	N	N	N	N		
Scotland	1127	SC136	0	00	16	N	Y	N	N	N		
Scotland	1127	SC141	0	0	5	N	R1 R2 R3 R4 R5	N	N	N	R1 Operation limited to infrequent specialised freight services & Charter train operation. Freight services will need to be agreed by the Structures RAM on a case by case basis R2 Bridge 26 (9m 52ch) 10mph R3 Bridge 30 (11m 38ch) 20mph R4 Bridge 97 (30m 50ch) 20mph Bridge 108 (33m 14ch) 20mph	R1 Operation limited to infrequent specialised freight services & Charter train operation. Freight services will need to be agreed by the Structures RAM on a case by case basis R2 Bridge 26 (9m 52ch) 10mph R3 Bridge 30 (11m 38ch) 20mph R4 Bridge 97 (30m 50ch) 20mph Bridge 108 (33m 14ch) 20mph
Scotland	1127	SC141	36	36	5	N	R1 R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14	N	N	N	R1 Operation limited to infrequent specialised freight services & Charter train operation. Freight services will need to be agreed by the Structures RAM on a case by case basis R2 Bridge 116 (36m 39ch) 40mph R3 Bridge 117 (36m 44ch) 20mph R4 Bridge 131 (39m 65ch) 30mph R5 Bridge 149 (45m 03ch) 20mph R6 Bridge 151 (45m 43ch) 20mph R7 Bridge 197 (61m 39ch) 20mph R8 Bridge 201 (63m 50ch) 20mph R9 Bridge 203 (64m 64ch) 30mph R10 Bridge 259 (76m 29ch) 20mph R11 Double Heading prohibited except for providing assistance and then at only 10mph over the above structures R12 Between Horseshoe viaduct (46m 00ch) and Rannoch (64m 54ch 40mph R13 Between Rannoch (65m 56ch) and Fersit Tunnel (74m 39ch) 40mph Between Tulloch (82m 39ch) and Fort William (99m 00ch) 40mph	R1 Operation limited to infrequent specialised freight services & Charter train operation. Freight services will need to be agreed by the Structures RAM on a case by case basis R2 Bridge 116 (36m 39ch) 40mph R3 Bridge 117 (36m 44ch) 20mph R4 Bridge 131 (39m 65ch) 30mph R5 Bridge 149 (45m 03ch) 20mph R6 Bridge 151 (45m 43ch) 20mph R7 Bridge 197 (61m 39ch) 20mph R8 Bridge 201 (63m 50ch) 20mph R9 Bridge 203 (64m 64ch) 30mph R10 Bridge 259 (76m 29ch) 20mph R11 Double Heading prohibited except for providing assistance and then at only 10mph over the above structures R12 Between Horseshoe viaduct (46m 00ch) and Rannoch (64m 54ch 40mph R13 Between Rannoch (65m 56ch) and Fersit Tunnel (74m 39ch) 40mph Between Tulloch (82m 39ch) and Fort William (99m 00ch) 40mph
