Scotland	1079	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	RA	86	87	88	90	91	92	Notes
Scotland	1079	SC119	SCM5	Perth South Jn	Change of Mileage	Perth South Jn – Change of Mileage	150	61	151	03	10	N	N	Y	N	N	N	
Scotland	1079	SC119	SCM5	Change of Mileage	Dundee Central Jn	Change of Mileage – Dundee Central Jn	21	01	0	36	10	N	N	Y	N	N	N	
Scotland	1079	SC119	ECN2	Dundee Central Jn	Dundee	Dundee Central Jn – Dundee	58	69	59	14	8 R1	N	N	Y	N	N	N	R1 RA Change STNC NC/G1/2008/SCOT0337 applies until 29/08/2013
Scotland	1079	SC123	NBE	Bathgate	Change of ELR	Bathgate – Change of ELR	25	18	25	00	10	N	N	Y	N	N	Y	
Scotland	1079	SC123	NEM1	Change of ELR	Drumgelloch	Change of ELR – Drumgelloch	25	00	11	70	10	N	N	Y	N	N	R1	R1 Prohibited Underbridge No.37 at 19m72c on the Down Main
Scotland	1079	SC123	NEM1	Drumgelloch	Change of ELR	Drumgelloch – Change of ELR	11	70	11	60	10	N	N	Y	N	N	Y	
Scotland	1079	SC123	NEM2	Change of ELR	High Street Jn	Change of ELR – High Street Jn	11	60	0	28	10	R1	R1	Y	R1	N	R2 R3 R4 R5	R1 Prohibited between Change of ELR and Bellgrove Jn R2 Easterhouse Down platform R3 Overbridge No.72a at 08m 20ch on the Down Main R4 Coatdyke Up platform R5 Prohibited Airdrie Down platform 1
Scotland	1079	SC123	NEM2	High Street Jn	Change of ELR	High Street Jn – Change of ELR	0	28	0	00	5	N	N	N	N	N	N	
Scotland	1079	SC123	NEM3	Change of ELR	Finnieston East Jn	Change of ELR – Finnieston East Jn	0	00	2	19	5	N	N	N	N	N	N	
Scotland	1079	SC123	NEM3	Finnieston East Jn	Finnieston West Jn (Down Line)	Finnieston East Jn – Finnieston West Jn (Down Line)	2	19	2	53	7 R1	N	N	Y	N	N	N	R1 RA Change STNC NC/GI/2010/ICP-RA/SC008 applies until 30/09/2014
Scotland	1079	SC123	NEM3	Finnieston East Jn	Finnieston West Jn (Up Line)	Finnieston East Jn – Finnieston West Jn (Up Line)	2	19	2	53	5 R1	N	N	N	N	N	N	R1 RA Change STNC NC/GI/2010/ICP-RA/SC008 applies until 30/09/2014
Scotland	1079	SC123	NEM3	Finnieston West Jn	Hyndland North Jn	Finnieston West Jn – Hyndland North Jn	2	53	4	28	7	N	N	Y	N	N	N	
Scotland	1079	SC123	NEM3	Hyndland North Jn	Change of ELR	Hyndland North Jn – Change of ELR	4	28	4	63	10	N	N	Y	N	N	N	
Scotland	1079	SC123	NEM4	Change of ELR	Knightswood North Jn	Change of ELR – Knightswood North Jn	0	00	0	74	10	N	N	Y	N	N	N	
Scotland	1079	SC123	NEM5	Knightswood North Jn	Change of ELR (Between Bowling and Dumbarton East)	Knightswood North Jn – Change of ELR (Between Bowling and Dumbarton East)	5	67	13	40	10	N	N	Y	N	N	N	
Scotland	1079	SC123	NEM6	Change of ELR (Between Bowling and Dumbarton East)	Change of ELR (Dumbarton East)	Change of ELR (Between Bowling and Dumbarton East) – Change of ELR (Dumbarton East)	113	46	116	00	5 R1	N	N	N	N	N	N	R1 RA Change STNC NC/G1/2010/ICP-RA/SC009 applies until 30/09/2014
Scotland	1079	SC123	NEM7	Change of ELR (Dumbarton East)	Craigendoran Jn	Change of ELR (Dumbarton East) – Craigendoran Jn	15	51	22	76	5 R1	N	N	N	N	N	N	R1 RA Change STNC NC/G1/2010/ICP-RA/SC009 applies until 30/09/2014
Scotland	1079	SC123	NEM7	Craigendoran Jn	Helensburgh Central	Craigendoran Jn – Helensburgh Central	22	76	24	31	5 R1	N	N	N	N	N	N	R1 RA Change STNC NC/G1/2010/ICP-RA/SC009 applies until 30/09/2014
Scotland	1079	SC125	YKR	Hyndland East Jn	Hyndland West Jn	Hyndland East Jn – Hyndland West Jn	0	00	0	22	7 R1	N	N	Y	N	N	N	R1 RA Change STNC NC/GI/2010/ICP-RA/SC008 applies until 30/09/2014.
Scotland	1079	SC125	YKR	Hyndland West Jn	Dalmuir Park Jn	Hyndland West Jn – Dalmuir Park Jn	0	22	4	73	8 R1	N	N	Y	N	N	N	R1 RA Change STNC NC/G1/2008/SCOT0337 applies until 29/08/2013
Scotland	1079	SC129	SGN	Springburn	Bellgrove Jn	Springburn – Bellgrove Jn	0	42	2	58	10	Y	Y	Y	Y	N	Y	
Scotland	1079	SC131	HST	High Street Jn	Connection to Smithy Lye Through Line	High Street Jn – Connection to Smithy Lye Through Line	0	04	2	00	8	H	H	Y	H	N	R1	R1 Prohibited Underbridge No.37 at 19m72c on the Down Main
Scotland	1079	SC131	HST	Connection to Smithy Lye Through Line	Shields Jn	Connection to Smithy Lye Through Line – Shields Jn	2	00	2	35	8	N	N	Y	N	N	Y	
