Scotland	1173	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	 M	 Ch	 M	 Ch	RA	08	09	20	31/1 31/6	31/4	33	37/0 37/3 37/4 37/6	37/5	37/7 37/9	Notes
Scotland	1173	SC157	MLE	Millerhill South Jn	Millerhill East Jn (Goods Line)	Millerhill South Jn – Millerhill East Jn (Goods Line)	0	09	0	28	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1173	SC159	NDE2	Millerhill West Jn	Millerhill South Jn / Millerhill Yard	Millerhill West Jn – Millerhill South Jn / Millerhill Yard	6	52	5	72	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1173	SC161	NDE1	Millerhill Yard	Junction with Niddrie West Line	Millerhill Yard – Junction with Niddrie West Line	5	52	3	36	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1173	SC161	SUB1	Junction with Niddrie West Line	Portobello	Junction with Niddrie West Line – Portobello	3	36	3	30	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1173	SC161	MHL4	Newcraighall East Jn	Network Rail / Abellio Scotrail Boundary	Newcraighall East Jn – Network Rail / Abellio Scotrail Boundary	00	00	00	08	N	N	N	N	N	N	N	N	N	N	
Scotland	1173	SC163	SUB1	Portobello	Change of ELR	Portobello – Change of ELR	3	30	4	00	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1173	SC163	SUB2	Change of ELR	Niddrie West	Change of ELR – Niddrie West	6	69	6	30	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1173	SC164	NNS	Newcraighall North Jn	Newcraighall South Jn	Newcraighall North Jn – Newcraighall South Jn	4	63	5	02	3	N	N	N	N	N	N	R1	R1	R1 R2 R3 R4 R5 R6 R7 R8 R9	R1 55mph maximum speed R2 UB011/072 (28m 31ch) 20mph R3 UB011/070 (27m 46ch) 30mph R4 UB011/067 (25m 44ch) 20mph R5 UB011/061 (24m 03ch) 30mph R6 UB011/060 (23m 59ch) 30mph R7 UB011/056 (22m 04ch) 30mph R8 UB011/054 (21m 58ch) 30mph R9 UB011/053 (21m 40ch) 30mph
Scotland	1173	SC164	SBO	Newcraighall South Jn	Tweedbank	Newcraighall South Jn – Tweedbank	5	02	35	34	3	N	N	N	N	N	N	R1	R1	R1	R1 55mph maximum speed
Scotland	1173	SC165	MHY	Niddrie South Jn	Niddrie West Jn	Niddrie South Jn – Niddrie West Jn	7	06	6	30	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1173	SC165	SUB2	Niddrie West Jn	Gorgie Jn	Niddrie West Jn – Gorgie Jn	6	30	0	45	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1173	SC165	GGE	Gorgie Jn	Haymarket West Jn	Gorgie Jn – Haymarket West Jn	0	00	0	41	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1173	SC167	CKT	Craiglockhart Jn	Slateford Jn	Craiglockhart Jn – Slateford Jn	0	00	0	48	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1173	SC169	SUB2	Gorgie Jn	Haymarket Central Jn	Gorgie Jn – Haymarket Central Jn	0	45	0	11	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1173	SC171	ECM9	Waverley East End	Edinburgh Waverley	Waverley East End – Edinburgh Waverley	0	21	0	00	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1173	SC171	EGM4	Edinburgh Waverley	Waverley West End (South Lines)	Edinburgh Waverley – Waverley West End (South Lines)	0	00	0	15	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1173	SC171	ECN1	Edinburgh Waverley	Waverley West End (North Lines)	Edinburgh Waverley – Waverley West End (North Lines)	0	00	0	15	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1173	SC171	EGM3	Waverley West End	Haymarket (South Lines)	Waverley West End – Haymarket (South Lines)	0	15	1	19	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1173	SC171	ECN2	Waverley West End	Haymarket (North Lines)	Waverley West End – Haymarket (North Lines)	0	15	1	19	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1173	SC171	EGM2	Haymarket	Haymarket East Jn (South Lines)	Haymarket – Haymarket East Jn (South Lines)	46	02	45	72	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1173	SC171	ECN2	Haymarket	Haymarket East Jn (North Lines)	Haymarket – Haymarket East Jn (North Lines)	1	19	1	29	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
