Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	142	143	144	150	153	156	158	Notes
Scotland	0989	SC013	SHR	Wishaw Central Jn – Shieldmuir Jn	86	63	87	43	N	N	N	Y	Y	Y	Y	
Scotland	0989	SC015	MDN	Mossend East Jn – Mossend North Jn (North Curve)	0	40	0	06	N	N	N	Y	Y	Y	Y	
Scotland	0989	SC017	MDE	Mossend East Jn – Mossend South Jn (East Curve)	0	31	0	00	N	N	N	Y	Y	Y	Y	
Scotland	0989	SC019	MDW	Mossend South Jn – Mossend West Jn (West Curve)	91	08	91	50	N	N	N	Y	Y	Y	Y	
Scotland	0989	SC021	COS2	Coltness – Change of ELR	0	09	0	00	N	N	N	N	N	N	N	
Scotland	0989	SC021	COS1	Change of ELR – Garriongill Jn	14	15	15	29	N	N	N	N	N	N	N	
Scotland	0989	SC023	HMN1	Motherwell – Change of ELR	0	08	1	44	N	N	N	Y	Y	Y	Y	
Scotland	0989	SC023	HMN2	Change of ELR – Newton, Hamilton Jn	6	61	0	00	N	N	N	Y	Y	Y	R1	R1 15mph Blantyre up platform
Scotland	0989	SC024	LRK	Larkhall – Haughhead Jn	3	00	0	00	N	N	N	N	N	N	N	
Scotland	0989	SC025	ARG1	Rutherglen Central Jn – Bridgeton Yard North End	0	00	0	43	N	N	N	Y	Y	Y	E R1	R1 Prohibited between Rutherglen North Jn and Bridgeton Yard North End Jn
Scotland	0989	SC025	ARG2	Bridgeton Yard North End – Exhibition Centre	0	86	4	03	N	N	N	Y	Y	Y	N	
Scotland	0989	SC025	ARG2	Exhibition Centre – Finnieston East Jn (Down line)	4	03	4	41	N	N	N	Y	Y	Y	N	
Scotland	0989	SC025	ARG2	Exhibition Centre – Finnieston West Jn (Up line)	4	03	4	74	N	N	N	Y	Y	Y	N	
Scotland	0989	SC027	RNC	Rutherglen West Jn – Rutherglen North Jn (West Curve)	0	00	0	29	N	N	N	Y	Y	Y	E	
Scotland	0989	SC029	CLY	Larkfield Jn – Terminus Jn	101	01	101	62	N	N	N	Y	Y	Y	E	
Scotland	0989	SC029	BRD	Terminus Jn – Shields Jn via Through Terminus lines	101	62	102	16	N	N	N	Y	Y	Y	E	
Scotland	0989	SC029	CLY	Terminus Jn – Shields Jn	101	62	102	16	N	N	N	Y	Y	Y	E	
Scotland	0989	SC031	GSW	Route Boundary (NW4031) (Gretna Jn) – Old Route boundary (109m 00ch between Eastriggs and Annan)	115	40	109	00	R1	R1	R1	Y	Y	Y	E	R1 Prohibited between Kilmarnock and Old Route boundary (109m 00ch between Eastriggs and Annan)
Scotland	0989	SC031	GSW	Old Route boundary (109m 00ch between Eastriggs and Annan) – Change of ELR	109	0	33	44	N	N	N	Y	Y	Y	E	
Scotland	0989	SC031	GBK	Change of ELR – Muirhouse South Jn	23	44	1	18	N	N	N	Y	Y	Y	E	
