London-North-Western-South	0547	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	165	166 RH M	168	170	171	172	175	180	195	220	221	Notes
London-North-Western-South	0547	MD710	MCJ1	Neasden South Jn	Network Rail Boundary (LUL) (Harrow-on-the-Hill South Jn)	Neasden South Jn – Network Rail Boundary (LUL) (Harrow-on-the-Hill South Jn)	200	66	197	05	R1 R2	N	Y	N	N	R3 R4	N	N	N	N	N	R1 Route prohibited to Class 165/1 R2 Prohibited unless fitted with tripcocks R3 Prohibited from being the leading unit between on the LUL section Harrow on the Hill and Amersham (9m 13ch to 25m 21ch) due to the non-fitment of tripcocks R4 Route prohibited to Class 172/2 and 172/3
London-North-Western-South	0547	MD712	MCJ2	Network Rail Boundary (LUL) (Amersham, Mantles Wood)	Aylesbury Jn	Network Rail Boundary (LUL) (Amersham, Mantles Wood) – Aylesbury Jn	25	21	38	08	R1 R2	N	Y	N	N	R3 R4	N	N	N	N	N	R1 Route prohibited to Class 165/1 R2 Prohibited on LUL section unless fitted with tripcocks R3 Prohibited from being the leading unit on the LUL section between Harrow on the Hill and Amersham (9m 13ch to 25m 21ch) due to the non-fitment of tripcocks R4 Route prohibited to Class 172/2 and 172/3
London-North-Western-South	0547	MD712	MCJ2	Aylesbury Jn	Aylesbury	Aylesbury Jn – Aylesbury	38	08	38	13	R1	N	Y	N	N	R2	N	N	N	N	N	R1 Route prohibited to Class 165/1 R2 Route prohibited to Class 172/2 and 172/3
London-North-Western-South	0547	MD715	NJN	Neasden South Jn	Route Boundary (EA1360) (Neasden Jn)	Neasden South Jn – Route Boundary (EA1360) (Neasden Jn)	6	30	6	51	E R1	N	E	N	N	E	N	N	N	N	N	R1 Route prohibited to Class 165/1
London-North-Western-South	0547	MD720	NAJ2	Princes Risborough	Change of Mileage (Princes Risborough Jn)	Princes Risborough – Change of Mileage (Princes Risborough Jn)	24	40	24	48	R1	N	Y	N	N	Y	N	N	N	N	N	R1 Route prohibited to Class 165/1
London-North-Western-South	0547	MD720	PRA	Change of Mileage (Princes Risborough Jn)	Aylesbury Jn	Change of Mileage (Princes Risborough Jn) – Aylesbury Jn	42	31	49	35	R1	N	Y	N	N	Y	N	N	N	N	N	R1 Route prohibited to Class 165/1
London-North-Western-South	0547	MD725	MCJ2	Aylesbury	Aylesbury Vale Parkway	Aylesbury – Aylesbury Vale Parkway	38	13	40	38	R1	N	Y	N	N	R2	N	N	N	N	N	R1 Route prohibited to Class 165/1 R2 Route prohibited to Class 172/2 and 172/3
London-North-Western-South	0547	MD725	MCJ2	Aylesbury Vale Parkway	Change of Mileage (Quainton Road)	Aylesbury Vale Parkway – Change of Mileage (Quainton Road)	40	38	44	28	Y	N	E	N	N	E R1	N	N	N	N	N	R1 Route prohibited to Class 172/2 and 172/3
London-North-Western-South	0547	MD725	MCJ3	Change of Mileage (Quainton Road)	Calvert Jn (Change of Mileage)	Change of Mileage (Quainton Road) – Calvert Jn (Change of Mileage)	161	50	156	72	Y	N	E	N	N	E R1	N	N	N	N	N	R1 Route prohibited to Class 172/2 and 172/3
London-North-Western-South	0547	MD725	MCJ4	Calvert Jn (Change of Mileage)	Claydon L&NE Jn	Calvert Jn (Change of Mileage) – Claydon L&NE Jn	0	00	0	41	Y	N	E	N	N	E R1	N	N	N	N	N	R1 Route prohibited to Class 172/2 and 172/3
London-North-Western-South	0547	MD736	OXD	Route Boundary (GW277)	Gavray Junction	Route Boundary (GW277) –Gavray Junction	29	25	19	00	Y	N	Y	N	N	Y	N	N	N	N	N
London-North-Western-South	0547	MD736	OXD	Gavray Junction	Gates (Claydon)	Gavray Junction – Gates (Claydon)	19	00	12	00	R1	N	R1	N	N	R2	N	N	N	N	N	R1 Prohibtied Temporary Buffer Stop to Gates (Claydon) R2 Route prohibited to Class 172/2 and 172/3
London-North-Western-South	0547	MD736	OXD	Gates (Claydon)	Buffer Stops	Gates (Claydon) – Buffer Stops	12	00	1	31	N	N	N	N	N	N	N	N	N	N	N	Line non-operational
London-North-Western-South	0547	MD736	OXD	Buffer Stops	Flyover Junction (Change of ELR)	Buffer Stops – Flyover Junction (Change of ELR)	1	27	0	62	E R1	N	N	N	N	N	N	N	N	N	N	R1 Prohibited with footsteps fitted
London-North-Western-South	0547	MD736	BFO	Flyover Junction (Change of ELR)	Flyover Junction Summit	Flyover Junction (Change of ELR) – Flyover Junction Summit	0	00	0	68	E R1	N	N	N	N	N	N	N	N	N	N	R1 Prohibited with footsteps fitted
