Route	page	Line of route	Line of Route / Sector Description	W6a	W7	W8	W9	W9Plus	W10	W10A	W12	Notes
London-North-Western-South	0652	MD570	Saltley (Landor Street Junction) – Kings Norton Junction (Camp Hill Lines)	Y *	Y	R1	N	N	N	N	N	R1 W8 prohibited between Bordesley Junction and Kings Norton Junction
London-North-Western-South	0652	MD575	St Andrews Junction – Grand Junction	Y	Y	Y	N	N	N	N	N	
London-North-Western-South	0652	MD580	Lifford East Junction – Lifford West Junction	Y	Y	N	N	N	N	N	N	
London-North-Western-South	0652	MD701	London Marylebone – Aynho Junction via Wycombe and Bicester	Y *	R1	N	N	N	N	N	N	R1 W7 prohibited between London Marylebone and Neasden South Junction
London-North-Western-South	0652	MD705	Greenford West Junction – South Ruislip	Y *	Y	Y	N	N	N	N	N	
London-North-Western-South	0652	MD710	Neasden South Junction – Harrow- on-the-Hill South Junction (LUL/NR Boundary)	Y *	N	N	N	N	N	N	N	
London-North-Western-South	0652	MD712	Amersham (LUL/NR Boundary [25m 20ch]) – Aylesbury	Y	R1	R1	N	N	N	N	N	R1 W7 and W8 prohibited between Mantles Wood [25m 20ch] and Aylesbury Junction.
London-North-Western-South	0652	MD715	Neasden South Junction – Neasden Junction	Y	Y	N	N	N	N	N	N	
London-North-Western-South	0652	MD720	Princes Risborough Junction – Aylesbury Junction	Y	Y	N	N	N	N	N	N	
London-North-Western-South	0652	MD725	Aylesbury – Claydon L&NE Junction	Y	R1	R1	N	N	N	N	N	R1 W8 prohibited between former Calvert Junction and Claydon L&NE Junction. W7 W8 15mph at Bridge No. 179 [42m 76ch] on Single Line
London-North-Western-South	0652	MD735	Denbigh Hall South – Swanbourne Sidings	Y	Y	Y	N	N	N	N	N	
London-North-Western-South	0652	MD735	Claydon L&NE Junction – Bicester	Y	Y	Y	N	N	N	N	N	
London-North-Western-South	0652	MD736	Route Boundary (GW277) –Gavray Junction	Y	Y	Y	Y	N	Y	N	Y	
London-North-Western-South	0652	MD736	Gavray Junction – Gates (Claydon)	R1	R1	R1	R1	N	R1	N	R1	R1 Prohibited temporary Buffer Stop (18m 46ch) to Gates (Claydon)
London-North-Western-South	0652	MD736	Gates (Claydon) – Buffer Stops	N	N	N	N	N	N	N	N	
London-North-Western-South	0652	MD736	Buffer Stops – Flyover Junction (Change of ELR)	N	N	N	N	N	N	N	N	
London-North-Western-South	0652	MD736	Flyover Junction (Change of ELR) – Flyover Junction Summit	N	N	N	N	N	N	N	N	
London-North-Western-South	0652	MD736	Flyover Junction Summit – Limit of Electrification	N	N	N	N	N	N	N	N	
London-North-Western-South	0652	MD736	Limit of Electrification – Bletchley Flyover North Jn	N	N	N	N	N	N	N	N	
London-North-Western-South	0652	MD736	Bletchley Flyover North Jn – Denbigh Hall South Jn	N	N	N	N	N	N	N	N	
