Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	08	09	20	31/1 31/6	31/4	33	37/0 37/3 37/4 37/6	37/5	37/7 37/9	Notes
London-North-Western-South	0607	MD405	LSC2	Milverton Change of ELR – Coventry South Jn	0	00	8	45	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0607	MD410	CNN	Coventry North Jn – Nuneaton South Jn	0	00	9	53	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0607	MD415	HSA	Hatton Station Jn – Bearley Jn	18	12	12	48	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0607	MD415	HSA	Bearley Jn – Stratford Upon Avon (End of Headshunt)	12	48	8	63	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0607	MD420	HHW	Hatton North Jn – Hatton West Jn	18	25	17	62	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0607	MD425	TSB	Tyseley South Jn – Bearley Jn	0	00	17	71	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0607	MD430	OWW	Droitwich Spa – Cutnall Green (former Route Boundary)	126	21	130	40	8	Y	N	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0607	MD430	OWW	Cutnall Green (former Route Boundary) – Kidderminster	130	40	135	46	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0607	MD435	DCL	Small Heath South Jn – Site of Former Handsworth Jn	126	59	132	47	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0607	MD435	HSJ	Site of Former Handsworth Jn – Smethwick Jn	132	47	133	32	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0607	MD435	GSJ2	Smethwick Jn – Stourbridge North Jn	133	32	141	06	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0607	MD440	GSJ1	Galton Jn – Smethwick Jn	3	64	4	08	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0607	MD445	SJS	Stourbridge Jn – Stourbridge Town	142	16	142	78	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0607	MD450	OWW	Stourbridge North Jn – Round Oak	142	15	146	13	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0607	MD455	KWD	Kingswinford Jn – Network Rail Boundary	144	33	145	60	8	N	N	N	N	N	N	N	N	N	Line out of use NME/2005/LNW284
London-North-Western-South	0607	MD460	SJT1	Kineton MOD Branch – Burton Dassett (MOD Kineton)	22	60	25	60	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0607	MD501	DBP1	Route Boundary (LN3501) (London Road Jn) – Kingsbury Jn	23	30	29	39	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0607	MD501	DBP2	Kingsbury Jn – Water Orton East Jn	29	39	33	22	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0607	MD501	DBP3	Water Orton East Jn (Change of Mileage) – Landor Street Jn	34	43	40	60	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0607	MD501	DBP3	Landor Street Jn – Proof House Jn	40	60	41	51	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0607	MD545	KJW	Kingsbury Jn – Whitacre Jn (Change of Mileage)	29	39	31	69	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
