Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	313	315	317	319	321	322	323	325	350	360	Notes
London-North-Western-South	0572	MD166	WLL	Route Boundary (SO250) (North Pole Jn) – Mitre Bridge Jn	5	65	5	67	Y	Y	Y	Y	Y	Y	N	Y	N	N	
London-North-Western-South	0572	MD166	WLL	Mitre Bridge Jn – West London Jn (Willesden)	5	67	6	19	Y	Y	Y	Y	Y	Y	N	Y	N	N	
London-North-Western-South	0572	MD166	LLG	West London Jn (Willesden) – Wembley Central Jn (Willesden Relief lines)	0	12	2	59	Y	Y	Y	Y	Y	Y	N	Y	Y	N	
London-North-Western-South	0572	MD167	WLL	Mitre Bridge Jn – West London Jn (Willesden)	5	67	6	19	Y	Y	Y	Y	Y	Y	N	Y	N	N	
London-North-Western-South	0572	MD167	WAW	West London Jn (Willesden) – Route Boundary (EA1360) (Acton Wells)	6	19	6	76	Y	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0572	MD170	ACW	Route Boundary (EA1360) (Acton Canal Wharf Jn) – Willesden Jn	0	11	0	00	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0572	MD175	BPH	Bridge Street LC – Site of Former Bridge Street Jn	4	56	4	29	N	N	N	N	N	N	N	N	N	N	Line out of use NC/G1/2014/LNW443v2
London-North-Western-South	0572	MD175	BDN	Site of Former Bridge Street Jn – Site of Former Duston North Jn	0	00	0	18	N	N	N	N	N	N	N	N	N	N	Line out of use NC/G1/2014/LNW443v2
London-North-Western-South	0572	MD175	NMH	Site of Former Duston North Jn – Northampton South Jn	0	29	0	65	N	N	N	N	N	N	N	N	N	N	Line out of use NC/G1/2014/LNW443v2
London-North-Western-South	0572	MD180	RTS	Rugby Trent Valley Jn – New Bilton	0	00	0	79	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0572	MD232	WNS	Route Boundary (LN3232) (Hinckley) – Nuneaton South Jn	2	62	0	05	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0572	MD232	WNS	Limit of Electrification (Down direction) – Nuneaton South Jn	0	39	0	05	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0572	MD232	WNS	Nuneaton South Jn – Nuneaton South Change of ELR	0	05	0	00	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0572	MD232	PVS	Nuneaton South Change of ELR – Limit of Electrification (Up direction)	10	61	10	39	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0572	MD232	PVS	Limit of Electrification (Up direction) – Midland Yard Jn	10	39	10	09	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0572	MD232	NMA	Midland Yard Jn – Abbey Jn	10	09	9	60	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0572	MD233	MYC	Midland Yard Jn - Canal Farm Jn	0	00	0	69	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0572	MD301	RBS1	Rugby Trent Valley Jn – Coventry South Jn	83	18	93	71	N	N	Y	N	Y	Y	Y	Y	Y	N	
London-North-Western-South	0572	MD301	RBS1	Coventry South Jn – Coventry North Jn	93	71	94	19	N	N	Y	N	Y	Y	Y	Y	Y	N	
London-North-Western-South	0572	MD301	RBS1	Coventry North Jn – Stechford North Jn	94	19	109	12	N	N	Y	N	Y	Y	Y	Y	Y	N	
London-North-Western-South	0572	MD301	RBS1	Stechford North Jn – Grand Jn	109	12	111	72	N	N	Y	N	Y	Y	Y	Y	Y	N	
