Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	W7A	W8A	W9A	LG2	PG1	PG2	LSVG	Notes
London-North-Western-South	0664	MD555	DBP3	Whitacre West Jn – Water Orton East Jn	31	69	34	43	N	N	N	N	N	N	N	
London-North-Western-South	0664	MD560	WOP	Water Orton West Jn – Park Lane Change of ELR	35	15	36	04	N	N	N	N	N	N	N	
London-North-Western-South	0664	MD560	CBR2	Park Lane Change of ELR – Park Lane Jn	36	04	36	15	N	N	N	N	N	N	N	
London-North-Western-South	0664	MD565	CBR1	Castle Bromwich Jn – Park Lane Jn	0	55	0	00	N	N	N	N	N	N	N	
London-North-Western-South	0664	MD565	CBR2	Park Lane Jn – Ryecroft Jn	36	04	47	48	N	N	N	N	N	N	N	
London-North-Western-South	0664	MD570	LSS	Landor Street Jn – St Andrews Jn	40	60	41	18	N	N	N	N	N	N	N	
London-North-Western-South	0664	MD570	SKN	St Andrews Jn – Bordesley Jn	41	18	41	44	N	N	N	N	N	N	N	
London-North-Western-South	0664	MD570	SKN	Bordesley Jn – Kings Norton Jn (Camp Hill Lines)	41	44	46	77	N	N	N	N	N	N	N	
London-North-Western-South	0664	MD575	SAG	St Andrews Jn – Grand Jn	0	00	0	52	N	N	N	N	N	N	N	
London-North-Western-South	0664	MD580	LEL	Lifford East Jn – Lifford West Jn	46	11	46	36	N	N	N	N	N	N	N	
London-North-Western-South	0664	MD701	MCJ1	London Marylebone – Neasden South Jn (Change of Mileage)	205	77	200	65	N	N	N	N	N	N	N	
London-North-Western-South	0664	MD701	NAJ1	Neasden South Jn (Change of Mileage) – Northolt Jn	6	30	0	00	N	N	N	N	N	N	N	
London-North-Western-South	0664	MD701	NAJ2	Northolt Jn – Princes Risborough Jn	0	00	24	50	N	N	N	N	N	N	N	
London-North-Western-South	0664	MD701	NAJ2	Princes Risborough Jn – Site of former Ashendon Jn (Change of Mileage)	24	50	33	69	N	N	N	N	N	N	N	
London-North-Western-South	0664	MD701	NAJ3	Site of former Ashendon Jn (Change of Mileage) – Aynho Jn	0	00	18	35	N	N	N	N	N	N	N	
London-North-Western-South	0664	MD705	ANL	Route Boundary (GW110) (Greenford West Jn) – Northolt Jn (South Ruislip)	8	60	10	15	N	N	N	N	N	N	N	
London-North-Western-South	0664	MD710	MCJ1	Neasden South Jn – Network Rail Boundary (LUL) (Harrow-on-the-Hill South Jn)	200	66	197	05	N	N	N	N	N	N	N	
London-North-Western-South	0664	MD712	MCJ2	Network Rail Boundary (LUL) (Amersham, Mantles Wood) – Aylesbury Jn	25	21	38	08	N	N	N	N	N	N	N	
London-North-Western-South	0664	MD712	MCJ2	Aylesbury Jn – Aylesbury	38	08	38	13	N	N	N	N	N	N	N	
