London-North-Western-South	0477	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	165	166 RH M	168	170	171	172	175	180	195	220	221	Notes
London-North-Western-South	0477	MD501	DBP2	Kingsbury Jn	Water Orton East Jn	Kingsbury Jn – Water Orton East Jn	29	39	33	22	N	N	E	Y	N	E	N	N	N	Y	Y	
London-North-Western-South	0477	MD501	DBP3	Water Orton East Jn (Change of Mileage)	Landor Street Jn	Water Orton East Jn (Change of Mileage) – Landor Street Jn	34	43	40	60	N	N	E	Y	N	E	R1	N	N	Y	Y	R1 Prohibited between Water Orton East Jn and Castle Bromwich Jn
London-North-Western-South	0477	MD501	DBP3	Landor Street Jn	Proof House Jn	Landor Street Jn – Proof House Jn	40	60	41	51	N	N	Y	Y	N	N	Y	N	N	Y	Y	
London-North-Western-South	0477	MD545	KJW	Kingsbury Jn	Whitacre Jn (Change of Mileage)	Kingsbury Jn – Whitacre Jn (Change of Mileage)	29	39	31	69	N	N	E	Y	N	E R1	N	N	N	Y	Y	R1 Route prohibited to Class 172/2 and 172/3
London-North-Western-South	0477	MD555	NWO	Nuneaton North Junction	Lmit of Electrification	Nuneaton North Junction – Lmit of Electrification	10	18	10	00	N	N	N	Y	N	N	N	N	N	Y	Y	
London-North-Western-South	0477	MD555	NWO	Limit of Electrification	Whitacre West Junction	Limit of Electrification – Whitacre West Junction	10	00	0	00	N	N	N	Y	N	N	N	N	N	Y	Y	
London-North-Western-South	0477	MD555	DBP3	Whitacre West Jn	Water Orton East Jn	Whitacre West Jn – Water Orton East Jn	31	69	34	43	N	N	E	Y	N	E	N	N	N	Y	Y	
London-North-Western-South	0477	MD560	WOP	Water Orton West Jn	Park Lane Change of ELR	Water Orton West Jn – Park Lane Change of ELR	35	15	36	04	N	N	E	Y	N	N	N	N	N	Y	Y	
London-North-Western-South	0477	MD560	CBR2	Park Lane Change of ELR	Park Lane Jn	Park Lane Change of ELR – Park Lane Jn	36	04	36	15	N	N	E	Y	N	N	N	N	N	Y	Y	
London-North-Western-South	0477	MD565	CBR1	Castle Bromwich Jn	Park Lane Jn	Castle Bromwich Jn – Park Lane Jn	0	55	0	00	E	N	E	Y	N	N	Y	N	N	Y	Y	
London-North-Western-South	0477	MD565	CBR2	Park Lane Jn	Ryecroft Jn	Park Lane Jn – Ryecroft Jn	36	04	47	48	E	N	E	Y	N	N	Y	N	N	Y	Y	
London-North-Western-South	0477	MD570	LSS	Landor Street Jn	St Andrews Jn	Landor Street Jn – St Andrews Jn	40	60	41	18	N	N	Y	Y	N	E	N	N	N	Y	Y	
London-North-Western-South	0477	MD570	SKN	St Andrews Jn	Bordesley Jn	St Andrews Jn – Bordesley Jn	41	18	41	44	Y	N	Y	Y	N	Y	N	N	N	Y	Y	
London-North-Western-South	0477	MD570	SKN	Bordesley Jn	Kings Norton Jn (Camp Hill Lines)	Bordesley Jn – Kings Norton Jn (Camp Hill Lines)	41	44	46	77	N	N	N	Y	N	R1	N	N	N	Y	Y	R1 Route prohibited to Class 172/1
London-North-Western-South	0477	MD575	SAG	St Andrews Jn	Grand Jn	St Andrews Jn – Grand Jn	0	00	0	52	R1	N	Y	Y	N	Y	N	N	N	Y	Y	R1 Route prohibited to Class 165/1
London-North-Western-South	0477	MD580	LEL	Lifford East Jn	Lifford West Jn	Lifford East Jn – Lifford West Jn	46	11	46	36	N	N	N	Y	N	N	N	N	N	Y	Y	
London-North-Western-South	0477	MD701	MCJ1	London Marylebone	Neasden South Jn (Change of Mileage)	London Marylebone – Neasden South Jn (Change of Mileage)	205	77	200	65	R1	N	Y	N	N	R2	N	N	N	N	N	R1 Route prohibited to Class 165/1 R2 Route prohibited to Class 172/2 and 172/3
London-North-Western-South	0477	MD701	NAJ1	Neasden South Jn (Change of Mileage)	Northolt Jn	Neasden South Jn (Change of Mileage) – Northolt Jn	6	30	0	00	R1	N	Y	N	N	Y	N	N	N	N	N	R1 Route prohibited to Class 165/1
London-North-Western-South	0477	MD701	NAJ2	Northolt Jn	Princes Risborough Jn	Northolt Jn –Princes Risborough Jn	0	00	24	50	Y	N	Y	N	N	Y	Y	Y	N	Y	Y	
London-North-Western-South	0477	MD701	NAJ2	Princes Risborough Jn	Site of Former Ashendon Jn (Change of Mileage)	Princes Risborough Jn – Site of Former Ashendon Jn (Change of Mileage)	24	50	33	69	Y	N	Y	N	N	R1	R2	R2	N	Y	Y	R1 Route prohibited to Class 172/2 and 172/3 R2 30 mph Haddenham and Thame Parkway Up platform
London-North-Western-South	0477	MD701	NAJ3	Site of Former Ashendon Jn (Change of Mileage)	Aynho Jn	Site of Former Ashendon Jn (Change of Mileage) –Aynho Jn	0	00	18	35	Y	N	Y	N	N	R1	Y	Y	N	Y	Y	R1 Route prohibited to Class 172/2 and 172/3
London-North-Western-South	0477	MD705	ANL	Route Boundary (GW110) (Greenford West Jn)	Northolt Jn (South Ruislip)	Route Boundary (GW110) (Greenford West Jn) –Northolt Jn (South Ruislip)	8	60	10	15	Y	N	Y	N	N	Y	Y	Y	N	Y	Y	
