Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	W7A	W8A	W9A	LG2	PG1	PG2	LSVG	Notes
London-North-Western-South	0665	MD715	NJN	Neasden South Jn – Route Boundary (EA1360) (Neasden Jn)	6	30	6	51	N	N	N	N	N	N	N	
London-North-Western-South	0665	MD720	NAJ2	Princes Risborough – Change of Mileage (Princes Risborough Jn)	24	40	24	48	N	N	N	N	N	N	N	
London-North-Western-South	0665	MD720	PRA	Change of Mileage (Princes Risborough Jn) – Aylesbury Jn	42	31	49	35	N	N	N	N	N	N	N	
London-North-Western-South	0665	MD725	MCJ2	Aylesbury – Aylesbury Vale Parkway	38	13	40	38	N	N	N	N	N	N	N	
London-North-Western-South	0665	MD725	MCJ2	Aylesbury Vale Parkway – Change of Mileage (Quainton Road)	40	38	44	28	N	N	N	N	N	N	N	
London-North-Western-South	0665	MD725	MCJ3	Change of Mileage (Quainton Road) – Calvert Jn (Change of Mileage)	161	50	156	72	N	N	N	N	N	N	N	
London-North-Western-South	0665	MD725	MCJ4	Calvert Jn (Change of Mileage) – Claydon L&NE Jn	0	00	0	41	N	N	N	N	N	N	N	
London-North-Western-South	0665	MD736	OXD	Route Boundary (GW277) –Gavray Junction	29	25	19	00	N	N	N	N	N	N	N	
London-North-Western-South	0665	MD736	OXD	Gavray Junction – Gates (Claydon)	19	00	12	00	N	N	N	N	N	N	N	
London-North-Western-South	0665	MD736	OXD	Gates (Claydon) – Buffer Stops	12	00	1	31	N	N	N	N	N	N	N	
London-North-Western-South	0665	MD736	OXD	Buffer Stops – Flyover Junction (Change of ELR)	1	27	0	62	N	N	N	N	N	N	N	
London-North-Western-South	0665	MD736	BFO	Flyover Junction (Change of ELR) – Flyover Junction Summit	0	00	0	68	N	N	N	N	N	N	N	
London-North-Western-South	0665	MD736	DHF	Flyover Junction Summit – Limit of Electrification	0	68	1	37	N	N	N	N	N	N	N	
London-North-Western-South	0665	MD736	DHF	Limit of Electrification – Bletchley Flyover North Jn	1	37	1	61	N	N	N	N	N	N	N	
London-North-Western-South	0665	MD736	DHF	Bletchley Flyover North Jn – Denbigh Hall South Jn	1	61	1	73	N	N	N	N	N	N	N	
London-North-Western-South	0665	MD740	BFO	Flyover Jn (Summit) – Fenny Stratford Bletchley Flyover Jn	0	68	1	59	N	N	N	N	N	N	N	
London-North-Western-South	0665	MD745	BSG	Bicester South Junction – Gavray Junction	0	00	0	52	N	N	N	N	N	N	N	
