London-North-Western-South	0502	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	373	377	378	379	380	387	390	458	499	508	700	Notes
London-North-Western-South	0502	MD136	WCL	Railnet Jn	Willesden Carriage Shed South	Railnet Jn – Willesden Carriage Shed South	1	11	2	00	N	N	Y	E	N	N	Y	N	N	N	N	
London-North-Western-South	0502	MD136	WCL	Willesden Carriage Shed South	Connection with Yard line	Willesden Carriage Shed South – Connection with Yard line	2	00	2	60	N	N	Y	E	N	N	Y	N	N	N	N	
London-North-Western-South	0502	MD136	WEF1	Connection with Yard line	Wembley Central Jn	Connection with Yard line – Wembley Central Jn	2	60	2	76	N	N	Y	E	N	N	Y	N	N	N	N	
London-North-Western-South	0502	MD137	WCL	Harlesden Jn	Railnet Jn	Harlesden Jn – Railnet Jn	1	00	1	11	N	N	Y	E	N	N	Y	N	N	N	E	
London-North-Western-South	0502	MD137	UHL	Railnet Jn	Wembley Yard South Jn	Railnet Jn – Wembley Yard South Jn	1	11	1	62	N	N	Y	E	N	N	Y	N	N	N	E	
London-North-Western-South	0502	MD137	WEF1	Wembley Yard South Jn	Wembley Central Jn	Wembley Yard South Jn – Wembley Central Jn	1	62	2	76	N	N	Y	E	N	N	Y	N	N	N	N	
London-North-Western-South	0502	MD140	LEC1	Bletchley South Jn	Bletchley North Jn (Change of Mileage)	Bletchley South Jn – Bletchley North Jn (Change of Mileage)	46	41	46	59	N	E	R1 R2	N	N	N	N	N	N	N	N	R1 For access to Bletchley platform 5 only R2 Prohibited with footsteps fitted
London-North-Western-South	0502	MD140	BBM	Bletchley North Jn (Change of Mileage)	Limit of electrification (Bletchley TMD)	Bletchley North Jn (Change of Mileage) – Limit of electrification (Bletchley TMD)	0	11	0	21	N	E	R1	N	N	E	N	N	N	N	N	R1 Prohibited with footsteps fitted
London-North-Western-South	0502	MD140	BBM	Limit of electrification (Bletchley TMD)	Route Boundary (LN3140) (Bedford)	Limit of electrification (Bletchley TMD) – Route Boundary (LN3140) (Bedford)	0	21	16	07	N	N	N	N	N	N	N	N	N	N	E R1	R1 Prohibited Limit of Electrification (Bletchley TMD) - Bedford St Johns West Jn
London-North-Western-South	0502	MD145	CRC2	Route Boundary (EA1320) (Camden Road West Jn)	Camden Jn (North DC lines)	Route Boundary (EA1320) (Camden Road West Jn) – Camden Jn (North DC lines)	5	42	5	78	Y	E	Y	E	EH	E	N	N	N	N	E	
London-North-Western-South	0502	MD150	KGW	Route Boundary (EA1310) (Kensal Green Jn)	Willesden Suburban Jn	Route Boundary (EA1310) (Kensal Green Jn) – Willesden Suburban Jn	5	25	5	36	N	N	Y	N	N	N	N	N	N	EH	N	
London-North-Western-South	0502	MD155	KGC	Route Boundary (EA1310) (Kensal Green Jn)	Harlesden Jn	Route Boundary (EA1310) (Kensal Green Jn) – Harlesden Jn	0	21	1	00	N	N	Y	E	N	N	Y	N	N	EH	N	
London-North-Western-South	0502	MD160	WMB	Route Boundary (EA1310) (Willesden High Level Jn)	Mitre Bridge Jn	Route Boundary (EA1310) (Willesden High Level Jn) – Mitre Bridge Jn	0	09	0	00	N	E	Y	N	N	E	N	N	N	N	E	
London-North-Western-South	0502	MD166	WLL	Route Boundary (SO250) (North Pole Jn)	Mitre Bridge Jn	Route Boundary (SO250) (North Pole Jn) – Mitre Bridge Jn	5	65	5	67	Y	Y	Y	N	EH	Y	N	EH	N	EH	E	
London-North-Western-South	0502	MD166	WLL	Mitre Bridge Jn	West London Jn (Willesden)	Mitre Bridge Jn – West London Jn (Willesden)	5	67	6	19	Y	Y	Y	N	EH	Y	N	EH	N	EH	E	
London-North-Western-South	0502	MD166	LLG	West London Jn (Willesden)	Wembley Central Jn (Willesden Relief lines)	West London Jn (Willesden) – Wembley Central Jn (Willesden Relief lines)	0	12	2	59	N	Y	Y	N	N	Y	Y	N	N	N	N	
London-North-Western-South	0502	MD167	WLL	Mitre Bridge Jn	West London Jn (Willesden)	Mitre Bridge Jn – West London Jn (Willesden)	5	67	6	19	Y	Y	Y	N	EH	Y	N	EH	N	EH	E	
