Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT (MOD)	MK4	MK5	MK5A	Notes
London-North-Western-South	0603	MD315	SAS	Stechford South Jn – Stechford North Jn (via Up Line)	-0	20	-0	04	Y	Y	Y	Y	Y	Y	N	Y	N	
London-North-Western-South	0603	MD315	SAS	Stechford North Jn – Aston South Jn	-0	04	2	61	Y	Y	Y	Y	Y	Y	N	Y	N	
London-North-Western-South	0603	MD320	RBS1	Proof House Jn – Curzon Street Jn (Change of Mileage)	112	19	112	07	Y	Y	Y	N	Y	Y	N	Y	N	
London-North-Western-South	0603	MD320	PBJ	Curzon Street Jn (Change of Mileage) – Aston South Jn	0	00	1	60	Y	Y	Y	N	Y	Y	N	Y	N	
London-North-Western-South	0603	MD320	PBJ	Aston South Jn – Aston North Jn	1	60	1	73	Y	Y	Y	Y	Y	Y	N	Y	N	
London-North-Western-South	0603	MD320	PBJ	Aston North Jn – Bescot Jn	1	73	8	50	Y	Y	Y	Y	Y	Y	N	Y	N	
London-North-Western-South	0603	MD320	PBJ	Bescot Jn – Bushbury Jn	8	50	15	32	Y	Y	Y	R1	Y	Y	N	Y	N	R1 Prohibited between Portobello Jn and Bushbury Jn
London-North-Western-South	0603	MD325	SSP	Soho South Jn – Perry Barr West Jn	2	71	0	39	Y	Y	Y	N	Y	Y	N	Y	N	
London-North-Western-South	0603	MD325	PBL	Perry Barr West Jn – Perry Barr North Jn	0	29	0	00	Y	Y	Y	N	Y	Y	N	Y	N	
London-North-Western-South	0603	MD330	SCL	Soho East Jn – Soho North Jn	0	00	0	22	Y	Y	Y	N	Y	Y	N	Y	N	
London-North-Western-South	0603	MD335	SSP	Perry Barr West Jn – Perry Barr South Jn	0	39	0	00	Y	Y	Y	N	Y	Y	N	Y	N	
London-North-Western-South	0603	MD340	ALC1	Aston North Jn – Sutton Coldfield Change of ELR	0	00	5	00	Y	Y	Y	N	N	N	N	N	N	
London-North-Western-South	0603	MD340	ALC2	Sutton Coldfield Change of ELR – Lichfield City Jn	5	00	13	33	Y	Y	Y	N	N	N	N	N	N	
London-North-Western-South	0603	MD340	BJW3	Lichfield City Jn – Lichfield Trent Valley (End of Electrification)	16	47	18	05	Y	Y	Y	N	N	N	N	N	N	
London-North-Western-South	0603	MD340	BJW3	Lichfield Trent Valley – Route Boundary (LN3340) (Wichnor Jn)	18	05	19	00	Y	Y	Y	N	N	N	N	N	N	
London-North-Western-South	0603	MD345	BJW1	Bescot Jn – Walsall Pleck Jn (Change of Mileage)	0	00	0	65	Y	Y	Y	N	N	N	N	Y	N	
London-North-Western-South	0603	MD345	BJW2	Walsall Pleck Jn (Change of Mileage) – Park Street Tunnel	5	42	6	34	Y	Y	Y	N	N	N	N	Y	N	
London-North-Western-South	0603	MD345	BJW2	Park Street Tunnel – Ryecroft Jn	6	34	6	76	Y	Y	Y	N	N	N	N	Y	N	
London-North-Western-South	0603	MD345	BJW2	Ryecroft Jn – Change of Mileage	6	76	6	79	Y	Y	Y	N	N	N	N	Y	N	
London-North-Western-South	0603	MD345	RRN1	Change of Mileage – Cannock Change of ELR	0	00	7	20	Y	Y	Y	N	N	N	N	Y	N	
London-North-Western-South	0603	MD345	RRN2	Cannock Change of ELR – Route Boundary (NW1004) (Rugeley North Jn)	7	20	14	00	Y	Y	Y	N	N	N	N	Y	N	
London-North-Western-South	0603	MD350	BJW3	Anglesea Sidings – Lichfield City Jn	12	15	16	47	N	N	N	N	N	N	N	N	N	Line out of use NC/G1/2005/LN296
