Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	373	377	378	379	380	387	390	458	499	508	700	Notes
London-North-Western-South	0583	MD101	LEC1	Denbigh Hall South Jn – Hanslope North Jn	47	52	56	66	N	R1 R2	E	N	EH	R2	Y	EH R3 R4 R5	N	N	N	R1 Prohibited Milton Keynes platform 3 in laden condition unless units have been subjected to a 25mm lateral footstep modification as detailed in clear route model LV-ES-6 (377-2) R2 Prohibited between Milton Keynes and Hanslope North Jn R3 Prohibited with third rail current collection equipment (including shoe arms and height limit beams) R4 Prohibited with footsteps fitted R5 Prohibited between Wolverton and Hanslope Jn
London-North-Western-South	0583	MD101	LEC1	Hanslope North Jn – Hillmorton Jn	56	66	81	28	N	N	N	N	EH	N	T	N	N	N	N	
London-North-Western-South	0583	MD101	LEC1	Hillmorton Jn – Rugby Trent Valley Jn	81	28	83	18	N	N	N	N	EH	N	T	N	N	N	N	
London-North-Western-South	0583	MD101	LEC2	Rugby Trent Valley Jn – Armitage Jn (NW1001 Sectional Appendix Boundary)	83	18	119	20	N	N	N	N	EH	N	T	N	N	N	N	
London-North-Western-South	0583	MD105	HNR	Hanslope Jn (MD101) – Northampton South Jn	56	66	65	55	N	N	E	N	N	N	Y	N	N	N	N	
London-North-Western-South	0583	MD105	HNR	Northampton South Jn – Northampton North Jn	65	55	66	12	N	N	E R1 R2	N	N	N	Y	N	N	N	N	R1 Prohibited between Northampton and Northampton North Jn R2 Northampton platform 2 (down fast) only
London-North-Western-South	0583	MD105	HNR	Northampton North Jn – Rugby South Jn	66	12	83	54	N	N	N	N	N	N	Y	N	N	N	N	
London-North-Western-South	0583	MD120	CWJ	Camden Jn DC lines (Down DC line mileage) – Kilburn High Road (DC Lines)	1	36	3	01	N	N	Y	N	N	N	N	N	N	Y	N	
London-North-Western-South	0583	MD120	CWJ	Kilburn High Road – Willesden Suburban Jn (DC Lines)	3	01	5	28	N	N	Y	N	N	N	N	N	R1	Y	N	R1 Class 499/2 only
London-North-Western-South	0583	MD120	CWJ	Willesden Suburban Jn – Harrow and Wealdstone (Sand Drag) (DC Lines)	5	28	11	46	N	N	Y	N	N	N	N	N	R1	Y	N	R1 Class 499/2 only
London-North-Western-South	0583	MD120	CWJ	Harrow and Wealdstone (Sand Drag) – Watford Jn (DC Lines)	11	46	17	58	N	N	Y	N	N	N	N	N	N	Y	N	
London-North-Western-South	0583	MD130	WSA	Watford Junction – St Albans Abbey	0	00	6	45	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0583	MD136	WCL	Harlesden Jn – Railnet Jn	1	00	1	11	N	N	Y	E	N	N	Y	N	N	N	E	
