Route	page	Line of route	Line of Route / Sector Description	W6a	W7	W8	W9	W9Plus	W10	W10A	W12	Notes
London-North-Western-South	0646	MD740	Flyover Junction (Summit) – Fenny Stratford Bletchley Flyover Junction	Y	Y	Y	N	N	N	N	N	
London-North-Western-South	0646	MD745	Bicester South Jn – Gavray Jn	Y	Y	Y	Y	N	Y	N	Y	
London-North-Western-South	0646	MD801	Wolverhampton North Junction – Donnington Junction	Y *	N	N	N	N	N	N	N	
London-North-Western-South	0646	MD801	Donnington Junction – Abbey Foregate (Exclusive) [170m 46ch]	Y *	Y	R1	N	N	N	N	N	R1
London-North-Western-South	0646	MD801	Donnington Junction – Donnington (T&WDC boundary)	Y	Y	Y	N	N	N	N	N	
London-North-Western-South	0646	MD805	Bushbury (Oxley) Junction – Stafford Road Junction	Y	N	N	N	N	N	N	N	
London-North-Western-South	0646	MD810	Madeley Junction – Ironbridge e-on Power Station	Y	N	N	N	N	N	N	N	
London-North-Western-South	0646	MD900	Abbotswood Jn – Stoke Works Jn via Worcester Shrub Hill	Y	Y	Y	N	N	N	N	N	
London-North-Western-South	0646	MD910	Pershore (excl) – Norton Jn	Y *	N	N	N	N	N	N	N	
London-North-Western-South	0646	MD940	Worcester Shrub Hill – Shelwick Jn	S1 *	N	N	N	N	N	N	N	S1
London-North-Western-South	0646	MD950	Worcester Tunnel Jn – Henwick	Y	N	N	N	N	N	N	N	
