Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT (MOD)	MK4	MK5	MK5A	Notes
London-North-Western-South	0597	MD355	LTV	Lichfield South Jn – Lichfield Trent Valley Jn (Chord Line)	0	22	0	02	Y	Y	Y	N	N	N	N	N	N	
London-North-Western-South	0597	MD360	WDJ	Walsall, Pleck Jn – Darlaston Jn	1	16	0	15	Y	Y	Y	N	Y	Y	N	Y	N	
London-North-Western-South	0597	MD365	PJW	Portobello Jn – Wolverhampton Crane Street Jn	0	04	1	59	Y	Y	Y	Y	Y	Y	N	Y	N	
London-North-Western-South	0597	MD401	DCL	Route Boundary (GW200) (Heyford) – Aynho Jn	75	00	81	13	Y	Y	Y	Y	N	Y	N	N	N	
London-North-Western-South	0597	MD401	DCL	Aynho Jn – Leamington Spa North Jn	81	13	106	25	Y	Y	Y	Y	N	Y	N	N	N	
London-North-Western-South	0597	MD401	DCL	Leamington Spa North Jn – Tyseley South Jn	106	25	125	73	Y	Y	Y	Y	N	Y	N	N	N	
London-North-Western-South	0597	MD401	BCV/D CL	Tyseley South Jn – Small Heath South Jn	125	73	126	59	Y	Y	Y	Y	N	Y	N	N	N	
London-North-Western-South	0597	MD401	BCV	Small Heath South Jn – Bordesley Jn	126	59	128	11	Y	Y	Y	Y	N	Y	N	N	N	
London-North-Western-South	0597	MD405	LSC1	Leamington Spa North Jn – Milverton Change of ELR	106	25	107	06	Y	Y	Y	Y	N	Y	N	N	N	
London-North-Western-South	0597	MD405	LSC2	Milverton Change of ELR – Coventry South Jn	0	00	8	45	Y	Y	Y	Y	N	Y	N	N	N	
London-North-Western-South	0597	MD410	CNN	Coventry North Jn – Nuneaton South Jn	0	00	9	53	Y	Y	Y	N	N	N	N	Y	N	
London-North-Western-South	0597	MD415	HSA	Hatton Station Jn – Bearley Jn	18	12	12	48	Y	Y	Y	Y	N	Y	N	N	N	
London-North-Western-South	0597	MD415	HSA	Bearley Jn – Stratford Upon Avon (End of Headshunt)	12	48	8	63	Y	Y	Y	Y	N	Y	N	N	N	
London-North-Western-South	0597	MD420	HHW	Hatton North Jn – Hatton West Jn	18	25	17	62	Y	Y	Y	Y	N	Y	N	N	N	
London-North-Western-South	0597	MD425	TSB	Tyseley South Jn – Bearley Jn	0	00	17	71	Y	Y	Y	Y	N	Y	N	N	N	
London-North-Western-South	0597	MD430	OWW	Droitwich Spa – Cutnall Green (former Route Boundary)	126	21	130	40	Y	Y	Y	N	N	N	N	N	N	R1
London-North-Western-South	0597	MD430	OWW	Cutnall Green (former Route Boundary) – Kidderminster	130	40	135	46	Y	Y	Y	EH R1	N	R1	N	N	N	Prohibited between Hartlebury and Route Boundary (GW370) (Cutnall Green)
London-North-Western-South	0597	MD435	DCL	Small Heath South Jn – Site of Former Handsworth Jn	126	59	132	47	Y	Y	Y	Y	N	Y	N	N	N	
London-North-Western-South	0597	MD435	HSJ	Site of Former Handsworth Jn – Smethwick Jn	132	47	133	32	Y	Y	Y	Y	N	Y	N	N	N	
London-North-Western-South	0597	MD435	GSJ2	Smethwick Jn – Stourbridge North Jn	133	32	141	06	Y	Y	Y	Y	N	Y	N	N	N	
London-North-Western-South	0597	MD440	GSJ1	Galton Jn – Smethwick Jn	3	64	4	08	Y	Y	Y	N	N	N	N	N	N	
London-North-Western-South	0597	MD445	SJS	Stourbridge Jn – Stourbridge Town	142	16	142	78	Y	Y	N	N	N	N	N	N	N	
London-North-Western-South	0597	MD450	OWW	Stourbridge North Jn – Round Oak	142	15	146	13	Y	Y	Y	N	N	N	N	N	N	
