London-North-Western-South	0520	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	RA	08	09	20	31/1 31/6	31/4	33	37/0 37/3 37/4 37/6	37/5	37/7 37/9	Notes
London-North-Western-South	0520	MD101	LEC1	London Euston	Camden Jn DC Lines	London Euston – Camden Jn DC Lines	0	00	1	36	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0520	MD101	LEC1	Camden Jn DC Lines	Camden Jn (NLL)	Camden Jn DC Lines – Camden Jn (NLL)	1	36	1	51	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0520	MD101	LEC1	Camden Jn	West London Jn (Willesden)	Camden Jn – West London Jn (Willesden)	1	51	5	23	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0520	MD101	LLG	West London Jn (Willesden)	Sudbury Jn (Willesden Relief Lines)	West London Jn (Willesden) – Sudbury Jn (Willesden Relief Lines)	0	12	2	03	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0520	MD101	LEC1	West London Jn (Willesden)	Harlesden Jn	West London Jn (Willesden) – Harlesden Jn	5	23	6	01	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0520	MD101	LEC1	Harlesden Jn	Watford South Jn	Harlesden Jn – Watford South Jn	6	01	17	06	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0520	MD101	LEC1	Watford South Jn	Bletchley South Jn	Watford South Jn – Bletchley South Jn	17	06	46	41	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0520	MD101	LEC1	Bletchley South Jn – Bletchley (Platforms 1 – 5)	Denbigh Hall South Jn	Bletchley South Jn – Bletchley (Platforms 1 – 5) – Denbigh Hall South Jn	46	41	47	52	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0520	MD101	LEC1	Denbigh Hall South Jn	Hanslope North Jn	Denbigh Hall South Jn – Hanslope North Jn	47	52	56	66	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0520	MD101	LEC1	Hanslope North Jn	Hillmorton Jn	Hanslope North Jn – Hillmorton Jn	56	66	81	28	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0520	MD101	LEC1	Hillmorton Jn	Rugby Trent Valley Jn	Hillmorton Jn – Rugby Trent Valley Jn	81	28	83	18	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0520	MD101	LEC2	Rugby Trent Valley Jn	Armitage Jn (NW1001 Sectional Appendix Boundary)	Rugby Trent Valley Jn – Armitage Jn (NW1001 Sectional Appendix Boundary)	83	18	119	20	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0520	MD105	HNR	Hanslope Jn (MD101)	Northampton South Jn	Hanslope Jn (MD101) – Northampton South Jn	56	66	65	55	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0520	MD105	HNR	Northampton South Jn	Northampton North Jn	Northampton South Jn – Northampton North Jn	65	55	66	12	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0520	MD105	HNR	Northampton North Jn	Rugby South Jn	Northampton North Jn – Rugby South Jn	66	12	83	54	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0520	MD120	CWJ	Camden Jn DC lines (Down DC line mileage)	Kilburn High Road (DC Lines)	Camden Jn DC lines (Down DC line mileage) – Kilburn High Road (DC Lines)	1	36	3	01	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
