Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	313	315	317	319	321	322	323	325	350	360	Notes
London-North-Western-South	0570	MD101	LEC1	London Euston – Camden Jn DC Lines	0	00	1	36	Y	N	Y	R1 R2	Y	Y	N	Y	Y	N	R1 Prohibited London Euston platform 5 R2 Prohibited London Euston platform 12 with deflated secondary suspension
London-North-Western-South	0570	MD101	LEC1	Camden Jn DC Lines – Camden Jn (NLL)	1	36	1	51	Y	N	Y	Y	Y	Y	N	Y	Y	N	
London-North-Western-South	0570	MD101	LEC1	Camden Jn – West London Jn (Willesden)	1	51	5	23	Y	N	Y	Y	Y	Y	N	Y	Y	N	
London-North-Western-South	0570	MD101	LLG	West London Jn (Willesden) – Sudbury Jn (Willesden Relief Lines)	0	12	2	03	Y	Y	Y	Y	Y	Y	N	Y	Y	N	
London-North-Western-South	0570	MD101	LEC1	West London Jn (Willesden) – Harlesden Jn	5	23	6	01	Y	Y	Y	Y	Y	Y	N	Y	Y	N	
London-North-Western-South	0570	MD101	LEC1	Harlesden Jn – Watford South Jn	6	01	17	06	Y	Y	Y	Y	Y	Y	N	Y	Y	EH R1	R3 Prohibited between Harlesden Jn and Wembley Central
London-North-Western-South	0570	MD101	LEC1	Watford South Jn – Bletchley South Jn	17	06	46	41	Y	Y	Y	Y	Y	Y	N	Y	Y	EH	
London-North-Western-South	0570	MD101	LEC1	Bletchley South Jn – Bletchley (Platforms 1 – 5) – Denbigh Hall South Jn	46	41	47	52	Y	Y	Y	Y	Y	Y	Y	Y	Y	EH	
London-North-Western-South	0570	MD101	LEC1	Denbigh Hall South Jn – Hanslope North Jn	47	52	56	66	R1	R1	Y	Y	Y	Y	Y	Y	Y	EH	R1 Prohibited between Wolverton and Hanslope North Jn
London-North-Western-South	0570	MD101	LEC1	Hanslope North Jn – Hillmorton Jn	56	66	81	28	N	N	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-South	0570	MD101	LEC1	Hillmorton Jn – Rugby Trent Valley Jn	81	28	83	18	N	N	Y	R1	Y	Y	Y	Y	Y	N	R1 Prohibited between Rugby and Rugby Trent Valley Jn
London-North-Western-South	0570	MD101	LEC2	Rugby Trent Valley Jn – Armitage Jn (NW1001 Sectional Appendix Boundary)	83	18	119	20	N	N	Y	N	Y	Y	Y	Y	Y	N	
London-North-Western-South	0570	MD105	HNR	Hanslope Jn (MD101) – Northampton South Jn	56	66	65	55	N	N	Y	Y	Y	Y	Y	Y	Y	EH	
London-North-Western-South	0570	MD105	HNR	Northampton South Jn – Northampton North Jn	65	55	66	12	N	N	Y	Y	Y	Y	Y	Y	Y	EH	
London-North-Western-South	0570	MD105	HNR	Northampton North Jn – Rugby South Jn	66	12	83	54	N	N	Y	Y	Y	Y	Y	Y	Y	EH R1	R1 Prohibited between Mill Lane Jn and Rugby South Jn
