Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	W7A	W8A	W9A	LG2	PG1	PG2	LSVG	Notes
London-North-Western-South	0673	MD801	WSJ1	Wolverhampton North Jn – Oxley, Stafford Road Jn (Change of Mileage)	143	52	142	79	N	N	N	N	N	N	N	
London-North-Western-South	0673	MD801	WSJ2	Oxley, Stafford Road Jn (Change of Mileage) – Limit of Electrification	143	02	143	65	N	N	N	N	N	N	N	
London-North-Western-South	0673	MD801	WSJ2	Limit of Electrification – Madeley Jn	143	65	156	19	N	N	N	N	N	N	N	
London-North-Western-South	0673	MD801	WSJ2	Madeley Jn – Route Boundary (GW731) (Abbey Foregate)	156	19	170	46	N	N	N	N	N	N	N	
London-North-Western-South	0673	MD805	OXC	Bushbury (Oxley) Jn – Stafford Road Jn	1	02	0	00	N	N	N	N	N	N	N	
London-North-Western-South	0673	MD810	MJI1	Madeley Junction – Site of former Lightmoor Jn	156	19	160	29	N	N	N	N	N	N	N	
London-North-Western-South	0673	MD810	MJI2	Site of former Lightmoor Jn – Ironbridge Power Station (NR Boundary)	156	19	160	29	N	N	N	N	N	N	N	
London-North-Western-South	0673	MD900	ABW	Abbotswood Jn – Norton Jn	0	00	0	62	N	N	N	N	N	N	N	
London-North-Western-South	0673	MD900	OWW	Norton Jn – Shrub Hill Jn	117	26	120	46	N	N	N	N	N	N	N	
London-North-Western-South	0673	MD900	OWW	Shrub Hill Jn – Droitwich Spa Jn	120	46	126	21	N	N	N	N	N	N	N	
London-North-Western-South	0673	MD900	STO	Droitwich Spa Jn – Stoke Works Jn	126	21	130	25	N	N	N	N	N	N	N	
London-North-Western-South	0673	MD910	OWW	Pershore (excl) – Norton Jn	112	00	117	26	N	N	N	N	N	N	N	
London-North-Western-South	0673	MD940	WAH	Shrub Hill Jn – Henwick SB (Branch Single)	120	46	121	65	N	N	N	N	N	N	N	
London-North-Western-South	0673	MD940	WAH	Henwick SB – Shelwick Jn	121	65	148	11	N	N	N	N	N	N	N	
London-North-Western-South	0673	MD950	BLW	Worcester Tunnel Jn – Site of former Rainbow Hill Jn Change of ELR	0	30	0	00	N	N	N	N	N	N	N	
London-North-Western-South	0673	MD950	WAH	Site of former Rainbow Hill Jn Change of ELR – Henwick SB (Droitwich Single)	120	64	121	65	N	N	N	N	N	N	N	
