London-North-Western-South	0505	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	373	377	378	379	380	387	390	458	499	508	700	Notes
London-North-Western-South	0505	MD330	SCL	Soho East Jn	Soho North Jn	Soho East Jn – Soho North Jn	0	00	0	22	N	N	N	N	N	N	Y	N	N	N	N	
London-North-Western-South	0505	MD335	SSP	Perry Barr West Jn	Perry Barr South Jn	Perry Barr West Jn – Perry Barr South Jn	0	39	0	00	N	N	N	N	N	N	Y	N	N	N	N	
London-North-Western-South	0505	MD340	ALC1	Aston North Jn	Sutton Coldfield Change of ELR	Aston North Jn – Sutton Coldfield Change of ELR	0	00	5	00	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0505	MD340	ALC2	Sutton Coldfield Change of ELR	Lichfield City Jn	Sutton Coldfield Change of ELR – Lichfield City Jn	5	00	13	33	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0505	MD340	BJW3	Lichfield City Jn	Lichfield Trent Valley (End of Electrification)	Lichfield City Jn – Lichfield Trent Valley (End of Electrification)	16	47	18	05	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0505	MD340	BJW3	Lichfield Trent Valley	Route Boundary (LN3340) (Wichnor Jn)	Lichfield Trent Valley – Route Boundary (LN3340) (Wichnor Jn)	18	05	19	00	N	N	N	N	EH	N	EH	N	N	N	N	
London-North-Western-South	0505	MD345	BJW1	Bescot Jn	Walsall Pleck Jn (Change of Mileage)	Bescot Jn – Walsall Pleck Jn (Change of Mileage)	0	00	0	65	N	N	N	N	N	N	Y	N	N	N	N	
London-North-Western-South	0505	MD345	BJW2	Walsall Pleck Jn (Change of Mileage)	Limit of Electrification	Walsall Pleck Jn (Change of Mileage) – Limit of Electrification	5	42	6	34	N	N	N	N	N	N	R1	N	N	N	N	Prohibited Walsall Pleck Jn – Walsall North Jn on the Down Fast line
London-North-Western-South	0505	MD345	BJW2	Limit of Electrification	Ryecroft Jn	Limit of Electrification – Ryecroft Jn	6	34	6	76	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0505	MD345	BJW2	Park Street Tunnel	Ryecroft Jn	Park Street Tunnel – Ryecroft Jn	6	34	6	76	N	N	N	N	N	N	Y	N	N	N	N	
London-North-Western-South	0505	MD345	BJW2	Ryecroft Jn	Change of Mileage	Ryecroft Jn – Change of Mileage	6	76	6	79	N	N	N	N	N	N	Y	N	N	N	N	
London-North-Western-South	0505	MD345	RRN1	Change of Mileage	Cannock Change of ELR	Change of Mileage – Cannock Change of ELR	0	00	7	20	N	N	N	N	N	N	Y	N	N	N	N	
London-North-Western-South	0505	MD345	RRN2	Cannock Change of ELR	Route Boundary (NW1004) (Rugeley North Jn)	Cannock Change of ELR – Route Boundary (NW1004) (Rugeley North Jn)	7	20	14	00	N	N	N	N	N	N	Y	N	N	N	N	
London-North-Western-South	0505	MD350	BJW3	Anglesea Sidings	Lichfield City Jn	Anglesea Sidings – Lichfield City Jn	12	15	16	47	N	N	N	N	N	N	N	N	N	N	N	Line out of use NC/G1/2005/LN296
London-North-Western-South	0505	MD355	LTV	Lichfield South Jn	Lichfield Trent Valley Jn (Chord Line)	Lichfield South Jn – Lichfield Trent Valley Jn (Chord Line)	0	22	0	02	N	N	N	N	EH	N	H	N	N	N	N	
London-North-Western-South	0505	MD360	WDJ	Walsall, Pleck Jn	Darlaston Jn	Walsall, Pleck Jn – Darlaston Jn	1	16	0	15	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0505	MD365	PJW	Portobello Jn	Wolverhampton Crane Street Jn	Portobello Jn – Wolverhampton Crane Street Jn	0	04	1	59	N	N	N	N	N	N	Y	N	N	N	N	
London-North-Western-South	0505	MD401	DCL	Route Boundary (GW200) (Heyford)	Aynho Jn	Route Boundary (GW200) (Heyford) – Aynho Jn	75	00	81	13	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0505	MD401	DCL	Aynho Jn	Leamington Spa North Jn	Aynho Jn – Leamington Spa North Jn	81	13	106	25	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0505	MD401	DCL	Leamington Spa North Jn	Tyseley South Jn	Leamington Spa North Jn – Tyseley South Jn	106	25	125	73	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0505	MD401	BCV/D CL	Tyseley South Jn	Small Heath South Jn	Tyseley South Jn – Small Heath South Jn	125	73	126	59	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0505	MD401	BCV	Small Heath South Jn	Bordesley Jn	Small Heath South Jn – Bordesley Jn	126	59	128	11	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0505	MD405	LSC1	Leamington Spa North Jn	Milverton Change of ELR	Leamington Spa North Jn – Milverton Change of ELR	106	25	107	06	N	N	N	N	N	N	N	N	N	N	N	
