Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT (MOD)	MK4	MK5	MK5A	Notes
London-North-Western-South	0606	MD701	NAJ3	Site of Former Ashendon Jn (Change of Mileage) – Aynho Jn	0	00	18	35	Y	Y	Y	Y	N	Y	N	N	N	
London-North-Western-South	0606	MD705	ANL	Route Boundary (GW110) (Greenford West Jn) – Northolt Jn (South Ruislip)	8	60	10	15	Y	Y	Y	Y	N	Y	N	N	N	
London-North-Western-South	0606	MD710	MCJ1	Neasden South Jn – Network Rail Boundary (LUL) (Harrow-on-the-Hill South Jn)	200	66	197	05	Y	Y	Y	N	N	N	N	N	N	
London-North-Western-South	0606	MD712	MCJ2	Network Rail Boundary (LUL) (Amersham, Mantles Wood) – Aylesbury Jn	25	21	38	08	Y	Y	Y	N	N	N	N	N	N	
London-North-Western-South	0606	MD712	MCJ2	Aylesbury Jn – Aylesbury	38	08	38	13	Y	Y	Y	N	N	N	N	N	N	
London-North-Western-South	0606	MD715	NJN	Neasden South Jn – Route Boundary (EA1360) (Neasden Jn)	6	30	6	51	Y	Y	Y	N	N	Y	N	N	N	
London-North-Western-South	0606	MD720	NAJ2	Princes Risborough – Change of Mileage (Princes Risborough Jn)	24	40	24	48	Y	Y	Y	Y	N	Y	N	N	N	
London-North-Western-South	0606	MD720	PRA	Change of Mileage (Princes Risborough Jn) – Aylesbury Jn	42	31	49	35	Y	Y	Y	Y	N	Y	N	N	N	
London-North-Western-South	0606	MD725	MCJ2	Aylesbury – Aylesbury Vale Parkway	38	13	40	38	Y	Y	Y	EH	N	Y	N	N	N	
London-North-Western-South	0606	MD725	MCJ2	Aylesbury Vale Parkway – Change of Mileage (Quainton Road)	40	38	44	28	Y	Y	Y	EH	N	Y	N	N	N	
London-North-Western-South	0606	MD725	MCJ3	Change of Mileage (Quainton Road) – Calvert Jn (Change of Mileage)	161	50	156	72	Y	Y	Y	EH	N	Y	N	N	N	
London-North-Western-South	0606	MD725	MCJ4	Calvert Jn (Change of Mileage) – Claydon L&NE Jn	0	00	0	41	Y	Y	Y	EH	N	Y	N	N	N	
London-North-Western-South	0606	MD736	OXD	Route Boundary (GW277) –Gavray Junction	29	25	19	00	Y	Y	Y	Y	Y	N	N	N	N	
London-North-Western-South	0606	MD736	OXD	Gavray Junction – Gates (Claydon)	19	00	12	00	Y	Y	R3	R3	R3	R1 R2	N	N	N	R1 Prohibited between Claydon L&NE Jn and Stop Block Gate R2 20mph maximum speed R3 Prohibited Temporary Buffer Stop and Gates (Claydon)
London-North-Western-South	0606	MD736	OXD	Gates (Claydon) – Buffer Stops	12	00	1	31	N	N	N	N	N	N	N	N	N	Line non operational
London-North-Western-South	0606	MD736	OXD	Buffer Stops – Flyover Junction (Change of ELR)	1	27	0	62	Y	Y	Y	N	N	N	N	N	N	
London-North-Western-South	0606	MD736	BFO	Flyover Junction (Change of ELR) – Flyover Junction Summit	0	00	0	68	Y	Y	Y	N	N	N	N	N	N	
London-North-Western-South	0606	MD736	DHF	Flyover Junction Summit – Limit of Electrification	0	68	1	37	Y	Y	Y	N	N	N	N	N	N	
London-North-Western-South	0606	MD736	DHF	Limit of Electrification – Bletchley Flyover North Jn	1	37	1	61	Y	Y	Y	N	N	N	N	N	N	
