London-North-Western-South	0483	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	165	166 RH M	168	170	171	172	175	180	195	220	221	Notes
London-North-Western-South	0483	MD401	DCL	Aynho Jn	Leamington Spa North Jn	Aynho Jn – Leamington Spa North Jn	81	13	106	25	R1	N	R1	R2	N	R3	R4	R4	N	Y	Y	R1 Prohibited Banbury North Down Bay platform when laden R2 Prohibited between Aynho Jn and Leamington Spa R3 Class 172/2 and 172/3 prohibited Aynho Jn to Leamington Spa R4 Prohibited between Banbury and Leamington Spa Jn
London-North-Western-South	0483	MD401	DCL	Leamington Spa North Jn	Tyseley South Jn	Leamington Spa North Jn – Tyseley South Jn	106	25	125	73	Y	N	Y	Y	N	Y	N	N	N	Y	Y	
London-North-Western-South	0483	MD401	BCV/D CL	Tyseley South Jn	Small Heath South Jn	Tyseley South Jn – Small Heath South Jn	125	73	126	59	Y	N	Y	Y	N	Y	N	N	N	Y	Y	
London-North-Western-South	0483	MD401	BCV	Small HeathSouth Jn	Bordesley Jn	Small HeathSouth Jn – Bordesley Jn	126	59	128	11	Y	N	Y	Y	N	Y	N	N	N	Y	Y	
London-North-Western-South	0483	MD405	LSC1	Leamington Spa North Jn	Milverton Change of ELR	Leamington Spa North Jn – Milverton Change of ELR	106	25	107	06	Y	N	Y	Y	N	Y	N	N	N	Y	Y	
London-North-Western-South	0483	MD405	LSC2	Milverton Change of ELR	Coventry South Jn	Milverton Change of ELR – Coventry South Jn	0	00	8	45	Y	N	Y	Y	N	Y	N	N	N	Y	Y	
London-North-Western-South	0483	MD410	CNN	Coventry North Jn	Nuneaton South Jn	Coventry North Jn – Nuneaton South Jn	0	00	9	53	N	N	N	Y	N	R1	N	N	N	Y	Y	R1 Class 172/0, 2 and 3 only
London-North-Western-South	0483	MD415	HSA	Hatton Station Jn	Bearley Jn	Hatton Station Jn – Bearley Jn	18	12	12	48	Y	N	Y	Y	N	Y	N	N	N	N	N	
London-North-Western-South	0483	MD415	HSA	Bearley Jn	Stratford Upon Avon (End of Headshunt)	Bearley Jn – Stratford Upon Avon (End of Headshunt)	12	48	8	63	Y	N	Y	Y	N	Y	N	N	N	N	N	
London-North-Western-South	0483	MD420	HHW	Hatton North Jn	Hatton West Jn	Hatton North Jn – Hatton West Jn	18	25	17	62	Y	N	Y	Y	N	Y	N	N	N	N	N	
London-North-Western-South	0483	MD425	TSB	Tyseley South Jn	Bearley Jn	Tyseley South Jn – Bearley Jn	0	00	17	71	R1	N	Y	Y	N	Y	N	N	N	N	N	R1 Route prohibited to Class 165/1
London-North-Western-South	0483	MD430	OWW	Route Boundary (GW370) (Droitwich Spa)	Kidderminster	Route Boundary (GW370) (Droitwich Spa) – Kidderminster	130	40	135	46	Y	N	E R1	Y	N	R2	N	N	N	Y	Y	R1 Prohibited between Hartlebury and Route Boundary (GW370) (Cutnall Green) R2 Route prohibited to Class 172/1
London-North-Western-South	0483	MD430	OWW	Kidderminster	Stourbridge North Jn	Kidderminster – Stourbridge North Jn	135	46	142	51	Y	N	Y	Y	N	Y	N	N	N	Y	Y	
London-North-Western-South	0483	MD435	DCL	Small Heath South Jn	Site of Former Handsworth Jn	Small Heath South Jn – Site of Former Handsworth Jn	126	59	132	47	Y	N	Y	Y	N	Y	N	N	N	N	N	
London-North-Western-South	0483	MD435	HSJ	Site of Former Handsworth Jn	Smethwick Jn	Site of Former Handsworth Jn – Smethwick Jn	132	47	133	32	Y	N	Y	Y	N	Y	N	N	N	N	N	
London-North-Western-South	0483	MD435	GSJ2	Smethwick Jn	Stourbridge North Jn	Smethwick Jn – Stourbridge North Jn	133	32	141	06	Y	N	Y	Y	N	Y	N	N	N	Y	Y	
London-North-Western-South	0483	MD440	GSJ1	Galton Jn	Smethwick Jn	Galton Jn –Smethwick Jn	3	64	4	08	Y	N	Y	Y	N	R1	N	N	N	Y	Y	R1 Route prohibited to Class 172/1
London-North-Western-South	0483	MD445	SJS	Stourbridge Jn	Stourbridge Town	Stourbridge Jn – Stourbridge Town	142	16	142	78	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0483	MD450	OWW	Stourbridge North Jn	Round Oak	Stourbridge North Jn – Round Oak	142	15	146	13	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0483	MD455	KWD	Kingswinford Jn	Network Rail Boundary	Kingswinford Jn – Network Rail Boundary	144	33	145	60	N	N	N	N	N	N	N	N	N	N	N	Line out of use NME/2005/LNW284
London-North-Western-South	0483	MD460	SJT1	Kineton MOD Branch	Burton Dassett (MOD Kineton)	Kineton MOD Branch – Burton Dassett (MOD Kineton)	22	60	25	60	Y	N	Y	N	N	Y	N	N	N	N	N	
London-North-Western-South	0483	MD501	DBP1	Route Boundary (LN3501) (London Road Jn)	Kingsbury Jn	Route Boundary (LN3501) (London Road Jn) –Kingsbury Jn	23	30	29	39	N	N	E	Y	N	E	N	N	N	Y	Y	
