London-North-Western-South	0549	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	165	166 RHM	168	170	171	172	175	180	195	220	221	Notes
London-North-Western-South	0549	MD900	ABW	Abbotswood Jn	Norton Jn	Abbotswood Jn – Norton Jn	0	00	0	62	Y	Y	Y	Y	N	R1	Y	Y	N	Y	Y	R1 Route prohibited to Class 172/0 and 172/1
London-North-Western-South	0549	MD900	OWW	Norton Jn	Shrub Hill Jn	Norton Jn – Shrub Hill Jn	117	26	120	46	Y	Y	Y	Y	N	R1	Y	Y	N	Y	Y	R1 Route prohibited to Class 172/1
London-North-Western-South	0549	MD900	OWW	Shrub Hill Jn	Droitwich Spa Jn	Shrub Hill Jn – Droitwich Spa Jn	120	46	126	21	Y	Y	Y	Y	N	R1	N	N	N	Y	Y	R1 Route prohibited to Class 172/1
London-North-Western-South	0549	MD900	STO	Droitwich Spa Jn	Stoke Works Jn	Droitwich Spa Jn – Stoke Works Jn	126	21	130	25	Y	Y	Y	Y	N	R1	N	N	N	Y	Y	R1 Route prohibited to Class 172/1
London-North-Western-South	0549	MD910	OWW	Pershore (excl)	Norton Jn	Pershore (excl) – Norton Jn	112	00	117	26	Y	Y	N	N	N	N	Y	Y	N	Y	Y
London-North-Western-South	0549	MD940	WAH	Shrub Hill Jn	Henwick SB (Branch Single)	Shrub Hill Jn – Henwick SB (Branch Single)	120	46	121	65	Y	Y	N	Y	N	R1	Y	Y	N	Y	Y	R1 Route prohibited to Class 172/1
London-North-Western-South	0549	MD940	WAH	Henwick SB	Shelwick Jn	Henwick SB – Shelwick Jn	121	65	148	11	Y	Y	N	Y	N	R1	Y	Y	N	Y	Y	R1 Route prohibited to Class 172/1
London-North-Western-South	0549	MD950	BLW	Worcester Tunnel Jn	Site of former Rainbow Hill Jn Change of ELR	Worcester Tunnel Jn – Site of former Rainbow Hill Jn Change of ELR	0	30	0	00	Y	Y	N	Y	N	R1	N	N	N	Y	Y	R1 Route prohibited to Class 172/1
London-North-Western-South	0549	MD950	WAH	Site of former Rainbow Hill Jn Change of ELR	Henwick SB (Droitwich Single)	Site of former Rainbow Hill Jn Change of ELR – Henwick SB (Droitwich Single)	120	64	121	65	Y	Y	N	Y	N	R1	N	Y	N	Y	Y	R1 Route prohibited to Class 172/1
