Route	page	Line of route	Line of Route / Sector Description	W6a	W7	W8	W9	W9Plus	W10	W10A	W12	Notes
London-North-Western-South	0648	MD101	London Euston – West London Junction (Willesden)	Y *	R1	R1	R1	N	R1	N	N	R1 Applies only to traffic operating over the Slow lines between Camden Junction (to / from the Primrose Hill lines [MD145]) and West London Junction (Willesden).
London-North-Western-South	0648	MD101	West London Junction (Willesden) – Rugby Trent Valley Junction	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-South	0648	MD101	Rugby Trent Valley Junction – Armitage Junction (Exclusive)	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-South	0648	MD101	West London Junction (Willesden) – Sudbury Junction (Willesden Relief Lines)	Y	Y	Y	Y	N	Y	N	N	
London-North-Western-South	0648	MD101	Harlesden Junction – Sudbury Junction (Brent Reception & Departure Lines)	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-South	0648	MD105	Hanslope Junction – Rugby via Northampton	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-South	0648	MD120	Camden Junction – Willesden Suburban Junction (DC Lines)	R1*	N	N	N	N	N	N	N	R1 Only L.U.L trains may operate between Queens Park Jn and the NR/LUL boundary on the connecting lines to/from Queens Park LUL lines
London-North-Western-South	0648	MD120	Willesden Suburban Junction – Watford Junction (DC Lines)	Y *	N	N	N	N	N	N	N	
London-North-Western-South	0648	MD130	Watford Junction – St Albans Abbey	Y *	N	N	N	N	N	N	N	
London-North-Western-South	0648	MD136	Harlesden Jn – Railnet Jn	Y	Y	Y	Y	N	Y	N	N	
London-North-Western-South	0648	MD136	Railnet Jn – Willesden Carriage Shed South	Y	N	N	N	N	N	N	N	
London-North-Western-South	0648	MD136	Willesden Carriage Shed South – Connection with Yard line	Y	N	N	N	N	N	N	N	
London-North-Western-South	0648	MD136	Willesden Carriage Shed South – Connection with Yard line	Y	N	N	N	N	N	N	N	
London-North-Western-South	0648	MD136	Connection with Yard line – Wembley Central Jn	Y	Y	Y	Y	N	Y	N	N	
London-North-Western-South	0648	MD137	Harlesden Jn – Railnet Jn	Y	Y	Y	Y	N	Y	N	N	
London-North-Western-South	0648	MD137	Railnet Jn – Wembley Yard South Jn	Y	Y	Y	Y	N	Y	N	N	
