Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT (MOD)	MK4	MK5	MK5A	Notes
London-North-Western-South	0600	MD736	DHF	Bletchley Flyover North Jn – Denbigh Hall South Jn	1	61	1	73	Y	Y	Y	N	N	N	N	N	N	
London-North-Western-South	0600	MD740	BFO	Flyover Jn (Summit) – Fenny Stratford Bletchley Flyover Jn	0	68	1	59	Y	Y	Y	N	N	N	N	N	N	
London-North-Western-South	0600	MD745	BSG	Bicester South Junction – Gavray Junction	0	00	0	52	Y	Y	Y	Y	Y	N	N	N	N	
London-North-Western-South	0600	MD801	WSJ1	Wolverhampton North Jn – Oxley, Stafford Road Jn (Change of Mileage)	143	52	142	79	Y	Y	Y	Y	N	Y	N	N	N	
London-North-Western-South	0600	MD801	WSJ2	Oxley, Stafford Road Jn (Change of Mileage) – Limit of Electrification	143	02	143	65	Y	Y	Y	Y	N	Y	N	N	N	
London-North-Western-South	0600	MD801	WSJ2	Limit of Electrification – Madeley Jn	143	65	156	19	Y	Y	Y	Y	N	Y	N	N	N	
London-North-Western-South	0600	MD801	WSJ2	Madeley Jn – Route Boundary (GW731) (Abbey Foregate)	156	19	170	46	Y	Y	Y	Y	N	Y	N	N	N	
London-North-Western-South	0600	MD805	OXC	Bushbury (Oxley) Jn – Stafford Road Jn	1	02	0	00	Y	Y	Y	N	N	N	N	N	N	
London-North-Western-South	0600	MD810	MJI1	Madeley Junction – Site of Former Lightmoor Jn	156	19	160	29	Y	Y	Y	N	N	N	N	N	N	
London-North-Western-South	0600	MD810	MJI2	Site of Former Lightmoor Jn – Ironbridge Power Station (NR Boundary)	156	19	160	29	Y	Y	Y	N	N	N	N	N	N	
