Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	86	87	88	90	91	92	Notes
London-North-Western-South	0638	MD101	LEC1	London Euston – Camden Jn DC Lines	0	00	1	36	8	Y	Y	Y	Y	N	Y	
London-North-Western-South	0638	MD101	LEC1	Camden Jn DC Lines – Camden Jn (NLL)	1	36	1	51	8	Y	Y	Y	Y	N	Y	
London-North-Western-South	0638	MD101	LEC1	Camden Jn – West London Jn (Willesden)	1	51	5	23	8	Y	Y	Y	Y	N	Y	
London-North-Western-South	0638	MD101	LLG	West London Jn (Willesden) – Sudbury Jn (Willesden Relief Lines)	0	12	2	03	8	Y	Y	Y	Y	N	Y	
London-North-Western-South	0638	MD101	LEC1	West London Jn (Willesden) – Harlesden Jn	5	23	6	01	8	Y	Y	Y	Y	N	Y	
London-North-Western-South	0638	MD101	LEC1	Harlesden Jn – Watford South Jn	6	01	17	06	8	Y	Y	Y	Y	N	Y	
London-North-Western-South	0638	MD101	LEC1	Watford South Jn – Bletchley South Jn	17	06	46	41	8	Y	Y	Y	Y	N	Y	
London-North-Western-South	0638	MD101	LEC1	Bletchley South Jn – Bletchley (Platforms 1 – 5) – Denbigh Hall South Jn	46	41	47	52	8	Y	Y	Y	Y	N	Y	
London-North-Western-South	0638	MD101	LEC1	Denbigh Hall South Jn – Hanslope North Jn	47	52	56	66	8	Y	Y	Y	Y	N	Y	
London-North-Western-South	0638	MD101	LEC1	Hanslope North Jn – Hillmorton Jn	56	66	81	28	8	Y	Y	Y	Y	N	Y	
London-North-Western-South	0638	MD101	LEC1	Hillmorton Jn – Rugby Trent Valley Jn	81	28	83	18	8	Y	Y	Y	Y	N	Y	
London-North-Western-South	0638	MD101	LEC2	Rugby Trent Valley Jn – Armitage Jn (NW1001 Sectional Appendix Boundary)	83	18	119	20	8	Y	Y	Y	Y	N	Y	
London-North-Western-South	0638	MD105	HNR	Hanslope Jn (MD101) – Northampton South Jn	56	66	65	55	8	Y	Y	Y	Y	N	Y	
London-North-Western-South	0638	MD105	HNR	Northampton South Jn – Northampton North Jn	65	55	66	12	8	Y	Y	Y	Y	N	Y	
London-North-Western-South	0638	MD105	HNR	Northampton North Jn – Rugby South Jn	66	12	83	54	8	Y	Y	Y	Y	N	Y	
London-North-Western-South	0638	MD120	CWJ	Camden Jn DC lines (Down DC line mileage) – Kilburn High Road (DC Lines)	1	36	3	01	8	N	N	Y	N	N	N	
London-North-Western-South	0638	MD120	CWJ	Kilburn High Road – Willesden Suburban Jn (DC Lines)	3	01	5	28	8	N	N	Y	N	N	N	
London-North-Western-South	0638	MD120	CWJ	Willesden Suburban Jn – Harrow and Wealdstone (Sand Drag) (DC Lines)	5	28	11	46	8	N	N	Y	N	N	N	
